Freq.	V(n_3p)
2.00000000000000e+007	(-2.88970802239067e+001dB,-4.36540095583163e+000°)
3.99900000000000e+007	(-2.89247811431577e+001dB,-8.51490032538731e+000°)
5.99800000000000e+007	(-2.89438855956132e+001dB,-1.26132331774100e+001°)
7.99700000000000e+007	(-2.89597110314739e+001dB,-1.66980699386741e+001°)
9.99600000000000e+007	(-2.89741879120692e+001dB,-2.07727604787071e+001°)
1.19950000000000e+008	(-2.89878688563738e+001dB,-2.48381438862908e+001°)
1.39940000000000e+008	(-2.90009566810509e+001dB,-2.88950428307505e+001°)
1.59930000000000e+008	(-2.90135287785522e+001dB,-3.29440022357252e+001°)
1.79920000000000e+008	(-2.90255541138666e+001dB,-3.69852847144551e+001°)
1.99910000000000e+008	(-2.90368701958978e+001dB,-4.10191489347635e+001°)
2.19900000000000e+008	(-2.90471334289160e+001dB,-4.50463459747895e+001°)
2.39890000000000e+008	(-2.90556719413775e+001dB,-4.90695736236430e+001°)
2.59880000000000e+008	(-2.90614727322428e+001dB,-5.31012743882941e+001°)
2.79870000000000e+008	(-2.90685186923009e+001dB,-5.71727216818731e+001°)
2.99860000000000e+008	(-2.90835608190030e+001dB,-6.12244424207913e+001°)
3.19850000000000e+008	(-2.90961637863870e+001dB,-6.52419193286369e+001°)
3.39840000000000e+008	(-2.91067514573166e+001dB,-6.92609271305882e+001°)
3.59830000000000e+008	(-2.91172777651866e+001dB,-7.32836386030729e+001°)
3.79820000000000e+008	(-2.91284605103479e+001dB,-7.73065258269978e+001°)
3.99810000000000e+008	(-2.91404871684567e+001dB,-8.13260615581448e+001°)
4.19800000000000e+008	(-2.91532872323623e+001dB,-8.53393785694458e+001°)
4.39790000000000e+008	(-2.91666534903554e+001dB,-8.93444110713445e+001°)
4.59780000000000e+008	(-2.91803180037248e+001dB,-9.33398626340791e+001°)
4.79770000000000e+008	(-2.91939990796057e+001dB,-9.73250632578387e+001°)
4.99760000000000e+008	(-2.92074236998498e+001dB,-1.01299798582129e+002°)
5.19750000000000e+008	(-2.92203333959255e+001dB,-1.05264176805880e+002°)
5.39740000000000e+008	(-2.92324829092667e+001dB,-1.09218555126823e+002°)
5.59730000000000e+008	(-2.92436383375836e+001dB,-1.13163513735921e+002°)
5.79720000000000e+008	(-2.92535776931669e+001dB,-1.17099854075658e+002°)
5.99710000000000e+008	(-2.92620941226252e+001dB,-1.21028602082578e+002°)
6.19700000000000e+008	(-2.92690008933272e+001dB,-1.24951005686433e+002°)
6.39690000000000e+008	(-2.92741371150285e+001dB,-1.28868522764288e+002°)
6.59680000000000e+008	(-2.92773734343168e+001dB,-1.32782799589315e+002°)
6.79670000000000e+008	(-2.92786172643803e+001dB,-1.36695641287218e+002°)
6.99660000000000e+008	(-2.92778173724320e+001dB,-1.40608975975098e+002°)
7.19650000000000e+008	(-2.92749678511164e+001dB,-1.44524813786074e+002°)
7.39640000000000e+008	(-2.92701117330526e+001dB,-1.48445200964541e+002°)
7.59630000000000e+008	(-2.92633449624523e+001dB,-1.52372166615573e+002°)
7.79620000000000e+008	(-2.92548226026808e+001dB,-1.56307650330859e+002°)
7.99610000000000e+008	(-2.92447720745244e+001dB,-1.60253355754023e+002°)
8.19600000000000e+008	(-2.92335175992409e+001dB,-1.64210232170733e+002°)
8.39590000000000e+008	(-2.92213230089921e+001dB,-1.68176096846902e+002°)
8.59580000000000e+008	(-2.92064358749581e+001dB,-1.72150707209398e+002°)
8.79570000000000e+008	(-2.91906075904421e+001dB,-1.76159790114092e+002°)
8.99560000000000e+008	(-2.91762408172226e+001dB,1.79815003068521e+002°)
9.19550000000000e+008	(-2.91623605658212e+001dB,1.75775723420618e+002°)
9.39540000000000e+008	(-2.91491611504362e+001dB,1.71720620240047e+002°)
9.59530000000000e+008	(-2.91370442532145e+001dB,1.67649469071837e+002°)
9.79520000000000e+008	(-2.91264309102169e+001dB,1.63562875292806e+002°)
9.99510000000000e+008	(-2.91177337915426e+001dB,1.59462012509956e+002°)
1.01950000000000e+009	(-2.91113478957285e+001dB,1.55348541170841e+002°)
1.03949000000000e+009	(-2.91076435388441e+001dB,1.51224584346969e+002°)
1.05948000000000e+009	(-2.91069590413785e+001dB,1.47092729038280e+002°)
1.07947000000000e+009	(-2.91095915810272e+001dB,1.42956045877049e+002°)
1.09946000000000e+009	(-2.91157839419731e+001dB,1.38818123496910e+002°)
1.11945000000000e+009	(-2.91257039747909e+001dB,1.34683106130041e+002°)
1.13944000000000e+009	(-2.91394134471515e+001dB,1.30555705352458e+002°)
1.15943000000000e+009	(-2.91568250424205e+001dB,1.26441131921984e+002°)
1.17942000000000e+009	(-2.91776521761862e+001dB,1.22344873177326e+002°)
1.19941000000000e+009	(-2.92013662012336e+001dB,1.18272251407862e+002°)
1.21940000000000e+009	(-2.92271852842876e+001dB,1.14227769590031e+002°)
1.23939000000000e+009	(-2.92541192270182e+001dB,1.10214383301659e+002°)
1.25938000000000e+009	(-2.92810759877519e+001dB,1.06232961089260e+002°)
1.27937000000000e+009	(-2.93070032682320e+001dB,1.02282189979514e+002°)
1.29936000000000e+009	(-2.93310146040667e+001dB,9.83589954441709e+001°)
1.31935000000000e+009	(-2.93524557156601e+001dB,9.44592883316729e+001°)
1.33934000000000e+009	(-2.93708999676334e+001dB,9.05787187773760e+001°)
1.35933000000000e+009	(-2.93860952619987e+001dB,8.67131876659870e+001°)
1.37932000000000e+009	(-2.93978969955508e+001dB,8.28590439563461e+001°)
1.39931000000000e+009	(-2.94062132218354e+001dB,7.90130394811144e+001°)
1.41930000000000e+009	(-2.94109724750805e+001dB,7.51721611626743e+001°)
1.43929000000000e+009	(-2.94121129427482e+001dB,7.13334382139152e+001°)
1.45928000000000e+009	(-2.94095868131721e+001dB,6.74937766307934e+001°)
1.47927000000000e+009	(-2.94033737065827e+001dB,6.36498352265756e+001°)
1.49926000000000e+009	(-2.93934994120251e+001dB,5.97979344002753e+001°)
1.51925000000000e+009	(-2.93800591941117e+001dB,5.59339768291011e+001°)
1.53924000000000e+009	(-2.93632486939028e+001dB,5.20533516427752e+001°)
1.55923000000000e+009	(-2.93434115583647e+001dB,4.81507851667841e+001°)
1.57922000000000e+009	(-2.93211260505211e+001dB,4.42200921997447e+001°)
1.59921000000000e+009	(-2.92973858217857e+001dB,4.02537965334376e+001°)
1.61920000000000e+009	(-2.92740194494992e+001dB,3.62427831705367e+001°)
1.63919000000000e+009	(-2.92547364767563e+001dB,3.21774051722211e+001°)
1.65918000000000e+009	(-2.92476526875638e+001dB,2.80587671650787e+001°)
1.67917000000000e+009	(-2.92680815643017e+001dB,2.39625987598826e+001°)
1.69916000000000e+009	(-2.93138319410124e+001dB,2.01944666007511e+001°)
1.71915000000000e+009	(-2.92935669252036e+001dB,1.68676203141762e+001°)
1.73914000000000e+009	(-2.91870689535159e+001dB,1.31558542521601e+001°)
1.75913000000000e+009	(-2.90968777624103e+001dB,9.00353032075000e+000°)
1.77912000000000e+009	(-2.90347431680425e+001dB,4.72701527464670e+000°)
1.79911000000000e+009	(-2.89893338787220e+001dB,4.16693253899590e-001°)
1.81910000000000e+009	(-2.89546260893378e+001dB,-3.91256608136471e+000°)
1.83909000000000e+009	(-2.89282177635213e+001dB,-8.25955039178980e+000°)
1.85908000000000e+009	(-2.89093173269197e+001dB,-1.26242169794034e+001°)
1.87907000000000e+009	(-2.88978513272876e+001dB,-1.70055104321787e+001°)
1.89906000000000e+009	(-2.88940909138106e+001dB,-2.14011298352559e+001°)
1.91905000000000e+009	(-2.88984934379660e+001dB,-2.58075574018537e+001°)
1.93904000000000e+009	(-2.89116328459532e+001dB,-3.02199693951964e+001°)
1.95903000000000e+009	(-2.89341567243740e+001dB,-3.46319225581238e+001°)
1.97902000000000e+009	(-2.89667247683744e+001dB,-3.90348022861232e+001°)
1.99901000000000e+009	(-2.90098837707289e+001dB,-4.34171417776971e+001°)
2.01900000000000e+009	(-2.90638395299465e+001dB,-4.77641449190049e+001°)
2.03899000000000e+009	(-2.91281220226852e+001dB,-5.20580343158227e+001°)
2.05898000000000e+009	(-2.92012274259459e+001dB,-5.62799648895109e+001°)
2.07897000000000e+009	(-2.92804342754117e+001dB,-6.04137666442654e+001°)
2.09896000000000e+009	(-2.93620225847205e+001dB,-6.44505215668120e+001°)
2.11895000000000e+009	(-2.94419509655460e+001dB,-6.83917104108625e+001°)
2.13894000000000e+009	(-2.95167284619645e+001dB,-7.22488904397472e+001°)
2.15893000000000e+009	(-2.95840477730240e+001dB,-7.60399618969152e+001°)
2.17892000000000e+009	(-2.96429209787625e+001dB,-7.97842185780542e+001°)
2.19891000000000e+009	(-2.96933976009231e+001dB,-8.34985972272154e+001°)
2.21890000000000e+009	(-2.97361320933367e+001dB,-8.71961139103983e+001°)
2.23889000000000e+009	(-2.97720240176022e+001dB,-9.08860529032548e+001°)
2.25888000000000e+009	(-2.98020177504788e+001dB,-9.45749698812699e+001°)
2.27887000000000e+009	(-2.98270494894601e+001dB,-9.82677646155144e+001°)
2.29886000000000e+009	(-2.98480965824828e+001dB,-1.01968437911022e+002°)
2.31885000000000e+009	(-2.98662910523794e+001dB,-1.05680379164346e+002°)
2.33884000000000e+009	(-2.98830757329503e+001dB,-1.09406080028938e+002°)
2.35883000000000e+009	(-2.99003885802335e+001dB,-1.13146067877318e+002°)
2.37882000000000e+009	(-2.99208407546291e+001dB,-1.16896654897831e+002°)
2.39881000000000e+009	(-2.99477816287566e+001dB,-1.20646014259202e+002°)
2.41880000000000e+009	(-2.99850490712224e+001dB,-1.24368948117304e+002°)
2.43879000000000e+009	(-3.00366290890739e+001dB,-1.28023414438385e+002°)
2.45878000000000e+009	(-3.01091642170683e+001dB,-1.31541418366506e+002°)
2.47877000000000e+009	(-3.02160246927793e+001dB,-1.34701935610181e+002°)
2.49876000000000e+009	(-3.03059423406634e+001dB,-1.36870590097973e+002°)
2.51875000000000e+009	(-3.01546055666788e+001dB,-1.38382370991707e+002°)
2.53874000000000e+009	(-2.98052532657158e+001dB,-1.41206017466965e+002°)
2.55873000000000e+009	(-2.95014136779836e+001dB,-1.45303700971412e+002°)
2.57872000000000e+009	(-2.92883771515374e+001dB,-1.49845241107318e+002°)
2.59871000000000e+009	(-2.91362691388452e+001dB,-1.54476540094738e+002°)
2.61870000000000e+009	(-2.90202835479298e+001dB,-1.59109940476106e+002°)
2.63869000000000e+009	(-2.89269045606477e+001dB,-1.63737222147688e+002°)
2.65868000000000e+009	(-2.88494878088614e+001dB,-1.68367993869593e+002°)
2.67867000000000e+009	(-2.87850369465089e+001dB,-1.73012754947273e+002°)
