time	V(n_3p)
0.000000000000000e+000	0.000000e+000
4.807419073327425e-011	-2.915458e-006
9.614838146654849e-011	-4.051924e-006
1.442225721998228e-010	-3.409398e-006
1.922967629330970e-010	-9.878786e-007
2.403709536663712e-010	3.212633e-006
2.884451443996455e-010	9.192137e-006
3.365193351329196e-010	1.695063e-005
3.511916269741777e-010	2.053354e-005
3.658639188154358e-010	1.934790e-005
3.805362106566938e-010	1.339371e-005
3.952085024979518e-010	2.670979e-006
4.098807943392099e-010	-1.282030e-005
4.245530861804679e-010	-3.308013e-005
4.392253780217260e-010	-5.810851e-005
4.497483372849567e-010	-5.804942e-005
4.602712965481874e-010	-5.697220e-005
4.707942558114181e-010	-5.487685e-005
4.813172150746488e-010	-5.176337e-005
4.918401743378795e-010	-4.763176e-005
5.023631336011102e-010	-4.248201e-005
5.128860928643409e-010	-3.631414e-005
5.151267504589266e-010	-4.482464e-005
5.173674080535123e-010	-4.924166e-005
5.196080656480980e-010	-4.956521e-005
5.218487232426836e-010	-4.579529e-005
5.240893808372692e-010	-3.793188e-005
5.263300384318549e-010	-2.597500e-005
5.285706960264406e-010	-9.924643e-006
5.311681456687438e-010	4.982765e-005
5.336832200961339e-010	1.579006e-004
5.349919770394149e-010	2.423419e-004
5.361686906661939e-010	3.396193e-004
5.374623802951357e-010	4.749730e-004
5.386799822508845e-010	6.346451e-004
5.400675350003539e-010	8.624176e-004
5.414835179079009e-010	1.154477e-003
5.428145556908714e-010	1.493717e-003
5.441737295333435e-010	1.915829e-003
5.454179725148436e-010	2.379100e-003
5.466576373894041e-010	2.923735e-003
5.479850301545706e-010	3.610404e-003
5.493358663300670e-010	4.431913e-003
5.506578599902986e-010	5.368842e-003
5.519457971102149e-010	6.420638e-003
5.531831612096041e-010	7.571538e-003
5.546088487625682e-010	9.082193e-003
5.560095543011012e-010	1.077235e-002
5.573580779122393e-010	1.260476e-002
5.586459397528486e-010	1.455258e-002
5.599001102160974e-010	1.664299e-002
5.612174908124066e-010	1.905127e-002
5.625104561994981e-010	2.163181e-002
5.639105718285927e-010	2.467265e-002
5.651707027922541e-010	2.763031e-002
5.664716765153396e-010	3.090331e-002
5.676908071742801e-010	3.417114e-002
5.690236765894421e-010	3.796230e-002
5.703943948146676e-010	4.209303e-002
5.716973130935661e-010	4.622991e-002
5.730376736818677e-010	5.069000e-002
5.755846596385977e-010	5.969453e-002
5.795081801123625e-010	7.472675e-002
5.809943044340102e-010	8.078371e-002
5.824804287556579e-010	8.689817e-002
5.839665530773056e-010	9.307013e-002
5.854526773989532e-010	9.929959e-002
5.869388017206009e-010	1.055866e-001
5.884249260422487e-010	1.119310e-001
5.899110503638963e-010	1.183330e-001
5.939213824152717e-010	1.351455e-001
5.978574108486643e-010	1.508435e-001
6.004437774656325e-010	1.605797e-001
6.030301440826005e-010	1.695380e-001
6.056165106995687e-010	1.777184e-001
6.082028773165367e-010	1.851208e-001
6.107892439335048e-010	1.917453e-001
6.133756105504729e-010	1.975919e-001
6.159619771674410e-010	2.026606e-001
6.191301416230578e-010	2.075333e-001
6.222983060786746e-010	2.122402e-001
6.254664705342914e-010	2.167812e-001
6.286346349899082e-010	2.211562e-001
6.318027994455250e-010	2.253654e-001
6.349709639011417e-010	2.294086e-001
6.381391283567586e-010	2.332859e-001
6.406924077258855e-010	2.370186e-001
6.432456870950124e-010	2.400131e-001
6.457989664641393e-010	2.422694e-001
6.483522458332663e-010	2.437876e-001
6.509055252023932e-010	2.445676e-001
6.534588045715201e-010	2.446095e-001
6.560120839406470e-010	2.439132e-001
6.598661442948347e-010	2.398138e-001
6.639283835996826e-010	2.323795e-001
6.677562123584201e-010	2.226599e-001
6.717644783184156e-010	2.100631e-001
6.756078954258359e-010	1.960994e-001
6.773069313894403e-010	1.893725e-001
6.790059673530445e-010	1.824719e-001
6.807050033166489e-010	1.753977e-001
6.824040392802531e-010	1.681497e-001
6.841030752438575e-010	1.607281e-001
6.858021112074617e-010	1.531328e-001
6.875011471710661e-010	1.453639e-001
6.913657858276281e-010	1.277183e-001
6.939615156185611e-010	1.159672e-001
6.967035979711853e-010	1.038935e-001
6.995129894759866e-010	9.215232e-002
7.021752685061996e-010	8.186903e-002
7.048048208857021e-010	7.274216e-002
7.063121025177523e-010	6.804293e-002
7.077035464606583e-010	6.407622e-002
7.090420452475163e-010	6.060966e-002
7.103792972745901e-010	5.749437e-002
7.116487190506261e-010	5.485918e-002
7.130106871266650e-010	5.237493e-002
7.142942856449232e-010	5.034837e-002
7.155567951740046e-010	4.863834e-002
7.181551181243213e-010	4.592030e-002
7.209754311116613e-010	4.398449e-002
7.237313767013230e-010	4.282161e-002
7.262391232981837e-010	4.212861e-002
7.289242508099628e-010	4.151717e-002
7.315558280802421e-010	4.084391e-002
7.353914954458853e-010	3.944954e-002
7.393170892689052e-010	3.737683e-002
7.432228318706252e-010	3.478904e-002
7.458914672535460e-010	3.287945e-002
7.484114567607817e-010	3.109405e-002
7.511817716551593e-010	2.926128e-002
7.550147115270873e-010	2.709938e-002
7.591494735045989e-010	2.533891e-002
7.618856450372205e-010	2.447072e-002
7.644271216321654e-010	2.382687e-002
7.658940112102848e-010	2.350845e-002
7.672263227384929e-010	2.324522e-002
7.684563778949310e-010	2.302016e-002
7.697469986869223e-010	2.279989e-002
7.712213567085549e-010	2.256681e-002
7.740412593706454e-010	2.218126e-002
7.779445085192815e-010	2.184085e-002
7.820354861082663e-010	2.190081e-002
7.845667388458399e-010	2.225015e-002
7.873830486865210e-010	2.297836e-002
7.899831794687592e-010	2.397868e-002
7.942123022093998e-010	2.617763e-002
7.955600692369323e-010	2.703444e-002
7.969078362644648e-010	2.785370e-002
7.982556032919972e-010	2.863540e-002
7.996033703195297e-010	2.937956e-002
8.009511373470621e-010	3.008617e-002
8.022989043745946e-010	3.075523e-002
8.036466714021270e-010	3.138674e-002
8.062138180486371e-010	3.212773e-002
8.075969637980530e-010	3.229901e-002
8.090907566581746e-010	3.227992e-002
8.105688018890264e-010	3.203871e-002
8.118248603416419e-010	3.165358e-002
8.131970131085570e-010	3.104184e-002
8.146571692560407e-010	3.017555e-002
8.161299017343359e-010	2.908673e-002
