Freq.	V(d_3p)
2.00000000000000e+007	(-7.94590718254499e+000dB,-5.00106888649389e-001°)
3.99900000000000e+007	(-7.95487839248712e+000dB,-8.93414791642734e-001°)
5.99800000000000e+007	(-7.95895344261569e+000dB,-1.28327761473216e+000°)
7.99700000000000e+007	(-7.96160796176242e+000dB,-1.67619583292472e+000°)
9.99600000000000e+007	(-7.96381599632841e+000dB,-2.07025826908817e+000°)
1.19950000000000e+008	(-7.96585765499579e+000dB,-2.46376402774801e+000°)
1.39940000000000e+008	(-7.96778471045008e+000dB,-2.85563615678637e+000°)
1.59930000000000e+008	(-7.96956071115774e+000dB,-3.24524152530173e+000°)
1.79920000000000e+008	(-7.97110745591363e+000dB,-3.63225809034697e+000°)
1.99910000000000e+008	(-7.97232097468985e+000dB,-4.01662946199171e+000°)
2.19900000000000e+008	(-7.97307959889549e+000dB,-4.39860489405426e+000°)
2.39890000000000e+008	(-7.97326001736660e+000dB,-4.77885218679089e+000°)
2.59880000000000e+008	(-7.97277771595928e+000dB,-5.15855907073707e+000°)
2.79870000000000e+008	(-7.97165374050854e+000dB,-5.53929882804604e+000°)
2.99860000000000e+008	(-7.97006170839228e+000dB,-5.92243548696896e+000°)
3.19850000000000e+008	(-7.96827489201666e+000dB,-6.30832556985861e+000°)
3.39840000000000e+008	(-7.96651930843888e+000dB,-6.69611814107652e+000°)
3.59830000000000e+008	(-7.96486829956332e+000dB,-7.08443326749021e+000°)
3.79820000000000e+008	(-7.96326231310289e+000dB,-7.47217801910125e+000°)
3.99810000000000e+008	(-7.96159063050399e+000dB,-7.85885040073947e+000°)
4.19800000000000e+008	(-7.95975209129388e+000dB,-8.24441503120403e+000°)
4.39790000000000e+008	(-7.95767629078172e+000dB,-8.62907719892802e+000°)
4.59780000000000e+008	(-7.95532206600137e+000dB,-9.01312082833191e+000°)
4.79770000000000e+008	(-7.95266928660540e+000dB,-9.39682671045587e+000°)
4.99760000000000e+008	(-7.94971111659372e+000dB,-9.78044169986256e+000°)
5.19750000000000e+008	(-7.94644850383959e+000dB,-1.01641725591372e+001°)
5.39740000000000e+008	(-7.94288668381166e+000dB,-1.05481894785867e+001°)
5.59730000000000e+008	(-7.93903308683864e+000dB,-1.09326323175364e+001°)
5.79720000000000e+008	(-7.93489612815565e+000dB,-1.13176167983859e+001°)
5.99710000000000e+008	(-7.93048452725243e+000dB,-1.17032397663323e+001°)
6.19700000000000e+008	(-7.92580693712750e+000dB,-1.20895833814661e+001°)
6.39690000000000e+008	(-7.92087175266190e+000dB,-1.24767183684772e+001°)
6.59680000000000e+008	(-7.91568702154177e+000dB,-1.28647065085977e+001°)
6.79670000000000e+008	(-7.91026041321928e+000dB,-1.32536025465494e+001°)
6.99660000000000e+008	(-7.90459922008797e+000dB,-1.36434556537399e+001°)
7.19650000000000e+008	(-7.89871037590068e+000dB,-1.40343105567790e+001°)
7.39640000000000e+008	(-7.89260048276355e+000dB,-1.44262084133903e+001°)
7.59630000000000e+008	(-7.88627584172066e+000dB,-1.48191874968265e+001°)
7.79620000000000e+008	(-7.87974248409945e+000dB,-1.52132837341796e+001°)
7.99610000000000e+008	(-7.87300620205299e+000dB,-1.56085311323787e+001°)
8.19600000000000e+008	(-7.86607257748121e+000dB,-1.60049621171728e+001°)
8.39590000000000e+008	(-7.85894700894931e+000dB,-1.64026078041545e+001°)
8.59580000000000e+008	(-7.85163473647564e+000dB,-1.68014982162971e+001°)
8.79570000000000e+008	(-7.84414086420321e+000dB,-1.72016624590756e+001°)
8.99560000000000e+008	(-7.83647038105041e+000dB,-1.76031288617136e+001°)
9.19550000000000e+008	(-7.82862817947349e+000dB,-1.80059250911967e+001°)
9.39540000000000e+008	(-7.82061907249041e+000dB,-1.84100782442489e+001°)
9.59530000000000e+008	(-7.81244780911894e+000dB,-1.88156149213753e+001°)
