Freq.	V(d_3p)
2.00000000000000e+007	(-7.94587958093143e+000dB,-4.21667223630455e-001°)
3.99900000000000e+007	(-7.94759169662489e+000dB,-8.31683720306403e-001°)
5.99800000000000e+007	(-7.94896064041306e+000dB,-1.23831072040033e+000°)
7.99700000000000e+007	(-7.95027584289128e+000dB,-1.64364482689389e+000°)
9.99600000000000e+007	(-7.95165134546541e+000dB,-2.04752527129825e+000°)
1.19950000000000e+008	(-7.95308995719494e+000dB,-2.44960319767492e+000°)
1.39940000000000e+008	(-7.95455288147887e+000dB,-2.84964288922705e+000°)
1.59930000000000e+008	(-7.95598772902322e+000dB,-3.24753760961004e+000°)
1.79920000000000e+008	(-7.95734033605031e+000dB,-3.64328634795273e+000°)
1.99910000000000e+008	(-7.95856020807403e+000dB,-4.03696779689803e+000°)
2.19900000000000e+008	(-7.95960302038504e+000dB,-4.42871724450916e+000°)
2.39890000000000e+008	(-7.96043155710430e+000dB,-4.81870729752951e+000°)
2.59880000000000e+008	(-7.96101576345943e+000dB,-5.20713243831846e+000°)
2.79870000000000e+008	(-7.96133229697022e+000dB,-5.59419711716552e+000°)
2.99860000000000e+008	(-7.96136381778706e+000dB,-5.98010693472412e+000°)
3.19850000000000e+008	(-7.96109817146688e+000dB,-6.36506240908534e+000°)
3.39840000000000e+008	(-7.96052756026795e+000dB,-6.74925482382397e+000°)
3.59830000000000e+008	(-7.95964776017941e+000dB,-7.13286369464406e+000°)
3.79820000000000e+008	(-7.95845741457022e+000dB,-7.51605545381301e+000°)
3.99810000000000e+008	(-7.95695741790420e+000dB,-7.89898301960227e+000°)
4.19800000000000e+008	(-7.95515039184626e+000dB,-8.28178598386066e+000°)
4.39790000000000e+008	(-7.95304024938806e+000dB,-8.66459121001149e+000°)
4.59780000000000e+008	(-7.95063183895570e+000dB,-9.04751368423741e+000°)
4.79770000000000e+008	(-7.94793065880748e+000dB,-9.43065750407641e+000°)
4.99760000000000e+008	(-7.94494263166620e+000dB,-9.81411692169348e+000°)
5.19750000000000e+008	(-7.94167392994038e+000dB,-1.01979773847497e+001°)
5.39740000000000e+008	(-7.93813084272743e+000dB,-1.05823165372375e+001°)
5.59730000000000e+008	(-7.93431967682871e+000dB,-1.09672051570625e+001°)
5.79720000000000e+008	(-7.93024668508847e+000dB,-1.13527080175646e+001°)
5.99710000000000e+008	(-7.92591801641423e+000dB,-1.17388846675013e+001°)
6.19700000000000e+008	(-7.92133968279335e+000dB,-1.21257901290127e+001°)
6.39690000000000e+008	(-7.91651753946308e+000dB,-1.25134755163426e+001°)
6.59680000000000e+008	(-7.91145727512263e+000dB,-1.29019885800906e+001°)
6.79670000000000e+008	(-7.90616440969023e+000dB,-1.32913741828730e+001°)
6.99660000000000e+008	(-7.90064429762095e+000dB,-1.36816747127476e+001°)
7.19650000000000e+008	(-7.89490213522360e+000dB,-1.40729304408164e+001°)
7.39640000000000e+008	(-7.88894297075807e+000dB,-1.44651798292168e+001°)
7.59630000000000e+008	(-7.88277171637056e+000dB,-1.48584597953286e+001°)
7.79620000000000e+008	(-7.87639316114702e+000dB,-1.52528059375690e+001°)
7.99610000000000e+008	(-7.86981198473971e+000dB,-1.56482527276417e+001°)
8.19600000000000e+008	(-7.86303277116236e+000dB,-1.60448336735993e+001°)
8.39590000000000e+008	(-7.85606002245555e+000dB,-1.64425814575907e+001°)
8.59580000000000e+008	(-7.84889817201209e+000dB,-1.68415280517060e+001°)
8.79570000000000e+008	(-7.84155159741378e+000dB,-1.72417048149056e+001°)
8.99560000000000e+008	(-7.83402463268521e+000dB,-1.76431425736436e+001°)
9.19550000000000e+008	(-7.82632157990370e+000dB,-1.80458716884475e+001°)
9.39540000000000e+008	(-7.81844672013673e+000dB,-1.84499221084162e+001°)
9.59530000000000e+008	(-7.81040432369754e+000dB,-1.88553234153292e+001°)
9.79520000000000e+008	(-7.80219865972509e+000dB,-1.92621048588278e+001°)
9.99510000000000e+008	(-7.79383400510596e+000dB,-1.96702953839201e+001°)
1.01950000000000e+009	(-7.78531465276274e+000dB,-2.00799236518902e+001°)
1.03949000000000e+009	(-7.77664491933767e+000dB,-2.04910180555330e+001°)
1.05948000000000e+009	(-7.76782915230473e+000dB,-2.09036067295045e+001°)
1.07947000000000e+009	(-7.75887173654346e+000dB,-2.13177175564666e+001°)
1.09946000000000e+009	(-7.74977710040795e+000dB,-2.17333781695986e+001°)
1.11945000000000e+009	(-7.74054972132479e+000dB,-2.21506159519723e+001°)
1.13944000000000e+009	(-7.73119413095140e+000dB,-2.25694580332055e+001°)
1.15943000000000e+009	(-7.72171491992610e+000dB,-2.29899312837538e+001°)
