Freq.	V(d_3p)
2.00000000000000e+007	(-7.93537286370035e+000dB,-4.28737913184959e-001°)
3.99900000000000e+007	(-7.93706159261941e+000dB,-8.30907024462283e-001°)
5.99800000000000e+007	(-7.93854166317630e+000dB,-1.23720936533988e+000°)
7.99700000000000e+007	(-7.94041413831305e+000dB,-1.64211133836099e+000°)
9.99600000000000e+007	(-7.94259165059128e+000dB,-2.04419630106190e+000°)
1.19950000000000e+008	(-7.94496613724017e+000dB,-2.44281833848361e+000°)
1.39940000000000e+008	(-7.94741824255570e+000dB,-2.83761669074865e+000°)
1.59930000000000e+008	(-7.94982180204667e+000dB,-3.22843035123932e+000°)
1.79920000000000e+008	(-7.95204542500871e+000dB,-3.61527089081038e+000°)
1.99910000000000e+008	(-7.95395136355873e+000dB,-3.99833542164946e+000°)
2.19900000000000e+008	(-7.95539598620314e+000dB,-4.37807586715983e+000°)
2.39890000000000e+008	(-7.95624186094035e+000dB,-4.75532659157086e+000°)
2.59880000000000e+008	(-7.95639577829060e+000dB,-5.13141382717423e+000°)
2.79870000000000e+008	(-7.95587389818089e+000dB,-5.50802649095144e+000°)
2.99860000000000e+008	(-7.95484766669722e+000dB,-5.88662523389799e+000°)
3.19850000000000e+008	(-7.95359016349953e+000dB,-6.26764688743665e+000°)
3.39840000000000e+008	(-7.95232862065946e+000dB,-6.65030615015043e+000°)
3.59830000000000e+008	(-7.95113846862432e+000dB,-7.03327545136868e+000°)
3.79820000000000e+008	(-7.94996265962167e+000dB,-7.41550284183518e+000°)
3.99810000000000e+008	(-7.94869309102079e+000dB,-7.79651810005815e+000°)
4.19800000000000e+008	(-7.94723116485328e+000dB,-8.17631035143830e+000°)
4.39790000000000e+008	(-7.94550890115271e+000dB,-8.55510363818634e+000°)
4.59780000000000e+008	(-7.94348737762714e+000dB,-8.93319604606497e+000°)
4.79770000000000e+008	(-7.94114849433738e+000dB,-9.31087885324110e+000°)
4.99760000000000e+008	(-7.93848722274479e+000dB,-9.68840647576555e+000°)
5.19750000000000e+008	(-7.93550609282835e+000dB,-1.00659909301125e+001°)
5.39740000000000e+008	(-7.93221170207215e+000dB,-1.04438058633376e+001°)
5.59730000000000e+008	(-7.92861263336951e+000dB,-1.08219932137960e+001°)
5.79720000000000e+008	(-7.92471825915170e+000dB,-1.12006697473971e+001°)
5.99710000000000e+008	(-7.92053807675007e+000dB,-1.15799325944476e+001°)
6.19700000000000e+008	(-7.91608135447743e+000dB,-1.19598636644821e+001°)
6.39690000000000e+008	(-7.91135695684998e+000dB,-1.23405330736031e+001°)
6.59680000000000e+008	(-7.90637327184638e+000dB,-1.27220017769088e+001°)
6.79670000000000e+008	(-7.90113819535244e+000dB,-1.31043235854965e+001°)
6.99660000000000e+008	(-7.89565914676728e+000dB,-1.34875467149125e+001°)
7.19650000000000e+008	(-7.88994310069906e+000dB,-1.38717149788000e+001°)
7.39640000000000e+008	(-7.88399662605311e+000dB,-1.42568687136853e+001°)
7.59630000000000e+008	(-7.87782592754248e+000dB,-1.46430454991963e+001°)
7.79620000000000e+008	(-7.87143688683671e+000dB,-1.50302807217140e+001°)
7.99610000000000e+008	(-7.86483510184957e+000dB,-1.54186080173872e+001°)
8.19600000000000e+008	(-7.85802592342336e+000dB,-1.58080596215523e+001°)
8.39590000000000e+008	(-7.85101448910535e+000dB,-1.61986666450309e+001°)
8.59580000000000e+008	(-7.84380575397015e+000dB,-1.65904592929336e+001°)
8.79570000000000e+008	(-7.83640451857903e+000dB,-1.69834670379728e+001°)
8.99560000000000e+008	(-7.82881545424715e+000dB,-1.73777187575847e+001°)
9.19550000000000e+008	(-7.82104312581923e+000dB,-1.77732428421069e+001°)
9.39540000000000e+008	(-7.81309201216927e+000dB,-1.81700672796994e+001°)
9.59530000000000e+008	(-7.80496652463620e+000dB,-1.85682197225013e+001°)
9.79520000000000e+008	(-7.79667102359701e+000dB,-1.89677275375908e+001°)
9.99510000000000e+008	(-7.78820983336571e+000dB,-1.93686178455925e+001°)
1.01950000000000e+009	(-7.77958725559088e+000dB,-1.97709175492163e+001°)
1.03949000000000e+009	(-7.77080758130791e+000dB,-2.01746533535626e+001°)
1.05948000000000e+009	(-7.76187510178811e+000dB,-2.05798517796790e+001°)
1.07947000000000e+009	(-7.75279411831168e+000dB,-2.09865391725692e+001°)
1.09946000000000e+009	(-7.74356895097794e+000dB,-2.13947417046319e+001°)
1.11945000000000e+009	(-7.73420394665408e+000dB,-2.18044853753224e+001°)
1.13944000000000e+009	(-7.72470348615290e+000dB,-2.22157960076852e+001°)
1.15943000000000e+009	(-7.71507199071966e+000dB,-2.26286992422871e+001°)
1.17942000000000e+009	(-7.70531392789984e+000dB,-2.30432205289810e+001°)
1.19941000000000e+009	(-7.69543381684945e+000dB,-2.34593851168524e+001°)
1.21940000000000e+009	(-7.68543623314571e+000dB,-2.38772180426365e+001°)
1.23939000000000e+009	(-7.67532581314673e+000dB,-2.42967441178413e+001°)
1.25938000000000e+009	(-7.66510725794332e+000dB,-2.47179879147657e+001°)
1.27937000000000e+009	(-7.65478533694287e+000dB,-2.51409737515671e+001°)
1.29936000000000e+009	(-7.64436489111824e+000dB,-2.55657256765062e+001°)
1.31935000000000e+009	(-7.63385083595238e+000dB,-2.59922674514684e+001°)
1.33934000000000e+009	(-7.62324816410409e+000dB,-2.64206225348422e+001°)
1.35933000000000e+009	(-7.61256194781903e+000dB,-2.68508140638211e+001°)
1.37932000000000e+009	(-7.60179734110499e+000dB,-2.72828648361805e+001°)
1.39931000000000e+009	(-7.59095958168946e+000dB,-2.77167972915684e+001°)
1.41930000000000e+009	(-7.58005399277442e+000dB,-2.81526334923422e+001°)
1.43929000000000e+009	(-7.56908598460138e+000dB,-2.85903951039781e+001°)
1.45928000000000e+009	(-7.55806105583789e+000dB,-2.90301033750693e+001°)
1.47927000000000e+009	(-7.54698479479416e+000dB,-2.94717791169292e+001°)
1.49926000000000e+009	(-7.53586288047898e+000dB,-2.99154426828098e+001°)
1.51925000000000e+009	(-7.52470108349984e+000dB,-3.03611139467449e+001°)
