time	V(d_3p)
0.000000000000000e+000	0.000000e+000
6.720405510212905e-012	-1.336324e-005
8.576542748065251e-012	2.518605e-005
8.989157176913072e-012	4.535189e-005
9.401771605760894e-012	5.892987e-005
9.814386034608715e-012	6.591999e-005
1.022700046345654e-011	6.632225e-005
1.063961489230436e-011	6.013666e-005
1.105222932115218e-011	4.736320e-005
1.146484375000000e-011	2.800189e-005
1.242478365029669e-011	-8.201355e-005
1.437488891199372e-011	-4.392506e-004
1.535145141199372e-011	-5.301462e-004
1.632801391199372e-011	-3.815939e-004
1.730457641199372e-011	1.945816e-004
1.828113891199372e-011	1.421304e-003
1.925770141199372e-011	3.544213e-003
2.023426391199372e-011	6.812815e-003
2.121082641199371e-011	1.145583e-002
2.218738891199371e-011	1.765402e-002
2.316395141199371e-011	2.551498e-002
2.414051391199371e-011	3.505472e-002
2.511707641199371e-011	4.618962e-002
2.609363891199371e-011	5.874022e-002
2.707020141199371e-011	7.244664e-002
2.804676391199371e-011	8.699278e-002
3.097645141199371e-011	1.322805e-001
3.292957641199372e-011	1.609351e-001
3.488270141199372e-011	1.866992e-001
3.683582641199373e-011	2.092631e-001
3.878895141199373e-011	2.289981e-001
4.171863891199374e-011	2.546388e-001
4.352948067456606e-011	2.684127e-001
4.534032243713839e-011	2.812061e-001
4.715116419971071e-011	2.930190e-001
4.896200596228304e-011	3.038512e-001
5.077284772485536e-011	3.137030e-001
5.258368948742768e-011	3.225742e-001
5.439453125000001e-011	3.304648e-001
5.606459027653755e-011	3.385416e-001
5.773464930307510e-011	3.475376e-001
5.940470832961264e-011	3.574530e-001
6.107476735615018e-011	3.682877e-001
6.274482638268773e-011	3.800417e-001
6.441488540922527e-011	3.927150e-001
6.608494443576281e-011	4.063076e-001
6.866668071089604e-011	4.219759e-001
7.057950868613606e-011	4.272068e-001
7.155607118613606e-011	4.269592e-001
7.253263368613605e-011	4.244880e-001
7.350919618613605e-011	4.197292e-001
7.546232118613604e-011	4.036776e-001
7.741544618613603e-011	3.805214e-001
7.838111497482870e-011	3.666218e-001
7.934678376352137e-011	3.528220e-001
8.031245255221404e-011	3.391220e-001
8.127812134090672e-011	3.255217e-001
8.224379012959938e-011	3.120212e-001
8.320945891829206e-011	2.986205e-001
8.417512770698473e-011	2.853196e-001
8.710481520698472e-011	2.505352e-001
9.003450270698470e-011	2.207914e-001
9.296419020698469e-011	1.949027e-001
9.491731520698468e-011	1.797404e-001
9.687044020698467e-011	1.664831e-001
9.882356520698467e-011	1.552196e-001
1.017532527069847e-010	1.413908e-001
1.025903062784132e-010	1.380400e-001
1.034273598498418e-010	1.344878e-001
1.042644134212704e-010	1.307342e-001
1.051014669926989e-010	1.267793e-001
1.059385205641275e-010	1.226229e-001
1.067755741355561e-010	1.182652e-001
1.076126277069846e-010	1.137060e-001
1.085891902069846e-010	1.075887e-001
1.095657527069846e-010	1.008303e-001
1.105423152069846e-010	9.343310e-002
1.115188777069846e-010	8.544126e-002
1.134720027069846e-010	6.804007e-002
1.164016902069846e-010	4.045436e-002
1.173782527069846e-010	3.148512e-002
1.183548152069846e-010	2.286950e-002
1.193313777069846e-010	1.472089e-002
1.203079402069846e-010	7.123720e-003
1.212845027069846e-010	1.312640e-004
1.222610652069846e-010	-6.233849e-003
1.232376277069846e-010	-1.197653e-002
1.242141902069846e-010	-1.712412e-002
1.251907527069846e-010	-2.171998e-002
1.261673152069846e-010	-2.581647e-002
