time	V(d_3p)
0.000000000000000e+000	0.000000e+000
1.357723307784231e-012	2.240550e-006
2.715446615568462e-012	2.514054e-006
4.073169923352693e-012	8.205124e-007
5.430893231136924e-012	-2.840075e-006
6.788616538921156e-012	-8.467709e-006
8.146339846705386e-012	-1.606239e-005
9.504063154489614e-012	-2.562411e-005
1.020270145384824e-011	-1.300780e-005
1.090133975320687e-011	1.058926e-005
1.159997805256550e-011	4.516708e-005
1.229861635192412e-011	9.072565e-005
1.299725465128275e-011	1.472650e-004
1.369589295064138e-011	2.147850e-004
1.439453125000000e-011	2.932859e-004
1.537109375000000e-011	3.834383e-004
1.634765625000000e-011	4.504645e-004
1.732421875000000e-011	4.801640e-004
1.830078125000000e-011	4.611016e-004
1.927734375000000e-011	3.871210e-004
2.025390625000000e-011	2.602970e-004
2.318359374999999e-011	-2.589997e-004
2.416015624999999e-011	-3.750238e-004
2.513671874999999e-011	-4.040692e-004
2.611328124999999e-011	-3.204364e-004
2.708984374999999e-011	-1.136866e-004
2.806640624999999e-011	2.071151e-004
2.904296874999999e-011	6.121539e-004
3.099609374999999e-011	1.468803e-003
3.197265624999999e-011	1.793717e-003
3.294921875000000e-011	1.968255e-003
3.392578125000000e-011	1.949577e-003
3.490234375000000e-011	1.721565e-003
3.587890625000000e-011	1.302692e-003
3.685546875000001e-011	7.507644e-004
3.783203125000001e-011	1.639174e-004
3.880859375000001e-011	-3.223730e-004
3.978515625000001e-011	-5.420369e-004
4.076171875000002e-011	-3.083211e-004
4.173828125000002e-011	5.740398e-004
4.271484375000002e-011	2.295488e-003
4.369140625000002e-011	5.028320e-003
4.466796875000002e-011	8.914492e-003
4.564453125000003e-011	1.405557e-002
4.662109375000003e-011	2.050552e-002
4.759765625000003e-011	2.826692e-002
4.857421875000003e-011	3.729063e-002
4.955078125000004e-011	4.747888e-002
5.029296875000000e-011	5.593032e-002
5.146484375000000e-011	7.028306e-002
5.244140625000000e-011	8.297562e-002
5.732421875000002e-011	1.491196e-001
5.927734375000001e-011	1.735794e-001
6.070062990286813e-011	1.894953e-001
6.212391605573627e-011	2.042918e-001
6.354720220860439e-011	2.179689e-001
6.497048836147252e-011	2.305266e-001
6.639377451434066e-011	2.419649e-001
6.781706066720878e-011	2.522838e-001
6.924034682007691e-011	2.614833e-001
7.132703536371123e-011	2.748578e-001
7.341372390734555e-011	2.870280e-001
7.550041245097988e-011	2.979938e-001
7.758710099461420e-011	3.077552e-001
7.967378953824852e-011	3.163123e-001
8.176047808188284e-011	3.236649e-001
8.384716662551716e-011	3.298132e-001
8.510274698266002e-011	3.345469e-001
8.635832733980287e-011	3.387366e-001
8.761390769694573e-011	3.423824e-001
8.886948805408858e-011	3.454843e-001
9.012506841123142e-011	3.480423e-001
9.138064876837427e-011	3.500564e-001
9.263622912551713e-011	3.515266e-001
9.458935412551712e-011	3.488565e-001
9.654247912551711e-011	3.408731e-001
9.849560412551710e-011	3.273051e-001
1.004487291255171e-010	3.087103e-001
1.033784166255171e-010	2.742938e-001
1.044944880540885e-010	2.596488e-001
1.056105594826599e-010	2.455104e-001
1.067266309112314e-010	2.318787e-001
