time	V(d_3p)
0.000000000000000e+000	0.000000e+000
5.591155656081716e-013	2.156635e-006
1.118231131216343e-012	2.901502e-006
1.677346696824515e-012	2.234601e-006
2.236462262432686e-012	1.559320e-007
2.795577828040858e-012	-3.334505e-006
3.354693393649029e-012	-8.236709e-006
3.913808959257200e-012	-1.455068e-005
7.027821052389773e-012	4.118776e-005
7.873535876884890e-012	3.038472e-005
1.068359375000000e-011	-7.483254e-005
1.146484375000000e-011	-7.219289e-005
1.244140625000000e-011	-7.774853e-006
1.341796875000000e-011	1.236964e-004
1.537109375000000e-011	4.407994e-004
1.634765625000000e-011	5.622535e-004
1.732421875000000e-011	6.352172e-004
1.830078125000000e-011	6.462505e-004
1.927734375000000e-011	5.825504e-004
2.025390625000000e-011	4.366534e-004
2.123046875000000e-011	2.136580e-004
2.318359374999999e-011	-3.513782e-004
2.416015624999999e-011	-5.943163e-004
2.513671874999999e-011	-7.310098e-004
2.611328124999999e-011	-7.090353e-004
2.708984374999999e-011	-4.971494e-004
2.806640624999999e-011	-9.477547e-005
2.904296874999999e-011	4.638974e-004
3.099609374999999e-011	1.760002e-003
3.197265624999999e-011	2.306481e-003
3.283516328890635e-011	2.629981e-003
3.362977573796430e-011	2.747656e-003
3.441092778336913e-011	2.669822e-003
3.524619660168125e-011	2.370913e-003
3.603397323091167e-011	1.904641e-003
3.685918783596643e-011	1.273084e-003
3.778072786284259e-011	4.906583e-004
3.865550007460385e-011	-2.057050e-004
3.946365935253439e-011	-6.819032e-004
4.025059070450301e-011	-8.659984e-004
4.109403538995923e-011	-6.144236e-004
4.188714444977839e-011	1.731456e-004
4.272404043070062e-011	1.716711e-003
4.355702654188588e-011	4.095506e-003
4.453358904188588e-011	8.085711e-003
4.551015154188589e-011	1.346958e-002
4.648671404188589e-011	2.029848e-002
4.746327654188589e-011	2.856383e-002
4.843983904188589e-011	3.819811e-002
4.941640154188590e-011	4.907968e-002
5.029296875000000e-011	5.978918e-002
5.146484375000000e-011	7.519331e-002
5.340317666424605e-011	1.024509e-001
5.633286416424606e-011	1.441981e-001
5.828598916424606e-011	1.702027e-001
5.954946558367770e-011	1.855434e-001
6.081294200310936e-011	1.997165e-001
6.207641842254100e-011	2.127219e-001
6.333989484197265e-011	2.245598e-001
6.460337126140430e-011	2.352301e-001
6.586684768083595e-011	2.447329e-001
6.713032410026759e-011	2.530680e-001
6.949423852890829e-011	2.684708e-001
7.185815295754899e-011	2.823951e-001
7.422206738618968e-011	2.948407e-001
7.658598181483038e-011	3.058078e-001
7.894989624347109e-011	3.152964e-001
8.131381067211178e-011	3.233063e-001
8.367772510075247e-011	3.298377e-001
8.479379652932389e-011	3.338047e-001
8.590986795789532e-011	3.375152e-001
8.702593938646674e-011	3.409691e-001
8.814201081503817e-011	3.441665e-001
8.925808224360959e-011	3.471074e-001
9.037415367218102e-011	3.497918e-001
9.149022510075244e-011	3.522196e-001
9.344335010075243e-011	3.520907e-001
9.539647510075242e-011	3.466203e-001
9.734960010075242e-011	3.350862e-001
9.930272510075241e-011	3.176992e-001
1.012558501007524e-010	2.955643e-001
1.022324126007524e-010	2.826816e-001
1.032089751007524e-010	2.698784e-001
1.041855376007524e-010	2.571545e-001
1.051621001007524e-010	2.445100e-001
1.061386626007524e-010	2.319450e-001
1.071152251007524e-010	2.194594e-001
1.080917876007524e-010	2.070532e-001
1.100449126007524e-010	1.853394e-001
1.119980376007524e-010	1.666750e-001
1.139511626007523e-010	1.509048e-001
1.159042876007523e-010	1.375152e-001
1.178574126007523e-010	1.258805e-001
1.207871001007523e-010	1.106485e-001
1.237167876007523e-010	9.759673e-002
1.256699126007523e-010	9.039164e-002
1.276230376007523e-010	8.480790e-002
1.285996001007523e-010	8.273663e-002
1.295761626007523e-010	8.118865e-002
1.305527251007523e-010	8.017887e-002
1.315292876007523e-010	7.970542e-002
1.325058501007523e-010	7.974849e-002
1.334824126007523e-010	8.027047e-002
1.354355376007523e-010	8.252070e-002
1.364121001007523e-010	8.430635e-002
1.373886626007522e-010	8.607440e-002
1.383652251007522e-010	8.782484e-002
1.393417876007522e-010	8.955768e-002
1.403183501007522e-010	9.127291e-002
1.412949126007522e-010	9.297054e-002
1.422714751007522e-010	9.465057e-002
1.442246001007522e-010	9.686568e-002
1.461777251007522e-010	9.790977e-002
1.481308501007522e-010	9.778400e-002
1.510605376007522e-010	9.574515e-002
1.539902251007522e-010	9.213040e-002
1.559433501007522e-010	8.897970e-002
1.578964751007522e-010	8.568526e-002
1.598496001007522e-010	8.224708e-002
1.618027251007521e-010	7.866516e-002
1.637558501007521e-010	7.493949e-002
1.657089751007521e-010	7.107009e-002
1.676621001007521e-010	6.705694e-002
1.687781715293236e-010	6.497169e-002
1.698942429578950e-010	6.278987e-002
1.710103143864664e-010	6.051148e-002
1.721263858150378e-010	5.813651e-002
1.732424572436092e-010	5.566497e-002
1.743585286721807e-010	5.309686e-002
1.754746001007521e-010	5.043217e-002
1.774277251007521e-010	4.485772e-002
1.784042876007521e-010	4.166788e-002
1.793808501007521e-010	3.817878e-002
1.803574126007521e-010	3.437973e-002
1.813339751007521e-010	3.027206e-002
1.823105376007521e-010	2.587011e-002
1.832871001007521e-010	2.120157e-002
1.842636626007520e-010	1.630698e-002
1.852402251007520e-010	1.123848e-002
1.881699126007520e-010	-4.358509e-003
1.891464751007520e-010	-9.446420e-003
1.901230376007520e-010	-1.435674e-002
1.910996001007520e-010	-1.902207e-002
1.920761626007520e-010	-2.338292e-002
1.930527251007520e-010	-2.738994e-002
1.940292876007520e-010	-3.100562e-002
1.950058501007520e-010	-3.420524e-002
1.959824126007520e-010	-3.697712e-002
1.969589751007520e-010	-3.932221e-002
1.979355376007520e-010	-4.125290e-002
1.989121001007520e-010	-4.279142e-002
1.998886626007520e-010	-4.396768e-002
2.008652251007520e-010	-4.481699e-002
2.018417876007520e-010	-4.537755e-002
2.037949126007520e-010	-4.578542e-002
2.057480376007520e-010	-4.546972e-002
2.086777251007519e-010	-4.405727e-002
2.116074126007519e-010	-4.174389e-002
2.135605376007519e-010	-3.968666e-002
2.155136626007519e-010	-3.718210e-002
2.174667876007519e-010	-3.423849e-002
2.203964751007519e-010	-2.917846e-002
2.212335286721805e-010	-2.760914e-002
2.220705822436090e-010	-2.607249e-002
2.229076358150376e-010	-2.456851e-002
2.237446893864662e-010	-2.309721e-002
2.245817429578947e-010	-2.165858e-002
2.254187965293233e-010	-2.025262e-002
2.262558501007519e-010	-1.887933e-002
2.272324126007519e-010	-1.743099e-002
2.282089751007519e-010	-1.611366e-002
2.291855376007519e-010	-1.493928e-002
2.301621001007519e-010	-1.391525e-002
2.311386626007518e-010	-1.304441e-002
2.321152251007518e-010	-1.232537e-002
2.330917876007519e-010	-1.175294e-002
2.340683501007519e-010	-1.131881e-002
2.350449126007519e-010	-1.101221e-002
2.360214751007519e-010	-1.082069e-002
2.369980376007520e-010	-1.073083e-002
2.379746001007520e-010	-1.072894e-002
2.399277251007520e-010	-1.093612e-002
2.428574126007521e-010	-1.160116e-002
2.449500465293235e-010	-1.223014e-002
2.470426804578950e-010	-1.288242e-002
2.491353143864665e-010	-1.355798e-002
2.512279483150380e-010	-1.425683e-002
2.533205822436094e-010	-1.497897e-002
2.554132161721810e-010	-1.572440e-002
2.575058501007524e-010	-1.649311e-002
2.604355376007525e-010	-1.785852e-002
2.633652251007525e-010	-1.965118e-002
2.662949126007526e-010	-2.193117e-002
2.672714751007526e-010	-2.282501e-002
2.682480376007526e-010	-2.370727e-002
2.692246001007527e-010	-2.457796e-002
2.702011626007527e-010	-2.543707e-002
2.711777251007527e-010	-2.628460e-002
2.721542876007527e-010	-2.712055e-002
2.731308501007528e-010	-2.794493e-002
2.750839751007528e-010	-2.924379e-002
2.770371001007528e-010	-3.008334e-002
2.789902251007529e-010	-3.036050e-002
2.809433501007529e-010	-3.002869e-002
2.828964751007530e-010	-2.910332e-002
2.848496001007530e-010	-2.765557e-002
2.868027251007531e-010	-2.579622e-002
2.897324126007531e-010	-2.251587e-002
2.916855376007532e-010	-2.012392e-002
2.936386626007532e-010	-1.778153e-002
2.955917876007533e-010	-1.548868e-002
2.975449126007533e-010	-1.324537e-002
2.994980376007533e-010	-1.105162e-002
3.014511626007534e-010	-8.907412e-003
3.034042876007534e-010	-6.812752e-003
3.053574126007535e-010	-4.830474e-003
3.073105376007535e-010	-2.972403e-003
3.082871001007535e-010	-2.104467e-003
3.092636626007536e-010	-1.285766e-003
3.102402251007536e-010	-5.226056e-004
3.112167876007536e-010	1.791465e-004
3.121933501007536e-010	8.143650e-004
3.131699126007536e-010	1.378925e-003
3.141464751007537e-010	1.869906e-003
3.151230376007537e-010	2.285728e-003
3.160996001007537e-010	2.626213e-003
3.170761626007537e-010	2.892587e-003
3.180527251007537e-010	3.087397e-003
3.190292876007538e-010	3.214385e-003
3.200058501007538e-010	3.278308e-003
3.209824126007538e-010	3.284729e-003
3.219589751007538e-010	3.239786e-003
3.229355376007539e-010	3.149967e-003
3.248886626007539e-010	2.862045e-003
3.268417876007539e-010	2.471847e-003
3.346542876007541e-010	6.457146e-004
3.375839751007542e-010	3.384307e-005
3.389790643864685e-010	-2.256934e-004
3.403741536721828e-010	-4.820642e-004
3.417692429578971e-010	-7.352694e-004
3.431643322436114e-010	-9.853089e-004
3.445594215293257e-010	-1.232183e-003
3.459545108150401e-010	-1.475891e-003
3.473496001007544e-010	-1.716434e-003
3.484656715293258e-010	-1.928346e-003
3.495817429578973e-010	-2.135058e-003
3.506978143864687e-010	-2.336569e-003
3.518138858150402e-010	-2.532881e-003
3.529299572436117e-010	-2.723993e-003
3.540460286721831e-010	-2.909904e-003
3.551621001007546e-010	-3.090615e-003
3.571152251007546e-010	-3.324545e-003
3.590683501007547e-010	-3.446610e-003
