time	V(d_3p)
0.000000000000000e+000	0.000000e+000
6.706517010723728e-012	-2.375476e-006
9.521785555450991e-012	2.131719e-005
1.005750933264223e-011	1.333996e-005
1.059323310983348e-011	3.631826e-006
1.112895688702472e-011	-7.807212e-006
1.166468066421596e-011	-2.097715e-005
1.220040444140721e-011	-3.587800e-005
1.273612821859845e-011	-5.250975e-005
1.327185199578969e-011	-7.087240e-005
1.424841449578969e-011	-7.088781e-005
1.620153949578969e-011	-4.462147e-006
2.010778949578969e-011	2.247008e-004
2.108435199578968e-011	2.491171e-004
2.185926198945238e-011	2.447042e-004
2.264393879857763e-011	2.149607e-004
2.341964936784028e-011	1.605487e-004
2.623763285057104e-011	-1.410900e-004
2.721419535057104e-011	-2.101563e-004
2.819075785057103e-011	-2.149776e-004
2.896414244552350e-011	-1.593534e-004
2.977355520409747e-011	-3.889412e-005
3.069729109762858e-011	1.708209e-004
3.158664968561321e-011	4.277439e-004
3.353977468561321e-011	1.019040e-003
3.441793875832909e-011	1.211050e-003
3.520322544606633e-011	1.302266e-003
3.595655217891533e-011	1.302525e-003
3.678184471651413e-011	1.202327e-003
3.762494737135280e-011	1.009379e-003
3.860150987135280e-011	7.332916e-004
3.957807237135280e-011	5.111621e-004
4.051784908033816e-011	4.993310e-004
4.143066645548515e-011	8.522111e-004
4.225445791500685e-011	1.636258e-003
4.307091089483133e-011	3.002381e-003
4.404747339483133e-011	5.612169e-003
4.502403589483133e-011	9.487434e-003
4.600059839483134e-011	1.480951e-002
4.697716089483134e-011	2.170068e-002
4.795372339483134e-011	3.021077e-002
4.893028589483134e-011	4.030961e-002
5.000000000000000e-011	5.306326e-002
5.068359375000000e-011	6.205149e-002
5.146484375000000e-011	7.295958e-002
5.232217844953430e-011	8.556309e-002
5.622842844953431e-011	1.456296e-001
5.818155344953431e-011	1.733680e-001
6.009765624999999e-011	1.972702e-001
6.122644703019887e-011	2.093285e-001
6.235523781039773e-011	2.205945e-001
6.348402859059660e-011	2.310683e-001
6.461281937079546e-011	2.407500e-001
6.574161015099433e-011	2.496394e-001
