Freq.	V(d_3p)
Step Information: Ph=0  (Run: 1/7)
2.00000000000000e+007	(-9.84336291389701e+001dB,4.63372858220057e+001°)
3.99900000000000e+007	(-9.50899349983372e+001dB,2.88337802862142e+001°)
5.99800000000000e+007	(-9.37009144779546e+001dB,1.76815482881403e+001°)
7.99700000000000e+007	(-9.27321631530131e+001dB,9.72680529961251e+000°)
9.99600000000000e+007	(-9.18684659518097e+001dB,3.20529000654071e+000°)
1.19950000000000e+008	(-9.10377745247092e+001dB,-2.64265023332208e+000°)
1.39940000000000e+008	(-9.02281581004943e+001dB,-8.13039837298169e+000°)
1.59930000000000e+008	(-8.94423913114162e+001dB,-1.33766443038979e+001°)
1.79920000000000e+008	(-8.86852184543195e+001dB,-1.84173311603222e+001°)
1.99910000000000e+008	(-8.79599746086027e+001dB,-2.32564151323005e+001°)
2.19900000000000e+008	(-8.72680824756754e+001dB,-2.78886095220926e+001°)
2.39890000000000e+008	(-8.66093849548720e+001dB,-3.23089830310915e+001°)
2.59880000000000e+008	(-8.59826413943577e+001dB,-3.65163778397934e+001°)
2.79870000000000e+008	(-8.53859723709560e+001dB,-4.05139935524475e+001°)
2.99860000000000e+008	(-8.48171969225075e+001dB,-4.43087724700663e+001°)
3.19850000000000e+008	(-8.42740626157752e+001dB,-4.79103893928084e+001°)
3.39840000000000e+008	(-8.37543876961986e+001dB,-5.13302302553173e+001°)
3.59830000000000e+008	(-8.32561385626343e+001dB,-5.45805251110587e+001°)
3.79820000000000e+008	(-8.27774636193338e+001dB,-5.76736859089654e+001°)
3.99810000000000e+008	(-8.23167000881459e+001dB,-6.06218419880946e+001°)
4.19800000000000e+008	(-8.18723656594664e+001dB,-6.34365413791532e+001°)
4.39790000000000e+008	(-8.14431428039671e+001dB,-6.61285795190958e+001°)
4.59780000000000e+008	(-8.10278605238463e+001dB,-6.87079195467849e+001°)
4.79770000000000e+008	(-8.06254762045072e+001dB,-7.11836746983387e+001°)
4.99760000000000e+008	(-8.02350588931172e+001dB,-7.35641302864180e+001°)
5.19750000000000e+008	(-7.98557745159885e+001dB,-7.58567890789513e+001°)
5.39740000000000e+008	(-7.94868731221599e+001dB,-7.80684289043690e+001°)
5.59730000000000e+008	(-7.91276780100801e+001dB,-8.02051651408939e+001°)
5.79720000000000e+008	(-7.87775765131989e+001dB,-8.22725134513330e+001°)
5.99710000000000e+008	(-7.84360121995939e+001dB,-8.42754499996953e+001°)
6.19700000000000e+008	(-7.81024782552703e+001dB,-8.62184676450266e+001°)
6.39690000000000e+008	(-7.77765118475037e+001dB,-8.81056274144099e+001°)
6.59680000000000e+008	(-7.74576892987544e+001dB,-8.99406050616535e+001°)
6.79670000000000e+008	(-7.71456219305722e+001dB,-9.17267328227760e+001°)
6.99660000000000e+008	(-7.68399524625891e+001dB,-9.34670366483708e+001°)
7.19650000000000e+008	(-7.65403518759775e+001dB,-9.51642692761488e+001°)
7.39640000000000e+008	(-7.62465166630092e+001dB,-9.68209395378225e+001°)
7.59630000000000e+008	(-7.59581664057439e+001dB,-9.84393382946273e+001°)
7.79620000000000e+008	(-7.56750416326719e+001dB,-1.00021561374480e+002°)
7.99610000000000e+008	(-7.53969019146128e+001dB,-1.01569529858325e+002°)
8.19600000000000e+008	(-7.51235241651360e+001dB,-1.03085008028083e+002°)
8.39590000000000e+008	(-7.48547011197710e+001dB,-1.04569619257912e+002°)
8.59580000000000e+008	(-7.45902399703531e+001dB,-1.06024860097103e+002°)
8.79570000000000e+008	(-7.43299611355558e+001dB,-1.07452112764843e+002°)
8.99560000000000e+008	(-7.40736971520282e+001dB,-1.08852656250048e+002°)
9.19550000000000e+008	(-7.38212916709881e+001dB,-1.10227676183504e+002°)
9.39540000000000e+008	(-7.35725985492271e+001dB,-1.11578273631169e+002°)
9.59530000000000e+008	(-7.33274810250846e+001dB,-1.12905472939022e+002°)
9.79520000000000e+008	(-7.30858109684261e+001dB,-1.14210228738295e+002°)
9.99510000000000e+008	(-7.28474681988085e+001dB,-1.15493432212962e+002°)
1.01950000000000e+009	(-7.26123398640507e+001dB,-1.16755916714245e+002°)
1.03949000000000e+009	(-7.23803198729891e+001dB,-1.17998462795741e+002°)
1.05948000000000e+009	(-7.21513083782368e+001dB,-1.19221802738913e+002°)
1.07947000000000e+009	(-7.19252113026796e+001dB,-1.20426624621512e+002°)
1.09946000000000e+009	(-7.17019399067471e+001dB,-1.21613575983944e+002°)
1.11945000000000e+009	(-7.14814103921101e+001dB,-1.22783267135796e+002°)
1.13944000000000e+009	(-7.12635435385295e+001dB,-1.23936274141714e+002°)
1.15943000000000e+009	(-7.10482643707600e+001dB,-1.25073141522058e+002°)
1.17942000000000e+009	(-7.08355018531408e+001dB,-1.26194384698133e+002°)
1.19941000000000e+009	(-7.06251886089759e+001dB,-1.27300492209403e+002°)
1.21940000000000e+009	(-7.04172606626914e+001dB,-1.28391927725151e+002°)
1.23939000000000e+009	(-7.02116572028943e+001dB,-1.29469131873509e+002°)
1.25938000000000e+009	(-7.00083203642715e+001dB,-1.30532523905873e+002°)
1.27937000000000e+009	(-6.98071950267464e+001dB,-1.31582503211459e+002°)
1.29936000000000e+009	(-6.96082286308624e+001dB,-1.32619450701685e+002°)
1.31935000000000e+009	(-6.94113710071216e+001dB,-1.33643730071231e+002°)
1.33934000000000e+009	(-6.92165742189200e+001dB,-1.34655688952182e+002°)
1.35933000000000e+009	(-6.90237924176524e+001dB,-1.35655659971208e+002°)
1.37932000000000e+009	(-6.88329817086706e+001dB,-1.36643961715787e+002°)
1.39931000000000e+009	(-6.86441000277728e+001dB,-1.37620899623472e+002°)
1.41930000000000e+009	(-6.84571070267987e+001dB,-1.38586766796115e+002°)
1.43929000000000e+009	(-6.82719639679898e+001dB,-1.39541844750058e+002°)
1.45928000000000e+009	(-6.80886336260608e+001dB,-1.40486404105570e+002°)
1.47927000000000e+009	(-6.79070801976441e+001dB,-1.41420705222827e+002°)
1.49926000000000e+009	(-6.77272692174254e+001dB,-1.42344998788846e+002°)
1.51925000000000e+009	(-6.75491674801385e+001dB,-1.43259526358259e+002°)
1.53924000000000e+009	(-6.73727429686060e+001dB,-1.44164520855667e+002°)
1.55923000000000e+009	(-6.71979647865197e+001dB,-1.45060207038191e+002°)
1.57922000000000e+009	(-6.70248030963059e+001dB,-1.45946801925996e+002°)
1.59921000000000e+009	(-6.68532290612158e+001dB,-1.46824515200864e+002°)
1.61920000000000e+009	(-6.66832147915248e+001dB,-1.47693549576763e+002°)
1.63919000000000e+009	(-6.65147332944706e+001dB,-1.48554101144870e+002°)
1.65918000000000e+009	(-6.63477584275414e+001dB,-1.49406359693678e+002°)
