Freq.	V(d_3p)
2.00000000000000e+007	(-1.06975736659710e+001dB,-1.96595024964275e-001°)
3.99900000000000e+007	(-1.06989762269131e+001dB,-3.59910519793626e-001°)
5.99800000000000e+007	(-1.06988478748768e+001dB,-5.29756945311909e-001°)
7.99700000000000e+007	(-1.06986663685661e+001dB,-7.05627045001437e-001°)
9.99600000000000e+007	(-1.06989732151162e+001dB,-8.84706050768922e-001°)
1.19950000000000e+008	(-1.06998974344599e+001dB,-1.06423444282468e+000°)
1.39940000000000e+008	(-1.07013515983855e+001dB,-1.24218112229202e+000°)
1.59930000000000e+008	(-1.07031533843887e+001dB,-1.41739609291452e+000°)
1.79920000000000e+008	(-1.07051036408194e+001dB,-1.58950553824008e+000°)
1.99910000000000e+008	(-1.07070313777504e+001dB,-1.75870277819216e+000°)
2.19900000000000e+008	(-1.07088144174870e+001dB,-1.92552182044398e+000°)
2.39890000000000e+008	(-1.07103831810587e+001dB,-2.09063918956807e+000°)
2.59880000000000e+008	(-1.07117139855956e+001dB,-2.25472599554052e+000°)
2.79870000000000e+008	(-1.07128172300936e+001dB,-2.41835591731339e+000°)
2.99860000000000e+008	(-1.07137245961926e+001dB,-2.58196298922890e+000°)
3.19850000000000e+008	(-1.07144778966910e+001dB,-2.74583635812327e+000°)
3.39840000000000e+008	(-1.07151207780837e+001dB,-2.91013758321747e+000°)
3.59830000000000e+008	(-1.07156934151142e+001dB,-3.07492813975417e+000°)
3.79820000000000e+008	(-1.07162297251290e+001dB,-3.24019851331315e+000°)
3.99810000000000e+008	(-1.07167564079552e+001dB,-3.40589398911844e+000°)
4.19800000000000e+008	(-1.07172931414217e+001dB,-3.57193509583623e+000°)
4.39790000000000e+008	(-1.07178534007475e+001dB,-3.73823246834993e+000°)
4.59780000000000e+008	(-1.07184455324376e+001dB,-3.90469682347467e+000°)
4.79770000000000e+008	(-1.07190738545161e+001dB,-4.07124508099543e+000°)
4.99760000000000e+008	(-1.07197396597412e+001dB,-4.23780366581556e+000°)
5.19750000000000e+008	(-1.07204420680170e+001dB,-4.40430987639369e+000°)
5.39740000000000e+008	(-1.07211787160132e+001dB,-4.57071200839039e+000°)
5.59730000000000e+008	(-1.07219462944138e+001dB,-4.73696873575256e+000°)
5.79720000000000e+008	(-1.07227409532899e+001dB,-4.90304809660685e+000°)
5.99710000000000e+008	(-1.07235585989374e+001dB,-5.06892631283804e+000°)
6.19700000000000e+008	(-1.07243951045401e+001dB,-5.23458658646533e+000°)
6.39690000000000e+008	(-1.07252464542795e+001dB,-5.40001795650217e+000°)
6.59680000000000e+008	(-1.07261088372321e+001dB,-5.56521426035943e+000°)
6.79670000000000e+008	(-1.07269787041751e+001dB,-5.73017321843070e+000°)
6.99660000000000e+008	(-1.07278527975676e+001dB,-5.89489564490890e+000°)
7.19650000000000e+008	(-1.07287281625811e+001dB,-6.05938477888951e+000°)
7.39640000000000e+008	(-1.07296021451103e+001dB,-6.22364572511867e+000°)
7.59630000000000e+008	(-1.07304723811669e+001dB,-6.38768499175482e+000°)
7.79620000000000e+008	(-1.07313367808746e+001dB,-6.55151011216425e+000°)
7.99610000000000e+008	(-1.07321935093800e+001dB,-6.71512933835966e+000°)
8.19600000000000e+008	(-1.07330409663162e+001dB,-6.87855139476734e+000°)
8.39590000000000e+008	(-1.07338777649475e+001dB,-7.04178528229017e+000°)
8.59580000000000e+008	(-1.07347027117541e+001dB,-7.20484012395495e+000°)
8.79570000000000e+008	(-1.07355147869426e+001dB,-7.36772504469148e+000°)
8.99560000000000e+008	(-1.07363131261751e+001dB,-7.53044907894573e+000°)
9.19550000000000e+008	(-1.07370970036701e+001dB,-7.69302110085159e+000°)
9.39540000000000e+008	(-1.07378658167332e+001dB,-7.85544977257662e+000°)
9.59530000000000e+008	(-1.07386190717119e+001dB,-8.01774350721977e+000°)
9.79520000000000e+008	(-1.07393563713234e+001dB,-8.17991044328652e+000°)
9.99510000000000e+008	(-1.07400774032811e+001dB,-8.34195842830838e+000°)
1.01950000000000e+009	(-1.07407819301269e+001dB,-8.50389500962785e+000°)
1.03949000000000e+009	(-1.07414697801729e+001dB,-8.66572743074455e+000°)
1.05948000000000e+009	(-1.07421408394530e+001dB,-8.82746263192801e+000°)
1.07947000000000e+009	(-1.07427950445861e+001dB,-8.98910725405781e+000°)
1.09946000000000e+009	(-1.07434323764598e+001dB,-9.15066764485899e+000°)
1.11945000000000e+009	(-1.07440528546466e+001dB,-9.31214986687142e+000°)
1.13944000000000e+009	(-1.07446565324741e+001dB,-9.47355970662937e+000°)
1.15943000000000e+009	(-1.07452434926745e+001dB,-9.63490268463989e+000°)
1.17942000000000e+009	(-1.07458138435487e+001dB,-9.79618406583922e+000°)
1.19941000000000e+009	(-1.07463677155848e+001dB,-9.95740887027799e+000°)
1.21940000000000e+009	(-1.07469052584776e+001dB,-1.01185818838465e+001°)
1.23939000000000e+009	(-1.07474266385025e+001dB,-1.02797076688963e+001°)
1.25938000000000e+009	(-1.07479320362007e+001dB,-1.04407905746522e+001°)
1.27937000000000e+009	(-1.07484216443388e+001dB,-1.06018347473382e+001°)
1.29936000000000e+009	(-1.07488956661104e+001dB,-1.07628441399644e+001°)
1.31935000000000e+009	(-1.07493543135498e+001dB,-1.09238225217389e+001°)
1.33934000000000e+009	(-1.07497978061327e+001dB,-1.10847734870846e+001°)
