time	V(d_1p)	V(d_3p)	V(d_5p)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.571428491207636e-014	-2.665087e-005	2.091457e-006	4.320292e-005
9.142856982415272e-014	-4.192360e-005	4.528754e-006	8.067540e-005
1.371428547362291e-013	-4.581819e-005	7.311891e-006	1.124175e-004
1.828571396483054e-013	-3.833465e-005	1.044087e-005	1.384291e-004
2.285714245603818e-013	-1.947298e-005	1.391569e-005	1.587103e-004
2.742857094724582e-013	1.076683e-005	1.773634e-005	1.732610e-004
3.199999943845344e-013	5.238478e-005	2.190284e-005	1.820813e-004
6.399999887690688e-013	2.151097e-004	2.344466e-005	1.431556e-004
9.441252093531770e-013	2.055588e-004	-3.071225e-007	-1.052017e-005
1.373615065973194e-012	-4.104994e-005	-3.943880e-005	-2.500931e-004
1.586805667379205e-012	-2.017279e-004	-5.111658e-005	-3.346232e-004
1.742000000000000e-012	-3.073836e-004	-5.423522e-005	-3.690746e-004
1.788558299786239e-012	-3.028223e-004	-5.564342e-005	-4.185954e-004
1.850636032834557e-012	-3.256836e-004	-5.912460e-005	-4.714476e-004
1.974791498931193e-012	-4.271409e-004	-6.626317e-005	-5.329126e-004
2.223102431124466e-012	-6.427797e-004	-6.364465e-005	-5.037418e-004
2.529951059222641e-012	-7.008192e-004	-2.422189e-005	-2.583416e-004
2.853098900675324e-012	-4.480279e-004	4.003814e-005	1.312973e-004
3.199572738876876e-012	5.282643e-005	1.026909e-004	5.556482e-004
3.578928081430640e-012	6.622851e-004	1.399360e-004	8.958426e-004
4.007767252962106e-012	1.192981e-003	1.330873e-004	1.028732e-003
4.508767601865956e-012	1.391222e-003	6.948264e-005	8.240717e-004
5.005307112256256e-012	1.073216e-003	-2.709715e-005	3.112862e-004
5.520884394628867e-012	2.957784e-004	-1.281431e-004	-3.947624e-004
6.065261253744556e-012	-7.696162e-004	-2.015671e-004	-1.127428e-003
6.587636808407197e-012	-1.731276e-003	-2.183831e-004	-1.631666e-003
7.246134810278729e-012	-2.423541e-003	-1.560132e-004	-1.768450e-003
7.850557173967530e-012	-2.286419e-003	-3.072024e-005	-1.307331e-003
8.340732613557581e-012	-1.566021e-003	9.793973e-005	-5.294542e-004
8.805655340889098e-012	-4.393854e-004	2.208971e-004	4.691874e-004
9.346006409344775e-012	1.223213e-003	3.391444e-004	1.794397e-003
