time	V(d_1p)	V(d_3p)	V(d_5p)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.571428491207636e-014	-6.396193e-006	4.747660e-005	2.054053e-005
9.142856982415272e-014	-6.782728e-006	8.114401e-005	3.573892e-005
1.371428547362291e-013	-1.159605e-006	1.010022e-004	4.559517e-005
1.828571396483054e-013	1.047318e-005	1.070513e-004	5.010929e-005
2.285714245603818e-013	2.811561e-005	9.929113e-005	4.928126e-005
2.742857094724582e-013	5.176771e-005	7.772180e-005	4.311109e-005
3.199999943845344e-013	8.142946e-005	4.234328e-005	3.159879e-005
6.399999887690688e-013	1.799298e-004	-1.423108e-004	-3.341156e-005
9.455313678069431e-013	1.368914e-004	-2.093116e-004	-7.013241e-005
1.373101591119077e-012	-8.197748e-005	-6.152610e-005	-4.721982e-005
1.572999180403865e-012	-2.019197e-004	6.148790e-005	-1.628972e-005
1.742000000000000e-012	-2.892975e-004	1.629845e-004	1.261522e-005
1.792700245878841e-012	-3.013052e-004	1.344474e-004	-3.050883e-006
1.860300573717295e-012	-3.352862e-004	1.333226e-004	-9.009067e-006
1.995501229394203e-012	-4.296001e-004	2.104319e-004	1.217765e-005
2.265902540748019e-012	-5.693657e-004	4.346573e-004	9.586993e-005
2.565716980112875e-012	-5.290107e-004	5.456053e-004	1.632998e-004
2.902494924474342e-012	-2.414553e-004	3.860450e-004	1.589297e-004
3.243478512522143e-012	1.914306e-004	1.401491e-005	8.377661e-005
3.638405676165088e-012	6.931266e-004	-4.677838e-004	-4.239973e-005
4.065257333913878e-012	1.069362e-003	-8.322546e-004	-1.665859e-004
4.581225005773043e-012	1.147310e-003	-8.833066e-004	-2.375586e-004
5.067369115549373e-012	8.149972e-004	-5.458099e-004	-2.048279e-004
5.596145455442280e-012	1.007621e-004	7.723441e-005	-8.138300e-005
6.139328565530535e-012	-8.102871e-004	7.379064e-004	8.498082e-005
6.672737977025127e-012	-1.625695e-003	1.174690e-003	2.258152e-004
7.340637322954162e-012	-2.162510e-003	1.228936e-003	3.032651e-004
7.912954776926246e-012	-1.986447e-003	8.338900e-004	2.639531e-004
8.031803938912356e-012	-1.865384e-003	7.072871e-004	2.439086e-004
8.269502262884577e-012	-1.535620e-003	4.231830e-004	1.943290e-004
