Freq.	V(d_3p)
2.00000000000000e+007	(-7.95640644444433e+000dB,-4.92987646635036e-001°)
3.99900000000000e+007	(-7.96539770123959e+000dB,-8.94145573610741e-001°)
5.99800000000000e+007	(-7.96936118078300e+000dB,-1.28433865180078e+000°)
7.99700000000000e+007	(-7.97145956872414e+000dB,-1.67769054060338e+000°)
9.99600000000000e+007	(-7.97286751027787e+000dB,-2.07354549284733e+000°)
1.19950000000000e+008	(-7.97397560405807e+000dB,-2.47050057585454e+000°)
1.39940000000000e+008	(-7.97491599604279e+000dB,-2.86760490075244e+000°)
1.59930000000000e+008	(-7.97572593302505e+000dB,-3.26428052982983e+000°)
1.79920000000000e+008	(-7.97640443415412e+000dB,-3.66019354891523e+000°)
1.99910000000000e+008	(-7.97693481715625e+000dB,-4.05516954800174e+000°)
2.19900000000000e+008	(-7.97729476288659e+000dB,-4.44914117405548e+000°)
2.39890000000000e+008	(-7.97746118748425e+000dB,-4.84211416171734e+000°)
2.59880000000000e+008	(-7.97741267134659e+000dB,-5.23414407065934e+000°)
2.79870000000000e+008	(-7.97713061647000e+000dB,-5.62531964954033e+000°)
2.99860000000000e+008	(-7.97659969439699e+000dB,-6.01575064575125e+000°)
3.19850000000000e+008	(-7.97580788620464e+000dB,-6.40555881277177e+000°)
3.39840000000000e+008	(-7.97474629114578e+000dB,-6.79487132636353e+000°)
3.59830000000000e+008	(-7.97340881343602e+000dB,-7.18381605725713e+000°)
3.79820000000000e+008	(-7.97179179661180e+000dB,-7.57251828168841e+000°)
3.99810000000000e+008	(-7.96989364909618e+000dB,-7.96109849777756e+000°)
4.19800000000000e+008	(-7.96771448732522e+000dB,-8.34967107997264e+000°)
4.39790000000000e+008	(-7.96525581107765e+000dB,-8.73834355585823e+000°)
4.59780000000000e+008	(-7.96252021781675e+000dB,-9.12721633352263e+000°)
4.79770000000000e+008	(-7.95951115776673e+000dB,-9.51638274484019e+000°)
4.99760000000000e+008	(-7.95623272831074e+000dB,-9.90592930111494e+000°)
5.19750000000000e+008	(-7.95268950451788e+000dB,-1.02959360830486e+001°)
5.39740000000000e+008	(-7.94888640174749e+000dB,-1.06864772075149e+001°)
5.59730000000000e+008	(-7.94482856601637e+000dB,-1.10776213297786e+001°)
5.79720000000000e+008	(-7.94052128792142e+000dB,-1.14694321522720e+001°)
5.99710000000000e+008	(-7.93596993622722e+000dB,-1.18619689204887e+001°)
6.19700000000000e+008	(-7.93117990764724e+000dB,-1.22552868935630e+001°)
6.39690000000000e+008	(-7.92615658980074e+000dB,-1.26494377822128e+001°)
6.59680000000000e+008	(-7.92090533477292e+000dB,-1.30444701503526e+001°)
6.79670000000000e+008	(-7.91543144111912e+000dB,-1.34404297792040e+001°)
6.99660000000000e+008	(-7.90974014252232e+000dB,-1.38373599944197e+001°)
7.19650000000000e+008	(-7.90383660163639e+000dB,-1.42353019578225e+001°)
7.39640000000000e+008	(-7.89772590792096e+000dB,-1.46342949260055e+001°)
7.59630000000000e+008	(-7.89141307850555e+000dB,-1.50343764783789e+001°)
7.79620000000000e+008	(-7.88490306131303e+000dB,-1.54355827173800e+001°)
7.99610000000000e+008	(-7.87820073983009e+000dB,-1.58379484435435e+001°)
8.19600000000000e+008	(-7.87131093904169e+000dB,-1.62415073080284e+001°)
8.39590000000000e+008	(-7.86423843215165e+000dB,-1.66462919450363e+001°)
8.59580000000000e+008	(-7.85698794779606e+000dB,-1.70523340863689e+001°)
8.79570000000000e+008	(-7.84956417752240e+000dB,-1.74596646601696e+001°)
8.99560000000000e+008	(-7.84197178336348e+000dB,-1.78683138756941e+001°)
9.19550000000000e+008	(-7.83421540537641e+000dB,-1.82783112957626e+001°)
9.39540000000000e+008	(-7.82629966905072e+000dB,-1.86896858983595e+001°)
9.59530000000000e+008	(-7.81822919251720e+000dB,-1.91024661286833e+001°)
9.79520000000000e+008	(-7.81000859350876e+000dB,-1.95166799427905e+001°)
9.99510000000000e+008	(-7.80164249604057e+000dB,-1.99323548438418e+001°)
1.01950000000000e+009	(-7.79313553678953e+000dB,-2.03495179118352e+001°)
1.03949000000000e+009	(-7.78449237116225e+000dB,-2.07681958275969e+001°)
1.05948000000000e+009	(-7.77571767904715e+000dB,-2.11884148917083e+001°)
1.07947000000000e+009	(-7.76681617025246e+000dB,-2.16102010389569e+001°)
1.09946000000000e+009	(-7.75779258963414e+000dB,-2.20335798488247e+001°)
1.11945000000000e+009	(-7.74865172192224e+000dB,-2.24585765524638e+001°)
1.13944000000000e+009	(-7.73939839625394e+000dB,-2.28852160365489e+001°)
1.15943000000000e+009	(-7.73003749042379e+000dB,-2.33135228443429e+001°)
1.17942000000000e+009	(-7.72057393486218e+000dB,-2.37435211742773e+001°)
1.19941000000000e+009	(-7.71101271635188e+000dB,-2.41752348762981e+001°)
1.21940000000000e+009	(-7.70135888149460e+000dB,-2.46086874462055e+001°)
1.23939000000000e+009	(-7.69161753993691e+000dB,-2.50439020181817e+001°)
1.25938000000000e+009	(-7.68179386736536e+000dB,-2.54809013556756e+001°)
1.27937000000000e+009	(-7.67189310828044e+000dB,-2.59197078407950e+001°)
1.29936000000000e+009	(-7.66192057855727e+000dB,-2.63603434623337e+001°)
1.31935000000000e+009	(-7.65188166780094e+000dB,-2.68028298025506e+001°)
1.33934000000000e+009	(-7.64178184150341e+000dB,-2.72471880227973e+001°)
1.35933000000000e+009	(-7.63162664300797e+000dB,-2.76934388480843e+001°)
1.37932000000000e+009	(-7.62142169528687e+000dB,-2.81416025506635e+001°)
1.39931000000000e+009	(-7.61117270253664e+000dB,-2.85916989326950e+001°)
1.41930000000000e+009	(-7.60088545159505e+000dB,-2.90437473080617e+001°)
1.43929000000000e+009	(-7.59056581318330e+000dB,-2.94977664833859e+001°)
1.45928000000000e+009	(-7.58021974297543e+000dB,-2.99537747382989e+001°)
1.47927000000000e+009	(-7.56985328249765e+000dB,-3.04117898050105e+001°)
1.49926000000000e+009	(-7.55947255985880e+000dB,-3.08718288472204e+001°)
