Freq.	V(d_3p)
2.00000000000000e+007	(-7.91532278968683e+000dB,-2.94020163725320e-001°)
3.99900000000000e+007	(-7.92406455794506e+000dB,-4.71674220134340e-001°)
5.99800000000000e+007	(-7.92642804775861e+000dB,-6.48664586026492e-001°)
7.99700000000000e+007	(-7.92686577378634e+000dB,-8.36368205351930e-001°)
9.99600000000000e+007	(-7.92700986722470e+000dB,-1.03125896272061e+000°)
1.19950000000000e+008	(-7.92737978383880e+000dB,-1.22932352253771e+000°)
1.39940000000000e+008	(-7.92804667817984e+000dB,-1.42767099049519e+000°)
1.59930000000000e+008	(-7.92889877698833e+000dB,-1.62460328789266e+000°)
1.79920000000000e+008	(-7.92976997378578e+000dB,-1.81939838032354e+000°)
1.99910000000000e+008	(-7.93050533739545e+000dB,-2.01202813221082e+000°)
2.19900000000000e+008	(-7.93099104296239e+000dB,-2.20288588506822e+000°)
2.39890000000000e+008	(-7.93116257246886e+000dB,-2.39255831607168e+000°)
2.59880000000000e+008	(-7.93100004863486e+000dB,-2.58165751716411e+000°)
2.79870000000000e+008	(-7.93051722648802e+000dB,-2.77071587271919e+000°)
2.99860000000000e+008	(-7.92974888731410e+000dB,-2.96013574946635e+000°)
3.19850000000000e+008	(-7.92873962566426e+000dB,-3.15017973478249e+000°)
3.39840000000000e+008	(-7.92753543369006e+000dB,-3.34098579100450e+000°)
3.59830000000000e+008	(-7.92617831300471e+000dB,-3.53259401686398e+000°)
3.79820000000000e+008	(-7.92470346901909e+000dB,-3.72497569885322e+000°)
3.99810000000000e+008	(-7.92313838692415e+000dB,-3.91805930644828e+000°)
4.19800000000000e+008	(-7.92150310033951e+000dB,-4.11175114370814e+000°)
4.39790000000000e+008	(-7.91981110107644e+000dB,-4.30595031470610e+000°)
4.59780000000000e+008	(-7.91807050532433e+000dB,-4.50055867284428e+000°)
4.79770000000000e+008	(-7.91628523830302e+000dB,-4.69548680394132e+000°)
4.99760000000000e+008	(-7.91445610900940e+000dB,-4.89065711151517e+000°)
5.19750000000000e+008	(-7.91258171966995e+000dB,-5.08600492291051e+000°)
5.39740000000000e+008	(-7.91065919841763e+000dB,-5.28147833310610e+000°)
5.59730000000000e+008	(-7.90868476724164e+000dB,-5.47703730893983e+000°)
5.79720000000000e+008	(-7.90665416777111e+000dB,-5.67265241464709e+000°)
5.99710000000000e+008	(-7.90456297033824e+000dB,-5.86830339543162e+000°)
6.19700000000000e+008	(-7.90240679059799e+000dB,-6.06397776582417e+000°)
6.39690000000000e+008	(-7.90018143497163e+000dB,-6.25966948727155e+000°)
6.59680000000000e+008	(-7.89788299259644e+000dB,-6.45537777793501e+000°)
6.79670000000000e+008	(-7.89550788796806e+000dB,-6.65110607119037e+000°)
6.99660000000000e+008	(-7.89305290536166e+000dB,-6.84686112320559e+000°)
7.19650000000000e+008	(-7.89051519351948e+000dB,-7.04265226080906e+000°)
7.39640000000000e+008	(-7.88789225698628e+000dB,-7.23849075621586e+000°)
7.59630000000000e+008	(-7.88518193881624e+000dB,-7.43438931337408e+000°)
7.79620000000000e+008	(-7.88238239809005e+000dB,-7.63036165059136e+000°)
7.99610000000000e+008	(-7.87949208470291e+000dB,-7.82642216496521e+000°)
8.19600000000000e+008	(-7.87650971314824e+000dB,-8.02258566548897e+000°)
8.39590000000000e+008	(-7.87343423647538e+000dB,-8.21886716324552e+000°)
8.59580000000000e+008	(-7.87026482119794e+000dB,-8.41528170865662e+000°)
8.79570000000000e+008	(-7.86700082363681e+000dB,-8.61184426722377e+000°)
8.99560000000000e+008	(-7.86364176797462e+000dB,-8.80856962653474e+000°)
9.19550000000000e+008	(-7.86018732615057e+000dB,-9.00547232848940e+000°)
9.39540000000000e+008	(-7.85663729962268e+000dB,-9.20256662172411e+000°)
9.59530000000000e+008	(-7.85299160295785e+000dB,-9.39986643009125e+000°)
9.79520000000000e+008	(-7.84925024916518e+000dB,-9.59738533379301e+000°)
9.99510000000000e+008	(-7.84541333666294e+000dB,-9.79513656039261e+000°)
1.01950000000000e+009	(-7.84148103775390e+000dB,-9.99313298344424e+000°)
1.03949000000000e+009	(-7.83745358848102e+000dB,-1.01913871269176e+001°)
1.05948000000000e+009	(-7.83333127973316e+000dB,-1.03899111739454e+001°)
1.07947000000000e+009	(-7.82911444947707e+000dB,-1.05887169787166e+001°)
1.09946000000000e+009	(-7.82480347599733e+000dB,-1.07878160805782e+001°)
1.11945000000000e+009	(-7.82039877203480e+000dB,-1.09872197196031e+001°)
1.13944000000000e+009	(-7.81590077972240e+000dB,-1.11869388530401e+001°)
1.15943000000000e+009	(-7.81130996622635e+000dB,-1.13869841721931e+001°)
1.17942000000000e+009	(-7.80662682000990e+000dB,-1.15873661193799e+001°)
1.19941000000000e+009	(-7.80185184764409e+000dB,-1.17880949047031e+001°)
1.21940000000000e+009	(-7.79698557109957e+000dB,-1.19891805224370e+001°)
1.23939000000000e+009	(-7.79202852545895e+000dB,-1.21906327668839e+001°)
1.25938000000000e+009	(-7.78698125699735e+000dB,-1.23924612475989e+001°)
1.27937000000000e+009	(-7.78184432158393e+000dB,-1.25946754039154e+001°)
1.29936000000000e+009	(-7.77661828336348e+000dB,-1.27972845187275e+001°)
1.31935000000000e+009	(-7.77130371368089e+000dB,-1.30002977315111e+001°)
1.33934000000000e+009	(-7.76590119021726e+000dB,-1.32037240505765e+001°)
1.35933000000000e+009	(-7.76041129630889e+000dB,-1.34075723645593e+001°)
1.37932000000000e+009	(-7.75483462042463e+000dB,-1.36118514531664e+001°)
1.39931000000000e+009	(-7.74917175578032e+000dB,-1.38165699971982e+001°)
1.41930000000000e+009	(-7.74342330007074e+000dB,-1.40217365878747e+001°)
1.43929000000000e+009	(-7.73758985530375e+000dB,-1.42273597354954e+001°)
1.45928000000000e+009	(-7.73167202772049e+000dB,-1.44334478774640e+001°)
1.47927000000000e+009	(-7.72567042779094e+000dB,-1.46400093857117e+001°)
1.49926000000000e+009	(-7.71958567027286e+000dB,-1.48470525735518e+001°)
1.51925000000000e+009	(-7.71341837432474e+000dB,-1.50545857019980e+001°)
1.53924000000000e+009	(-7.70716916366479e+000dB,-1.52626169855789e+001°)
1.55923000000000e+009	(-7.70083866676886e+000dB,-1.54711545976793e+001°)
1.57922000000000e+009	(-7.69442751710055e+000dB,-1.56802066754380e+001°)
1.59921000000000e+009	(-7.68793635336913e+000dB,-1.58897813242312e+001°)
1.61920000000000e+009	(-7.68136581980960e+000dB,-1.60998866217677e+001°)
1.63919000000000e+009	(-7.67471656648176e+000dB,-1.63105306218219e+001°)
1.65918000000000e+009	(-7.66798924958403e+000dB,-1.65217213576274e+001°)
1.67917000000000e+009	(-7.66118453178022e+000dB,-1.67334668449561e+001°)
1.69916000000000e+009	(-7.65430308253540e+000dB,-1.69457750849008e+001°)
1.71915000000000e+009	(-7.64734557845969e+000dB,-1.71586540663838e+001°)
1.73914000000000e+009	(-7.64031270365763e+000dB,-1.73721117684064e+001°)
1.75913000000000e+009	(-7.63320515008185e+000dB,-1.75861561620603e+001°)
