Freq.	V(d_3p)
2.00000000000000e+007	(-7.98120408681684e+000dB,-7.04252895874286e-001°)
3.99900000000000e+007	(-7.98392412392229e+000dB,-1.36984659376377e+000°)
5.99800000000000e+007	(-7.98605754822595e+000dB,-2.03674577269478e+000°)
7.99700000000000e+007	(-7.98828276872769e+000dB,-2.70300602508113e+000°)
9.99600000000000e+007	(-7.99073934459593e+000dB,-3.36733846733732e+000°)
1.19950000000000e+008	(-7.99340841907427e+000dB,-4.02889783262412e+000°)
1.39940000000000e+008	(-7.99621661900042e+000dB,-4.68718008416794e+000°)
1.59930000000000e+008	(-7.99907228059366e+000dB,-5.34193113380032e+000°)
1.79920000000000e+008	(-8.00188074916464e+000dB,-5.99308491400855e+000°)
1.99910000000000e+008	(-8.00455192961522e+000dB,-6.64071839136361e+000°)
2.19900000000000e+008	(-8.00700424893838e+000dB,-7.28501593477967e+000°)
2.39890000000000e+008	(-8.00916661446640e+000dB,-7.92623989541896e+000°)
2.59880000000000e+008	(-8.01097912413235e+000dB,-8.56470617547323e+000°)
2.79870000000000e+008	(-8.01239297139784e+000dB,-9.20076420657901e+000°)
2.99860000000000e+008	(-8.01336983972158e+000dB,-9.83478090791154e+000°)
3.19850000000000e+008	(-8.01388099474827e+000dB,-1.04671281903345e+001°)
3.39840000000000e+008	(-8.01390622298918e+000dB,-1.10981735451900e+001°)
3.59830000000000e+008	(-8.01343272174013e+000dB,-1.17282732452018e+001°)
3.79820000000000e+008	(-8.01245401142924e+000dB,-1.23577676978320e+001°)
3.99810000000000e+008	(-8.01096891604725e+000dB,-1.29869785242523e+001°)
4.19800000000000e+008	(-8.00898063818344e+000dB,-1.36162069829979e+001°)
4.39790000000000e+008	(-8.00649594126066e+000dB,-1.42457334097823e+001°)
4.59780000000000e+008	(-8.00352444178917e+000dB,-1.48758173986201e+001°)
4.79770000000000e+008	(-8.00007800795568e+000dB,-1.55066985005978e+001°)
4.99760000000000e+008	(-7.99617025684435e+000dB,-1.61385972630126e+001°)
5.19750000000000e+008	(-7.99181614040574e+000dB,-1.67717164719745e+001°)
5.39740000000000e+008	(-7.98703160940563e+000dB,-1.74062424955584e+001°)
5.59730000000000e+008	(-7.98183334458522e+000dB,-1.80423466524302e+001°)
5.79720000000000e+008	(-7.97623854481595e+000dB,-1.86801865530777e+001°)
5.99710000000000e+008	(-7.97026476290829e+000dB,-1.93199073781012e+001°)
6.19700000000000e+008	(-7.96392978076108e+000dB,-1.99616430712120e+001°)
6.39690000000000e+008	(-7.95725151660656e+000dB,-2.06055174344134e+001°)
6.59680000000000e+008	(-7.95024795814039e+000dB,-2.12516451199644e+001°)
6.79670000000000e+008	(-7.94293711628747e+000dB,-2.19001325187499e+001°)
6.99660000000000e+008	(-7.93533699521445e+000dB,-2.25510785480813e+001°)
7.19650000000000e+008	(-7.92746557495977e+000dB,-2.32045753441453e+001°)
7.39640000000000e+008	(-7.91934080370303e+000dB,-2.38607088656144e+001°)
7.59630000000000e+008	(-7.91098059724974e+000dB,-2.45195594155797e+001°)
7.79620000000000e+008	(-7.90240284377431e+000dB,-2.51812020891721e+001°)
7.99610000000000e+008	(-7.89362541225106e+000dB,-2.58457071541281e+001°)
8.19600000000000e+008	(-7.88466616332133e+000dB,-2.65131403712454e+001°)
8.39590000000000e+008	(-7.87554296160565e+000dB,-2.71835632612542e+001°)
8.59580000000000e+008	(-7.86627368868449e+000dB,-2.78570333241319e+001°)
8.79570000000000e+008	(-7.85687625613869e+000dB,-2.85336042163754e+001°)
8.99560000000000e+008	(-7.84736861818188e+000dB,-2.92133258912320e+001°)
9.19550000000000e+008	(-7.83776878352509e+000dB,-2.98962447063959e+001°)
9.39540000000000e+008	(-7.82809482620057e+000dB,-3.05824035032106e+001°)
9.59530000000000e+008	(-7.81836489514328e+000dB,-3.12718416609955e+001°)
9.79520000000000e+008	(-7.80859722238048e+000dB,-3.19645951297242e+001°)
9.99510000000000e+008	(-7.79881012972317e+000dB,-3.26606964439342e+001°)
1.01950000000000e+009	(-7.78902203388585e+000dB,-3.33601747204389e+001°)
1.03949000000000e+009	(-7.77925144998689e+000dB,-3.40630556421391e+001°)
1.05948000000000e+009	(-7.76951699340087e+000dB,-3.47693614299909e+001°)
1.07947000000000e+009	(-7.75983737995018e+000dB,-3.54791108049782e+001°)
1.09946000000000e+009	(-7.75023142443413e+000dB,-3.61923189417572e+001°)
1.11945000000000e+009	(-7.74071803750243e+000dB,-3.69089974154844e+001°)
1.13944000000000e+009	(-7.73131622088726e+000dB,-3.76291541431980e+001°)
1.15943000000000e+009	(-7.72204506101368e+000dB,-3.83527933210205e+001°)
1.17942000000000e+009	(-7.71292372101266e+000dB,-3.90799153583380e+001°)
1.19941000000000e+009	(-7.70397143116235e+000dB,-3.98105168100333e+001°)
1.21940000000000e+009	(-7.69520747779122e+000dB,-4.05445903077805e+001°)
1.23939000000000e+009	(-7.68665119067445e+000dB,-4.12821244913395e+001°)
1.25938000000000e+009	(-7.67832192896145e+000dB,-4.20231039407465e+001°)
1.27937000000000e+009	(-7.67023906567406e+000dB,-4.27675091102386e+001°)
1.29936000000000e+009	(-7.66242197081805e+000dB,-4.35153162647219e+001°)
1.31935000000000e+009	(-7.65488999315451e+000dB,-4.42664974195542e+001°)
1.33934000000000e+009	(-7.64766244068022e+000dB,-4.50210202843743e+001°)
1.35933000000000e+009	(-7.64075855987161e+000dB,-4.57788482116948e+001°)
1.37932000000000e+009	(-7.63419751374884e+000dB,-4.65399401509334e+001°)
1.39931000000000e+009	(-7.62799835882279e+000dB,-4.73042506085450e+001°)
1.41930000000000e+009	(-7.62218002099118e+000dB,-4.80717296148697e+001°)
1.43929000000000e+009	(-7.61676127045507e+000dB,-4.88423226983136e+001°)
1.45928000000000e+009	(-7.61176069573218e+000dB,-4.96159708674201e+001°)
1.47927000000000e+009	(-7.60719667684777e+000dB,-5.03926106013811e+001°)
1.49926000000000e+009	(-7.60308735779000e+000dB,-5.11721738494941e+001°)
1.51925000000000e+009	(-7.59945061832072e+000dB,-5.19545880400413e+001°)
1.53924000000000e+009	(-7.59630404523802e+000dB,-5.27397760990277e+001°)
1.55923000000000e+009	(-7.59366490319135e+000dB,-5.35276564791726e+001°)
1.57922000000000e+009	(-7.59155010515698e+000dB,-5.43181431995117e+001°)
1.59921000000000e+009	(-7.58997618268117e+000dB,-5.51111458959174e+001°)
1.61920000000000e+009	(-7.58895925600799e+000dB,-5.59065698827891e+001°)
1.63919000000000e+009	(-7.58851500420859e+000dB,-5.67043162261300e+001°)
1.65918000000000e+009	(-7.58865863543329e+000dB,-5.75042818281497e+001°)
1.67917000000000e+009	(-7.58940485741034e+000dB,-5.83063595234960e+001°)
1.69916000000000e+009	(-7.59076784831822e+000dB,-5.91104381871396e+001°)
1.71915000000000e+009	(-7.59276122815644e+000dB,-5.99164028538879e+001°)
1.73914000000000e+009	(-7.59539803074596e+000dB,-6.07241348494338e+001°)
1.75913000000000e+009	(-7.59869067648374e+000dB,-6.15335119327788e+001°)
1.77912000000000e+009	(-7.60265094598120e+000dB,-6.23444084498042e+001°)
1.79911000000000e+009	(-7.60728995470936e+000dB,-6.31566954977079e+001°)
1.81910000000000e+009	(-7.61261812877538e+000dB,-6.39702410999358e+001°)
1.83909000000000e+009	(-7.61864518194740e+000dB,-6.47849103911965e+001°)
1.85908000000000e+009	(-7.62538009404421e+000dB,-6.56005658120702e+001°)
1.87907000000000e+009	(-7.63283109079810e+000dB,-6.64170673126574e+001°)
1.89906000000000e+009	(-7.64100562529463e+000dB,-6.72342725646661e+001°)
1.91905000000000e+009	(-7.64991036108653e+000dB,-6.80520371812689e+001°)
1.93904000000000e+009	(-7.65955115706871e+000dB,-6.88702149440146e+001°)
1.95903000000000e+009	(-7.66993305419745e+000dB,-6.96886580360292e+001°)
1.97902000000000e+009	(-7.68106026412302e+000dB,-7.05072172806941e+001°)
1.99901000000000e+009	(-7.69293615979820e+000dB,-7.13257423849560e+001°)
2.01900000000000e+009	(-7.70556326811492e+000dB,-7.21440821863896e+001°)
2.03899000000000e+009	(-7.71894326460849e+000dB,-7.29620849031023e+001°)
2.05898000000000e+009	(-7.73307697026092e+000dB,-7.37795983855554e+001°)
2.07897000000000e+009	(-7.74796435042033e+000dB,-7.45964703693606e+001°)
2.09896000000000e+009	(-7.76360451584567e+000dB,-7.54125487280976e+001°)
2.11895000000000e+009	(-7.77999572587041e+000dB,-7.62276817252140e+001°)
2.13894000000000e+009	(-7.79713539367198e+000dB,-7.70417182640510e+001°)
2.15893000000000e+009	(-7.81502009361802e+000dB,-7.78545081350734e+001°)
2.17892000000000e+009	(-7.83364557065300e+000dB,-7.86659022593902e+001°)
2.19891000000000e+009	(-7.85300675167647e+000dB,-7.94757529276790e+001°)
2.21890000000000e+009	(-7.87309775885427e+000dB,-8.02839140336615e+001°)
2.23889000000000e+009	(-7.89391192479395e+000dB,-8.10902413013140e+001°)
2.25888000000000e+009	(-7.91544180950840e+000dB,-8.18945925050418e+001°)
2.27887000000000e+009	(-7.93767921908054e+000dB,-8.26968276820844e+001°)
2.29886000000000e+009	(-7.96061522593584e+000dB,-8.34968093364851e+001°)
2.31885000000000e+009	(-7.98424019062417e+000dB,-8.42944026340007e+001°)
2.33884000000000e+009	(-8.00854378500235e+000dB,-8.50894755873972e+001°)
2.35883000000000e+009	(-8.03351501670783e+000dB,-8.58818992316223e+001°)
2.37882000000000e+009	(-8.05914225480730e+000dB,-8.66715477884316e+001°)
2.39881000000000e+009	(-8.08541325650160e+000dB,-8.74582988200896e+001°)
2.41880000000000e+009	(-8.11231519476482e+000dB,-8.82420333718356e+001°)
2.43879000000000e+009	(-8.13983468679614e+000dB,-8.90226361028919e+001°)
2.45878000000000e+009	(-8.16795782315959e+000dB,-8.97999954058122e+001°)
2.47877000000000e+009	(-8.19667019748916e+000dB,-9.05740035140860e+001°)
2.49876000000000e+009	(-8.22595693663678e+000dB,-9.13445565979281e+001°)
2.51875000000000e+009	(-8.25580273114292e+000dB,-9.21115548482787e+001°)
2.53874000000000e+009	(-8.28619186591145e+000dB,-9.28749025490812e+001°)
2.55873000000000e+009	(-8.31710825097440e+000dB,-9.36345081379533e+001°)
2.57872000000000e+009	(-8.34853545223586e+000dB,-9.43902842554495e+001°)
2.59871000000000e+009	(-8.38045672208783e+000dB,-9.51421477831134e+001°)
2.61870000000000e+009	(-8.41285502979724e+000dB,-9.58900198706234e+001°)
2.63869000000000e+009	(-8.44571309156724e+000dB,-9.66338259523164e+001°)
2.65868000000000e+009	(-8.47901340018186e+000dB,-9.73734957534583e+001°)
2.67867000000000e+009	(-8.51273825415065e+000dB,-9.81089632866401e+001°)
2.69866000000000e+009	(-8.54686978627250e+000dB,-9.88401668387083e+001°)
2.71865000000000e+009	(-8.58138999154918e+000dB,-9.95670489486795e+001°)
2.73864000000000e+009	(-8.61628075438047e+000dB,-1.00289556377088e+002°)
2.75863000000000e+009	(-8.65152387498293e+000dB,-1.01007640067247e+002°)
2.77862000000000e+009	(-8.68710109498061e+000dB,-1.01721255098923e+002°)
2.79861000000000e+009	(-8.72299412211859e+000dB,-1.02430360634908e+002°)
2.81860000000000e+009	(-8.75918465406343e+000dB,-1.03134919861007e+002°)
2.83859000000000e+009	(-8.79565440125327e+000dB,-1.03834899919950e+002°)
