Freq.	V(d_3p)
2.00000000000000e+007	(-7.90477587062103e+000dB,-2.22408766473508e-001°)
3.99900000000000e+007	(-7.90621623489259e+000dB,-4.08808358461792e-001°)
5.99800000000000e+007	(-7.90597188357671e+000dB,-6.02205126408229e-001°)
7.99700000000000e+007	(-7.90562349799402e+000dB,-8.01900946843467e-001°)
9.99600000000000e+007	(-7.90574080919817e+000dB,-1.00483831265855e+000°)
1.19950000000000e+008	(-7.90645355666808e+000dB,-1.20805039922658e+000°)
1.39940000000000e+008	(-7.90766093195793e+000dB,-1.40936136825579e+000°)
1.59930000000000e+008	(-7.90916117941827e+000dB,-1.60754549464258e+000°)
1.79920000000000e+008	(-7.91073499563852e+000dB,-1.80221414129992e+000°)
1.99910000000000e+008	(-7.91219373688413e+000dB,-1.99359182036971e+000°)
2.19900000000000e+008	(-7.91340166689558e+000dB,-2.18227332208456e+000°)
2.39890000000000e+008	(-7.91428016717405e+000dB,-2.36901060745418e+000°)
2.59880000000000e+008	(-7.91480067687431e+000dB,-2.55455304359820e+000°)
2.79870000000000e+008	(-7.91497208635836e+000dB,-2.73954727666418e+000°)
2.99860000000000e+008	(-7.91482699552676e+000dB,-2.92449046246532e+000°)
3.19850000000000e+008	(-7.91440966996184e+000dB,-3.10972333343852e+000°)
3.39840000000000e+008	(-7.91376701198512e+000dB,-3.29544777473250e+000°)
3.59830000000000e+008	(-7.91294272105180e+000dB,-3.48175571907290e+000°)
3.79820000000000e+008	(-7.91197415899936e+000dB,-3.66866008816658e+000°)
3.99810000000000e+008	(-7.91089118988328e+000dB,-3.85612245401467e+000°)
4.19800000000000e+008	(-7.90971628286235e+000dB,-4.04407514569854e+000°)
4.39790000000000e+008	(-7.90846530911466e+000dB,-4.23243747251148e+000°)
4.59780000000000e+008	(-7.90714863454038e+000dB,-4.42112674898235e+000°)
4.79770000000000e+008	(-7.90577225981636e+000dB,-4.61006518899936e+000°)
4.99760000000000e+008	(-7.90433887139171e+000dB,-4.79918375571523e+000°)
5.19750000000000e+008	(-7.90284874192509e+000dB,-4.98842390414041e+000°)
5.39740000000000e+008	(-7.90130046408966e+000dB,-5.17773795075017e+000°)
5.59730000000000e+008	(-7.89969152638583e+000dB,-5.36708860904274e+000°)
5.79720000000000e+008	(-7.89801875102628e+000dB,-5.55644806654895e+000°)
5.99710000000000e+008	(-7.89627861753664e+000dB,-5.74579685291133e+000°)
6.19700000000000e+008	(-7.89446749507439e+000dB,-5.93512265698994e+000°)
6.39690000000000e+008	(-7.89258180384541e+000dB,-6.12441918703970e+000°)
6.59680000000000e+008	(-7.89061812270453e+000dB,-6.31368512508435e+000°)
6.79670000000000e+008	(-7.88857325673921e+000dB,-6.50292319883364e+000°)
6.99660000000000e+008	(-7.88644427568721e+000dB,-6.69213937724676e+000°)
7.19650000000000e+008	(-7.88422853154792e+000dB,-6.88134218571715e+000°)
7.39640000000000e+008	(-7.88192366171710e+000dB,-7.07054213138683e+000°)
7.59630000000000e+008	(-7.87952758236722e+000dB,-7.25975122660159e+000°)
7.79620000000000e+008	(-7.87703847554503e+000dB,-7.44898259783926e+000°)
7.99610000000000e+008	(-7.87445477250201e+000dB,-7.63825016782379e+000°)
8.19600000000000e+008	(-7.87177513505044e+000dB,-7.82756839948993e+000°)
8.39590000000000e+008	(-7.86899843619542e+000dB,-8.01695209166993e+000°)
8.59580000000000e+008	(-7.86612374089697e+000dB,-8.20641621766185e+000°)
8.79570000000000e+008	(-7.86315028751984e+000dB,-8.39597579908023e+000°)
8.99560000000000e+008	(-7.86007747032162e+000dB,-8.58564580854695e+000°)
9.19550000000000e+008	(-7.85690482317423e+000dB,-8.77544109580699e+000°)
9.39540000000000e+008	(-7.85363200461107e+000dB,-8.96537633275680e+000°)
9.59530000000000e+008	(-7.85025878421848e+000dB,-9.15546597365057e+000°)
9.79520000000000e+008	(-7.84678503034071e+000dB,-9.34572422740746e+000°)
9.99510000000000e+008	(-7.84321069903802e+000dB,-9.53616503950062e+000°)
1.01950000000000e+009	(-7.83953582421735e+000dB,-9.72680208137348e+000°)
1.03949000000000e+009	(-7.83576050884635e+000dB,-9.91764874571431e+000°)
1.05948000000000e+009	(-7.83188491715785e+000dB,-1.01087181462404e+001°)
1.07947000000000e+009	(-7.82790926775266e+000dB,-1.03000231209074e+001°)
1.09946000000000e+009	(-7.82383382751147e+000dB,-1.04915762376714e+001°)
1.11945000000000e+009	(-7.81965890623159e+000dB,-1.06833898021121e+001°)
1.13944000000000e+009	(-7.81538485191103e+000dB,-1.08754758663647e+001°)
1.15943000000000e+009	(-7.81101204660823e+000dB,-1.10678462389284e+001°)
1.17942000000000e+009	(-7.80654090281253e+000dB,-1.12605124950117e+001°)
1.19941000000000e+009	(-7.80197186026563e+000dB,-1.14534859871489e+001°)
1.21940000000000e+009	(-7.79730538318306e+000dB,-1.16467778558888e+001°)
1.23939000000000e+009	(-7.79254195782765e+000dB,-1.18403990404004e+001°)
1.25938000000000e+009	(-7.78768209039240e+000dB,-1.20343602888804e+001°)
1.27937000000000e+009	(-7.78272630515760e+000dB,-1.22286721686824e+001°)
