Freq.	mag(V(d_3p))
Step Information: C_d=100f  (Run: 1/10)
2.00000000000000e+007	(-7.95653998506537e+000dB,0.00000000000000e+000°)
3.99900000000000e+007	(-7.96586943709727e+000dB,0.00000000000000e+000°)
5.99800000000000e+007	(-7.97036431725950e+000dB,0.00000000000000e+000°)
7.99700000000000e+007	(-7.97319452590035e+000dB,0.00000000000000e+000°)
9.99600000000000e+007	(-7.97553576596311e+000dB,0.00000000000000e+000°)
1.19950000000000e+008	(-7.97777708413959e+000dB,0.00000000000000e+000°)
1.39940000000000e+008	(-7.98004807881325e+000dB,0.00000000000000e+000°)
1.59930000000000e+008	(-7.98238304256925e+000dB,0.00000000000000e+000°)
1.79920000000000e+008	(-7.98477790718877e+000dB,0.00000000000000e+000°)
1.99910000000000e+008	(-7.98721292542030e+000dB,0.00000000000000e+000°)
2.19900000000000e+008	(-7.98966283117791e+000dB,0.00000000000000e+000°)
2.39890000000000e+008	(-7.99210176823957e+000dB,0.00000000000000e+000°)
2.59880000000000e+008	(-7.99450574709632e+000dB,0.00000000000000e+000°)
2.79870000000000e+008	(-7.99685380881479e+000dB,0.00000000000000e+000°)
2.99860000000000e+008	(-7.99912846419459e+000dB,0.00000000000000e+000°)
3.19850000000000e+008	(-8.00131571476650e+000dB,0.00000000000000e+000°)
3.39840000000000e+008	(-8.00340483642570e+000dB,0.00000000000000e+000°)
3.59830000000000e+008	(-8.00538803843598e+000dB,0.00000000000000e+000°)
3.79820000000000e+008	(-8.00726006959674e+000dB,0.00000000000000e+000°)
3.99810000000000e+008	(-8.00901781681071e+000dB,0.00000000000000e+000°)
4.19800000000000e+008	(-8.01065992339138e+000dB,0.00000000000000e+000°)
4.39790000000000e+008	(-8.01218644226761e+000dB,0.00000000000000e+000°)
4.59780000000000e+008	(-8.01359853107397e+000dB,0.00000000000000e+000°)
4.79770000000000e+008	(-8.01489819080213e+000dB,0.00000000000000e+000°)
4.99760000000000e+008	(-8.01608804641546e+000dB,0.00000000000000e+000°)
5.19750000000000e+008	(-8.01717116597280e+000dB,0.00000000000000e+000°)
5.39740000000000e+008	(-8.01815091391777e+000dB,0.00000000000000e+000°)
5.59730000000000e+008	(-8.01903083392390e+000dB,0.00000000000000e+000°)
5.79720000000000e+008	(-8.01981455681002e+000dB,0.00000000000000e+000°)
5.99710000000000e+008	(-8.02050572938094e+000dB,0.00000000000000e+000°)
6.19700000000000e+008	(-8.02110796049824e+000dB,0.00000000000000e+000°)
6.39690000000000e+008	(-8.02162478116937e+000dB,0.00000000000000e+000°)
6.59680000000000e+008	(-8.02205961591750e+000dB,0.00000000000000e+000°)
6.79670000000000e+008	(-8.02241576313492e+000dB,0.00000000000000e+000°)
6.99660000000000e+008	(-8.02269638251382e+000dB,0.00000000000000e+000°)
7.19650000000000e+008	(-8.02290448799258e+000dB,0.00000000000000e+000°)
7.39640000000000e+008	(-8.02304294494600e+000dB,0.00000000000000e+000°)
7.59630000000000e+008	(-8.02311447059454e+000dB,0.00000000000000e+000°)
7.79620000000000e+008	(-8.02312163681215e+000dB,0.00000000000000e+000°)
7.99610000000000e+008	(-8.02306687467999e+000dB,0.00000000000000e+000°)
