time	V(d_3p)
0.000000000000000e+000	0.000000e+000
1.006906247753814e-011	-8.926028e-006
1.202218747753814e-011	3.525197e-005
1.271973212039528e-011	7.099716e-005
1.341727676325243e-011	1.041964e-004
1.411482140610957e-011	1.348498e-004
1.481236604896671e-011	1.629573e-004
1.550991069182385e-011	1.885188e-004
1.620745533468100e-011	2.115345e-004
1.690499997753814e-011	2.320042e-004
1.788156247753814e-011	2.292578e-004
1.885812497753814e-011	2.013452e-004
2.244140625000000e-011	-1.399467e-005
2.341796875000000e-011	-4.928305e-005
2.439453125000000e-011	-5.017848e-005
2.537109375000000e-011	-7.568058e-006
2.634765624999999e-011	8.222628e-005
2.732421874999999e-011	2.151428e-004
3.025390625000000e-011	7.092715e-004
3.123046875000000e-011	8.264307e-004
3.220703125000000e-011	8.820427e-004
3.318359375000000e-011	8.639565e-004
3.416015625000001e-011	7.718730e-004
3.513671875000001e-011	6.189593e-004
3.708984375000001e-011	2.499115e-004
3.806640625000002e-011	1.221918e-004
3.904296875000002e-011	1.057512e-004
4.001953125000002e-011	2.625161e-004
4.099609375000002e-011	6.569205e-004
4.197265625000002e-011	1.353867e-003
4.294921875000003e-011	2.417156e-003
4.392578125000003e-011	3.908316e-003
4.490234375000003e-011	5.885728e-003
4.587890625000003e-011	8.403843e-003
4.685546875000004e-011	1.151237e-002
4.783203125000004e-011	1.525529e-002
4.880859375000004e-011	1.966964e-002
4.978515625000004e-011	2.478407e-002
5.076171875000005e-011	3.061731e-002
5.173828125000005e-011	3.717657e-002
5.271484375000005e-011	4.445611e-002
5.369140625000005e-011	5.243614e-002
5.466796875000005e-011	6.108225e-002
5.564453125000006e-011	7.034534e-002
5.662109375000006e-011	8.016238e-002
5.857421875000006e-011	1.011453e-001
5.955078125000006e-011	1.123671e-001
6.052734375000006e-011	1.235478e-001
6.150390625000005e-011	1.346874e-001
6.248046875000005e-011	1.457859e-001
6.345703125000004e-011	1.568434e-001
6.443359375000004e-011	1.678597e-001
6.541015625000003e-011	1.788349e-001
6.833984375000002e-011	2.089779e-001
7.126953125000001e-011	2.352788e-001
7.419921875000000e-011	2.576485e-001
7.684988839285713e-011	2.742868e-001
7.950055803571426e-011	2.893516e-001
8.215122767857140e-011	3.028430e-001
8.480189732142853e-011	3.147610e-001
8.745256696428566e-011	3.251055e-001
9.010323660714279e-011	3.338766e-001
9.275390624999992e-011	3.410743e-001
9.698558109612572e-011	3.502920e-001
1.012172559422515e-010	3.583838e-001
1.054489307883773e-010	3.653498e-001
1.096806056345031e-010	3.711898e-001
1.139122804806289e-010	3.759040e-001
1.181439553267548e-010	3.794923e-001
1.223756301728805e-010	3.819547e-001
1.251658087443091e-010	3.833417e-001
1.279559873157377e-010	3.859155e-001
1.307461658871662e-010	3.896762e-001
1.335363444585948e-010	3.946236e-001
1.363265230300234e-010	4.007577e-001
1.391167016014519e-010	4.080787e-001
1.419068801728805e-010	4.165864e-001
1.437204962443090e-010	4.213388e-001
1.455341123157376e-010	4.233584e-001
1.473477283871662e-010	4.226451e-001
1.491613444585947e-010	4.191989e-001
1.509749605300233e-010	4.130199e-001
1.527885766014518e-010	4.041081e-001
1.546021926728804e-010	3.924634e-001
1.575318801728804e-010	3.666527e-001
1.587874605300232e-010	3.531916e-001
1.600430408871661e-010	3.395382e-001
1.612986212443089e-010	3.256927e-001
1.625542016014518e-010	3.116549e-001
1.638097819585946e-010	2.974249e-001
1.650653623157375e-010	2.830027e-001
1.663209426728804e-010	2.683883e-001
1.692506301728803e-010	2.375178e-001
1.721803176728803e-010	2.100433e-001
1.751100051728803e-010	1.859686e-001
1.780396926728803e-010	1.647995e-001
1.809693801728803e-010	1.459794e-001
1.838990676728803e-010	1.291318e-001
1.868287551728803e-010	1.140851e-001
1.897584426728803e-010	1.007738e-001
1.926881301728802e-010	8.912883e-002
1.956178176728802e-010	7.901990e-002
1.985475051728802e-010	7.025421e-002
2.014771926728802e-010	6.260952e-002
2.044068801728802e-010	5.588100e-002
2.073365676728802e-010	4.992874e-002
2.102662551728802e-010	4.471171e-002
2.131959426728802e-010	4.028806e-002
2.151490676728801e-010	3.783309e-002
2.171021926728801e-010	3.580284e-002
2.190553176728801e-010	3.419473e-002
2.219850051728801e-010	3.246220e-002
2.229615676728801e-010	3.208298e-002
2.239381301728801e-010	3.166857e-002
2.249146926728801e-010	3.121896e-002
2.258912551728801e-010	3.073416e-002
2.268678176728801e-010	3.021417e-002
2.278443801728801e-010	2.965898e-002
2.288209426728801e-010	2.906859e-002
2.297975051728801e-010	2.826464e-002
2.307740676728801e-010	2.729133e-002
2.317506301728801e-010	2.612207e-002
2.327271926728801e-010	2.473377e-002
2.337037551728801e-010	2.310782e-002
2.346803176728801e-010	2.123082e-002
2.356568801728801e-010	1.909529e-002
2.366334426728802e-010	1.670010e-002
2.376100051728802e-010	1.405070e-002
2.385865676728802e-010	1.115913e-002
2.395631301728802e-010	8.043827e-003
2.405396926728802e-010	4.729095e-003
2.415162551728803e-010	1.244479e-003
2.424928176728803e-010	-2.376120e-003
2.434693801728803e-010	-6.095461e-003
2.473756301728804e-010	-2.116263e-002
2.493287551728804e-010	-2.826809e-002
2.503053176728805e-010	-3.159562e-002
2.512818801728805e-010	-3.473859e-002
2.522584426728805e-010	-3.767735e-002
2.532350051728805e-010	-4.039743e-002
2.551881301728806e-010	-4.514902e-002
2.571412551728806e-010	-4.897473e-002
2.590943801728807e-010	-5.191861e-002
2.610475051728807e-010	-5.406697e-002
2.630006301728807e-010	-5.552633e-002
2.659303176728808e-010	-5.665518e-002
2.688600051728809e-010	-5.677293e-002
2.717896926728809e-010	-5.608064e-002
2.737428176728810e-010	-5.513973e-002
2.756959426728810e-010	-5.400713e-002
2.776490676728811e-010	-5.268284e-002
2.796021926728811e-010	-5.116686e-002
2.815553176728812e-010	-4.945920e-002
2.835084426728812e-010	-4.755985e-002
2.854615676728812e-010	-4.546881e-002
2.890887998157385e-010	-4.169392e-002
2.927160319585957e-010	-3.804611e-002
2.963432641014529e-010	-3.452539e-002
2.999704962443102e-010	-3.113176e-002
3.035977283871674e-010	-2.786522e-002
3.072249605300246e-010	-2.472576e-002
3.108521926728818e-010	-2.171339e-002
3.137818801728819e-010	-1.970289e-002
3.157350051728819e-010	-1.866532e-002
3.176881301728820e-010	-1.793462e-002
3.196412551728820e-010	-1.754829e-002
3.215943801728820e-010	-1.751910e-002
3.235475051728821e-010	-1.783004e-002
3.255006301728821e-010	-1.843348e-002
3.284303176728822e-010	-1.971780e-002
3.295463891014536e-010	-2.031141e-002
3.306624605300251e-010	-2.086436e-002
3.317785319585965e-010	-2.137667e-002
3.328946033871680e-010	-2.184834e-002
3.340106748157394e-010	-2.227935e-002
3.351267462443109e-010	-2.266971e-002
3.362428176728824e-010	-2.301943e-002
3.381959426728824e-010	-2.334990e-002
3.401490676728825e-010	-2.338634e-002
3.421021926728825e-010	-2.312537e-002
3.450318801728826e-010	-2.221973e-002
3.479615676728826e-010	-2.080438e-002
3.508912551728827e-010	-1.901809e-002
3.527048712443113e-010	-1.774590e-002
3.545184873157399e-010	-1.643953e-002
3.563321033871685e-010	-1.509897e-002
3.581457194585971e-010	-1.372422e-002
3.599593355300258e-010	-1.231529e-002
3.617729516014543e-010	-1.087218e-002
3.635865676728830e-010	-9.394879e-003
