time	V(d_3p)
0.000000000000000e+000	0.000000e+000
8.506046088257946e-013	2.886211e-006
1.701209217651589e-012	3.824663e-006
2.551813826477384e-012	2.815354e-006
3.402418435303178e-012	-1.417147e-007
4.253023044128973e-012	-5.046543e-006
5.103627652954768e-012	-1.189913e-005
5.954232261780560e-012	-2.069948e-005
6.574051760097622e-012	-7.369141e-006
7.193871258414686e-012	4.061041e-006
7.813690756731749e-012	1.359107e-005
8.433510255048812e-012	2.122094e-005
9.053329753365874e-012	2.695065e-005
9.673149251682937e-012	3.078020e-005
1.029296875000000e-011	3.270960e-005
1.146061500544935e-011	-9.733219e-006
1.339407918049721e-011	-1.418194e-004
1.534720418049721e-011	-2.175768e-004
1.632376668049721e-011	-2.220875e-004
1.730032918049721e-011	-1.984198e-004
1.827689168049721e-011	-1.402760e-004
1.925345418049721e-011	-4.445880e-005
2.023001668049721e-011	8.520569e-005
2.218314168049721e-011	3.866720e-004
2.315970418049721e-011	5.115735e-004
2.413626668049720e-011	5.848422e-004
2.511282918049720e-011	5.862581e-004
2.608939168049720e-011	5.057834e-004
2.706595418049720e-011	3.463654e-004
2.804251668049720e-011	1.243738e-004
2.999564168049720e-011	-3.885144e-004
3.097220418049720e-011	-6.064296e-004
3.194876668049721e-011	-7.517043e-004
3.292532918049721e-011	-7.982105e-004
3.390189168049721e-011	-7.318995e-004
3.487845418049721e-011	-5.528904e-004
3.585501668049722e-011	-2.756479e-004
3.683157918049722e-011	7.268181e-005
3.878470418049722e-011	8.309509e-004
3.976126668049723e-011	1.156968e-003
4.073782918049723e-011	1.395893e-003
4.171439168049723e-011	1.518859e-003
4.269095418049723e-011	1.509077e-003
4.366751668049723e-011	1.363848e-003
4.464407918049724e-011	1.095117e-003
4.562064168049724e-011	7.285224e-004
4.757376668049724e-011	-1.423837e-004
4.855032918049725e-011	-5.533951e-004
4.952689168049725e-011	-8.847123e-004
5.029296875000000e-011	-1.060688e-003
5.068359375000000e-011	-1.114855e-003
5.140678875475188e-011	-1.154008e-003
5.215733920984780e-011	-1.100065e-003
5.313390170984781e-011	-8.667410e-004
5.411046420984781e-011	-4.572526e-004
5.508702670984781e-011	9.058397e-005
5.584605445418258e-011	5.795052e-004
5.749554682902733e-011	1.692048e-003
5.843416856206591e-011	2.279052e-003
5.938773471051895e-011	2.787281e-003
6.025559756647187e-011	3.139177e-003
6.099051706622069e-011	3.333931e-003
6.177876255512664e-011	3.430696e-003
6.250409032244795e-011	3.398922e-003
6.333746584365204e-011	3.205304e-003
6.424091402561932e-011	2.815356e-003
6.513935183949781e-011	2.275668e-003
6.599247608605551e-011	1.671113e-003
6.687654583264511e-011	1.014496e-003
6.785310833264510e-011	3.482996e-004
6.882352419953597e-011	-1.360715e-004
6.977259312875397e-011	-3.070273e-004
7.074915562875397e-011	-1.976652e-005
7.166242811201690e-011	8.123131e-004
7.259561067981744e-011	2.365147e-003
7.357217317981744e-011	4.888589e-003
7.454873567981743e-011	8.450357e-003
7.552529817981743e-011	1.313906e-002
7.650186067981743e-011	1.900138e-002
7.747842317981742e-011	2.603791e-002
7.845498567981742e-011	3.420300e-002
7.943154817981741e-011	4.340849e-002
8.040811067981741e-011	5.353067e-002
8.138467317981740e-011	6.441943e-002
8.236123567981740e-011	7.590852e-002
8.529092317981739e-011	1.122822e-001
8.822061067981738e-011	1.484301e-001
9.115029817981736e-011	1.816773e-001
9.407998567981735e-011	2.108166e-001
9.700967317981734e-011	2.354974e-001
9.993936067981733e-011	2.557424e-001
1.028690481798173e-010	2.719270e-001
1.051011910369602e-010	2.814985e-001
1.073333338941030e-010	2.908085e-001
1.095654767512459e-010	2.998570e-001
1.117976196083887e-010	3.086440e-001
1.140297624655316e-010	3.171695e-001
1.162619053226744e-010	3.254334e-001
1.184940481798173e-010	3.334359e-001
1.214237356798173e-010	3.393563e-001
1.233768606798172e-010	3.392306e-001
1.253299856798172e-010	3.349252e-001
1.272831106798172e-010	3.260562e-001
1.292362356798172e-010	3.127050e-001
1.311893606798172e-010	2.954216e-001
1.341190481798172e-010	2.642462e-001
1.352351196083886e-010	2.509938e-001
1.363511910369600e-010	2.380562e-001
1.374672624655315e-010	2.254333e-001
1.385833338941029e-010	2.131253e-001
1.396994053226743e-010	2.011319e-001
1.408154767512457e-010	1.894534e-001
1.419315481798172e-010	1.780896e-001
1.438846731798172e-010	1.606012e-001
1.458377981798171e-010	1.453630e-001
1.477909231798171e-010	1.321880e-001
1.497440481798171e-010	1.207282e-001
1.526737356798171e-010	1.058723e-001
1.556034231798171e-010	9.278741e-002
1.574170392512457e-010	8.513706e-002
1.592306553226742e-010	7.795458e-002
1.610442713941028e-010	7.123998e-002
1.628578874655314e-010	6.499325e-002
1.646715035369599e-010	5.921440e-002
1.664851196083885e-010	5.390342e-002
1.682987356798171e-010	4.906032e-002
1.702518606798170e-010	4.460687e-002
1.722049856798170e-010	4.074701e-002
1.751346731798170e-010	3.585033e-002
1.780643606798170e-010	3.168045e-002
1.797384678226742e-010	2.947307e-002
1.814125749655313e-010	2.735693e-002
1.830866821083884e-010	2.533202e-002
1.847607892512455e-010	2.339835e-002
1.864348963941027e-010	2.155591e-002
1.881090035369598e-010	1.980471e-002
1.897831106798170e-010	1.814475e-002
1.917362356798169e-010	1.649652e-002
1.936893606798169e-010	1.512678e-002
1.956424856798169e-010	1.404001e-002
1.975956106798169e-010	1.320971e-002
