time	V(d_3p)
0.000000000000000e+000	0.000000e+000
2.315992554880231e-013	6.319895e-006
4.631985109760463e-013	9.673700e-006
6.947977664640694e-013	1.006142e-005
9.263970219520926e-013	7.483045e-006
1.157996277440116e-012	1.938584e-006
1.389595532928139e-012	-6.571967e-006
1.621194788416161e-012	-1.804861e-005
2.317298215496615e-012	-2.750763e-005
4.615990258701481e-012	5.824408e-005
5.434763800146569e-012	4.721124e-005
7.867545403640688e-012	-1.196817e-004
8.844107903640688e-012	-1.019129e-004
9.999999999999999e-012	5.372482e-005
1.064779262128276e-011	1.811549e-004
1.175613194912746e-011	4.537478e-004
1.249871982145207e-011	5.577528e-004
1.324240358579515e-011	5.446045e-004
1.420479554010322e-011	3.799007e-004
1.516360494025727e-011	1.548955e-004
1.605272235891398e-011	3.972564e-005
1.684791019805020e-011	1.527702e-004
1.760844960053471e-011	5.820555e-004
1.842101622927326e-011	1.537050e-003
1.917115305297193e-011	3.011298e-003
2.014564612986203e-011	6.019373e-003
2.112220862986203e-011	1.053371e-002
2.209877112986203e-011	1.680864e-002
2.307533362986203e-011	2.502407e-002
2.405189612986203e-011	3.523941e-002
2.502845862986203e-011	4.736707e-002
2.600502112986203e-011	6.116944e-002
2.698158362986203e-011	7.628161e-002
3.088783362986203e-011	1.407525e-001
3.186439612986203e-011	1.558703e-001
3.284095862986203e-011	1.700829e-001
3.381752112986203e-011	1.833131e-001
3.577064612986204e-011	2.068981e-001
3.772377112986204e-011	2.272067e-001
4.065345862986205e-011	2.533088e-001
4.275597793273890e-011	2.692541e-001
4.485849723561575e-011	2.841665e-001
4.696101653849261e-011	2.980461e-001
4.906353584136946e-011	3.108927e-001
5.116605514424631e-011	3.227065e-001
5.326857444712317e-011	3.334874e-001
5.537109375000001e-011	3.432354e-001
5.686938009814227e-011	3.513584e-001
5.836766644628453e-011	3.602872e-001
5.986595279442679e-011	3.700219e-001
6.136423914256904e-011	3.805624e-001
6.286252549071131e-011	3.919088e-001
6.436081183885357e-011	4.040610e-001
6.585909818699583e-011	4.170190e-001
6.779944176473306e-011	4.305630e-001
6.970696942754244e-011	4.383318e-001
7.065114297726995e-011	4.392867e-001
7.161485890045748e-011	4.379163e-001
7.259120249113053e-011	4.339370e-001
7.356776499113052e-011	4.273012e-001
7.527543461028305e-011	4.097156e-001
7.751348366551079e-011	3.779129e-001
7.859916792067444e-011	3.597210e-001
7.968485217583811e-011	3.422246e-001
