time	V(d_3p)
0.000000000000000e+000	0.000000e+000
8.803594337240235e-012	7.882389e-006
9.462770870728552e-012	-2.644444e-006
1.012194740421687e-011	-1.613648e-005
1.078112393770519e-011	-3.259373e-005
1.144030047119350e-011	-5.201618e-005
1.209947700468182e-011	-7.440383e-005
1.275865353817013e-011	-9.975670e-005
1.341783007165845e-011	-1.280748e-004
1.537095507165845e-011	-1.655014e-004
1.634751757165845e-011	-1.566338e-004
1.732408007165845e-011	-1.232706e-004
1.830064257165845e-011	-6.363219e-005
2.025376757165845e-011	1.209860e-004
2.220689257165844e-011	3.243684e-004
2.318345507165844e-011	3.958690e-004
2.416001757165844e-011	4.274463e-004
2.513658007165844e-011	4.089937e-004
2.611314257165844e-011	3.369243e-004
2.708970507165844e-011	2.154113e-004
2.904283007165844e-011	-1.213283e-004
3.001939257165844e-011	-2.948324e-004
3.099595507165844e-011	-4.395291e-004
3.197251757165844e-011	-5.327139e-004
3.294908007165844e-011	-5.566756e-004
3.392564257165844e-011	-5.012912e-004
3.490220507165845e-011	-3.657061e-004
3.587876757165845e-011	-1.588772e-004
3.685533007165845e-011	1.010975e-004
3.880845507165846e-011	6.741665e-004
3.978501757165846e-011	9.259575e-004
4.076158007165846e-011	1.115207e-003
4.173814257165846e-011	1.218684e-003
4.271470507165847e-011	1.221714e-003
4.369126757165847e-011	1.120150e-003
4.466783007165847e-011	9.212391e-004
4.564439257165847e-011	6.432976e-004
4.857408007165848e-011	-3.542829e-004
4.955064257165848e-011	-6.167485e-004
5.029296875000000e-011	-7.550612e-004
5.068359375000000e-011	-8.014149e-004
5.138372954151806e-011	-8.325820e-004
5.236029204151806e-011	-7.570063e-004
5.333685454151806e-011	-5.406057e-004
5.431341704151806e-011	-1.941011e-004
5.528997954151806e-011	2.580273e-004
5.624225203731587e-011	7.674627e-004
5.804945482143480e-011	1.777793e-003
5.901770822841969e-011	2.258412e-003
5.950543526455986e-011	2.472319e-003
5.999316230070003e-011	2.646626e-003
6.048088933684020e-011	2.781335e-003
6.096861637298037e-011	2.876443e-003
6.145634340912054e-011	2.931952e-003
6.194407044526071e-011	2.947862e-003
6.243179748140088e-011	2.924172e-003
6.337555577400733e-011	2.723743e-003
6.434833771920544e-011	2.345890e-003
6.532490021920543e-011	1.828347e-003
6.727802521920542e-011	6.398932e-004
6.825458771920542e-011	1.540334e-004
6.923115021920542e-011	-1.046283e-004
7.020771271920541e-011	-1.868263e-006
7.118427521920541e-011	6.040577e-004
7.216083771920540e-011	1.854903e-003
7.313740021920540e-011	3.883983e-003
7.411396271920540e-011	6.807568e-003
7.509052521920539e-011	1.071697e-002
7.606708771920539e-011	1.567215e-002
7.704365021920538e-011	2.169744e-002
7.802021271920538e-011	2.877983e-002
7.899677521920537e-011	3.686989e-002
7.997333771920537e-011	4.588516e-002
8.094990021920537e-011	5.571564e-002
8.192646271920536e-011	6.623074e-002
8.387958771920535e-011	8.873603e-002
8.485615021920535e-011	1.006764e-001
8.583271271920535e-011	1.124652e-001
8.680927521920534e-011	1.241022e-001
8.778583771920534e-011	1.355876e-001
8.876240021920533e-011	1.469212e-001
8.973896271920533e-011	1.581032e-001
9.071552521920532e-011	1.691335e-001
9.364521271920531e-011	1.992050e-001
9.657490021920530e-011	2.253040e-001
9.950458771920529e-011	2.472919e-001
1.024342752192053e-010	2.653463e-001
1.043874002192053e-010	2.748195e-001
1.063405252192053e-010	2.839294e-001
1.082936502192053e-010	2.926759e-001
1.102467752192052e-010	3.010591e-001
1.121999002192052e-010	3.090789e-001
1.141530252192052e-010	3.167352e-001
1.161061502192052e-010	3.240283e-001
1.175012395049195e-010	3.297558e-001
1.188963287906338e-010	3.340013e-001
1.202914180763481e-010	3.367648e-001
1.216865073620623e-010	3.380462e-001
1.230815966477766e-010	3.378456e-001
1.244766859334909e-010	3.361630e-001
1.258717752192052e-010	3.329983e-001
1.278249002192052e-010	3.239132e-001
1.297780252192052e-010	3.106734e-001
1.327077127192052e-010	2.843265e-001
1.338237841477766e-010	2.723180e-001
1.349398555763480e-010	2.602903e-001
1.360559270049194e-010	2.482433e-001
1.371719984334909e-010	2.361771e-001
1.382880698620623e-010	2.240917e-001
1.394041412906337e-010	2.119871e-001
1.405202127192051e-010	1.998632e-001
1.424733377192051e-010	1.806779e-001
1.444264627192051e-010	1.633735e-001
1.463795877192051e-010	1.480230e-001
1.483327127192051e-010	1.344872e-001
1.502858377192051e-010	1.224970e-001
1.532155252192051e-010	1.067281e-001
1.561452127192051e-010	9.283200e-002
1.590749002192050e-010	8.030056e-002
1.620045877192050e-010	6.903010e-002
1.649342752192050e-010	5.914177e-002
1.668874002192050e-010	5.338362e-002
1.688405252192050e-010	4.830042e-002
1.707936502192050e-010	4.385566e-002
1.727467752192050e-010	3.997716e-002
1.756764627192050e-010	3.500634e-002
1.786061502192050e-010	3.074048e-002
1.802802573620621e-010	2.848481e-002
1.819543645049192e-010	2.634105e-002
1.836284716477764e-010	2.430918e-002
1.853025787906335e-010	2.238922e-002
1.869766859334906e-010	2.058115e-002
1.886507930763478e-010	1.888499e-002
1.903249002192049e-010	1.730072e-002
1.922780252192049e-010	1.574663e-002
1.942311502192049e-010	1.447123e-002
1.961842752192049e-010	1.346755e-002
1.981374002192049e-010	1.269811e-002
2.010670877192049e-010	1.184122e-002
2.024621770049191e-010	1.149296e-002
2.038572662906334e-010	1.113845e-002
2.052523555763477e-010	1.077770e-002
2.066474448620620e-010	1.041068e-002
2.080425341477763e-010	1.003742e-002
2.094376234334906e-010	9.657900e-003
2.108327127192048e-010	9.272129e-003
2.127858377192048e-010	8.920522e-003
2.137624002192048e-010	8.851461e-003
2.147389627192048e-010	8.881548e-003
2.157155252192048e-010	9.032279e-003
2.166920877192048e-010	9.324562e-003
2.176686502192048e-010	9.777877e-003
2.186452127192048e-010	1.040947e-002
2.196217752192048e-010	1.123361e-002
2.205983377192048e-010	1.226093e-002
2.215749002192048e-010	1.349790e-002
2.225514627192048e-010	1.494646e-002
2.235280252192048e-010	1.660374e-002
2.245045877192048e-010	1.846205e-002
2.254811502192048e-010	2.050890e-002
2.264577127192048e-010	2.272729e-002
2.284108377192048e-010	2.759055e-002
2.293874002192047e-010	3.026270e-002
2.303639627192048e-010	3.292291e-002
2.313405252192048e-010	3.557118e-002
2.323170877192048e-010	3.820750e-002
2.332936502192048e-010	4.083189e-002
2.342702127192048e-010	4.344433e-002
2.352467752192048e-010	4.604483e-002
2.371999002192048e-010	5.070934e-002
2.391530252192049e-010	5.471901e-002
2.411061502192049e-010	5.794630e-002
2.430592752192049e-010	6.032976e-002
2.450124002192050e-010	6.187434e-002
2.469655252192050e-010	6.264446e-002
2.498952127192051e-010	6.259713e-002
2.519878466477766e-010	6.185504e-002
2.540804805763481e-010	6.087958e-002
2.561731145049195e-010	5.967074e-002
2.582657484334910e-010	5.822852e-002
2.603583823620625e-010	5.655293e-002
2.624510162906340e-010	5.464395e-002
2.645436502192054e-010	5.250160e-002
2.664967752192055e-010	4.986884e-002
