time	V(d_3p)
0.000000000000000e+000	0.000000e+000
1.438437496791163e-012	1.975961e-006
2.876874993582326e-012	2.994283e-006
4.315312490373490e-012	3.054967e-006
5.753749987164652e-012	2.158012e-006
7.192187483955815e-012	3.034181e-007
8.630624980746979e-012	-2.508814e-006
1.006906247753814e-011	-6.278685e-006
1.104562497753814e-011	-2.888157e-005
1.202218747753814e-011	-4.678984e-005
1.299874997753814e-011	-6.000348e-005
1.397531247753814e-011	-6.852249e-005
1.495187497753814e-011	-7.234687e-005
1.592843747753814e-011	-7.147664e-005
1.690499997753814e-011	-6.591177e-005
1.769591515931841e-011	-3.904263e-005
1.848683034109867e-011	-1.199047e-005
1.927774552287894e-011	1.524472e-005
2.006866070465920e-011	4.266293e-005
2.085957588643947e-011	7.026416e-005
2.165049106821973e-011	9.804841e-005
2.244140625000000e-011	1.260157e-004
2.439453125000000e-011	1.373266e-004
2.634765624999999e-011	7.785549e-005
2.927734375000000e-011	-7.252597e-005
3.123046875000000e-011	-1.205650e-004
3.220703125000000e-011	-1.109731e-004
3.416015625000001e-011	-2.436615e-005
3.485770089285715e-011	2.988794e-005
3.555524553571430e-011	8.195237e-005
3.625279017857144e-011	1.318271e-004
3.695033482142858e-011	1.795123e-004
3.764787946428573e-011	2.250077e-004
3.834542410714287e-011	2.683136e-004
3.904296875000002e-011	3.094297e-004
4.099609375000002e-011	3.550421e-004
4.294921875000003e-011	3.251515e-004
4.378627232142860e-011	2.863606e-004
4.462332589285717e-011	2.509341e-004
4.546037946428575e-011	2.188721e-004
4.629743303571432e-011	1.901746e-004
4.713448660714289e-011	1.648416e-004
4.797154017857147e-011	1.428731e-004
4.880859375000004e-011	1.242690e-004
5.076171875000005e-011	1.535859e-004
5.271484375000005e-011	2.627081e-004
5.466796875000005e-011	4.386551e-004
5.550502232142863e-011	5.364002e-004
5.634207589285720e-011	6.279096e-004
5.717912946428577e-011	7.131833e-004
5.801618303571434e-011	7.922212e-004
5.885323660714291e-011	8.650234e-004
5.969029017857148e-011	9.315898e-004
6.052734375000006e-011	9.919205e-004
6.248046875000005e-011	1.043800e-003
6.443359375000004e-011	1.007580e-003
6.638671875000003e-011	9.469739e-004
6.736328125000003e-011	9.501523e-004
6.833984375000002e-011	1.010639e-003
6.931640625000002e-011	1.162828e-003
7.029296875000001e-011	1.447530e-003
7.126953125000001e-011	1.911504e-003
7.224609375000001e-011	2.606640e-003
7.322265625000000e-011	3.588795e-003
7.419921875000000e-011	4.916315e-003
7.517578124999999e-011	6.648280e-003
7.615234374999999e-011	8.842548e-003
7.712890624999998e-011	1.155367e-002
7.810546874999998e-011	1.483079e-002
7.908203124999998e-011	1.871560e-002
8.005859374999997e-011	2.324046e-002
8.103515624999997e-011	2.842684e-002
8.201171874999996e-011	3.428403e-002
8.298828124999996e-011	4.080835e-002
8.396484374999995e-011	4.798275e-002
8.494140624999995e-011	5.577698e-002
8.591796874999995e-011	6.414820e-002
8.689453124999994e-011	7.304202e-002
8.884765624999993e-011	9.213182e-002
8.982421874999993e-011	1.023765e-001
9.080078124999993e-011	1.126435e-001
9.177734374999992e-011	1.229327e-001
9.275390624999992e-011	1.332441e-001
9.373046874999991e-011	1.435778e-001
9.470703124999991e-011	1.539337e-001
9.568359374999990e-011	1.643119e-001
9.861328124999989e-011	1.933400e-001
1.008342633928570e-010	2.129417e-001
1.030552455357142e-010	2.309224e-001
1.052762276785713e-010	2.472823e-001
1.074972098214285e-010	2.620214e-001
1.097181919642857e-010	2.751396e-001
1.119391741071428e-010	2.866369e-001
1.141601562499999e-010	2.965134e-001
1.178531749134301e-010	3.108644e-001
1.215461935768604e-010	3.234919e-001
1.252392122402906e-010	3.343960e-001
1.289322309037208e-010	3.435765e-001
1.326252495671510e-010	3.510336e-001
1.363182682305812e-010	3.567672e-001
1.400112868940114e-010	3.607773e-001
1.446150815368685e-010	3.656006e-001
1.492188761797256e-010	3.696489e-001
1.538226708225828e-010	3.729222e-001
1.584264654654399e-010	3.754204e-001
1.630302601082970e-010	3.771436e-001
1.676340547511541e-010	3.780917e-001
1.722378493940112e-010	3.782648e-001
1.747490101082969e-010	3.761701e-001
1.772601708225827e-010	3.702000e-001
1.797713315368684e-010	3.603543e-001
1.822824922511541e-010	3.466332e-001
1.847936529654398e-010	3.290366e-001
1.873048136797255e-010	3.075645e-001
1.898159743940112e-010	2.822169e-001
1.912110636797254e-010	2.671939e-001
1.926061529654397e-010	2.524669e-001
1.940012422511540e-010	2.380360e-001
1.953963315368683e-010	2.239012e-001
1.967914208225826e-010	2.100625e-001
1.981865101082968e-010	1.965198e-001
1.995815993940111e-010	1.832733e-001
2.025112868940111e-010	1.588591e-001
2.054409743940111e-010	1.378852e-001
2.083706618940111e-010	1.199970e-001
2.113003493940111e-010	1.046755e-001
2.142300368940111e-010	9.152021e-002
2.161831618940111e-010	8.387405e-002
2.181362868940110e-010	7.714868e-002
2.200894118940110e-010	7.140274e-002
2.220425368940110e-010	6.670577e-002
2.239956618940110e-010	6.311407e-002
2.259487868940110e-010	6.064993e-002
2.279019118940110e-010	5.928753e-002
2.298550368940110e-010	5.894709e-002
2.318081618940110e-010	5.949739e-002
2.347378493940110e-010	6.160657e-002
2.435269118940112e-010	7.083283e-002
2.464565993940113e-010	7.298058e-002
2.493862868940113e-010	7.413967e-002
2.523159743940114e-010	7.426791e-002
2.544086083225828e-010	7.362345e-002
2.565012422511543e-010	7.270473e-002
2.585938761797258e-010	7.151176e-002
2.606865101082973e-010	7.004453e-002
