time	V(d_3p)
0.000000000000000e+000	0.000000e+000
1.916852678571429e-012	3.472201e-006
3.833705357142858e-012	4.143488e-006
5.750558035714287e-012	2.013858e-006
7.667410714285717e-012	-2.916686e-006
9.584263392857147e-012	-1.064815e-005
1.150111607142858e-011	-2.118052e-005
1.341796875000000e-011	-3.451381e-005
1.537109375000000e-011	1.981112e-006
1.606863839285714e-011	3.058259e-005
1.676618303571429e-011	5.729803e-005
1.746372767857143e-011	8.212745e-005
1.816127232142857e-011	1.050708e-004
1.885881696428571e-011	1.261282e-004
1.955636160714286e-011	1.452995e-004
2.025390625000000e-011	1.625848e-004
2.202850710793198e-011	1.433284e-004
2.459902229751193e-011	7.712953e-006
2.554404793995782e-011	-4.485927e-005
2.651429932876879e-011	-7.730488e-005
2.749086182876879e-011	-7.261932e-005
2.833225030229496e-011	-2.986384e-005
2.910482262501054e-011	4.385550e-005
2.996374964998540e-011	1.616001e-004
3.283424065360448e-011	6.591599e-004
3.381080315360448e-011	7.703918e-004
3.478736565360448e-011	8.021335e-004
3.576392815360449e-011	7.389623e-004
3.674049065360449e-011	5.875076e-004
3.869361565360449e-011	2.005605e-004
3.967017815360450e-011	1.458599e-004
4.064674065360450e-011	3.650344e-004
4.158429419116131e-011	9.940625e-004
4.256085669116131e-011	2.276287e-003
4.353741919116131e-011	4.396477e-003
4.451398169116132e-011	7.549076e-003
4.549054419116132e-011	1.190497e-002
4.646710669116132e-011	1.759632e-002
4.744366919116132e-011	2.470375e-002
4.842023169116132e-011	3.324714e-002
4.939679419116133e-011	4.318110e-002
5.029296875000000e-011	5.344431e-002
5.068359375000000e-011	5.822352e-002
5.146484375000000e-011	6.826640e-002
5.244140625000000e-011	8.157776e-002
5.439453125000001e-011	1.097597e-001
5.732421875000002e-011	1.520005e-001
5.927734375000001e-011	1.776917e-001
6.056111998992220e-011	1.925862e-001
6.184489622984440e-011	2.064701e-001
6.312867246976659e-011	2.193433e-001
6.441244870968879e-011	2.312059e-001
6.569622494961098e-011	2.420579e-001
6.698000118953318e-011	2.518991e-001
6.826377742945537e-011	2.607298e-001
7.068133516212613e-011	2.774650e-001
7.309889289479689e-011	2.924742e-001
7.551645062746766e-011	3.057573e-001
7.793400836013842e-011	3.173144e-001
8.035156609280919e-011	3.271455e-001
8.276912382547995e-011	3.352505e-001
8.518668155815071e-011	3.416295e-001
8.628491343365601e-011	3.451604e-001
8.738314530916130e-011	3.482807e-001
8.848137718466660e-011	3.509903e-001
8.957960906017189e-011	3.532892e-001
9.067784093567719e-011	3.551775e-001
9.177607281118249e-011	3.566552e-001
9.287430468668777e-011	3.577222e-001
9.482742968668777e-011	3.552638e-001
9.678055468668776e-011	3.473873e-001
9.873367968668775e-011	3.334750e-001
1.006868046866877e-010	3.138940e-001
1.026399296866877e-010	2.899694e-001
1.036164921866877e-010	2.764333e-001
1.045930546866877e-010	2.631540e-001
1.055696171866877e-010	2.501315e-001
1.065461796866877e-010	2.373656e-001
1.075227421866877e-010	2.248566e-001
1.084993046866877e-010	2.126042e-001
1.094758671866877e-010	2.006087e-001
1.114289921866877e-010	1.797843e-001
1.133821171866877e-010	1.618570e-001
1.153352421866877e-010	1.462865e-001
1.182649296866877e-010	1.257887e-001
1.211946171866877e-010	1.072530e-001
1.231477421866876e-010	9.587660e-002
1.251008671866876e-010	8.565613e-002
1.260774296866876e-010	8.113035e-002
1.270539921866876e-010	7.707699e-002
1.280305546866876e-010	7.355135e-002
1.290071171866876e-010	7.059885e-002
1.299836796866876e-010	6.825229e-002
1.309602421866876e-010	6.653000e-002
1.319368046866876e-010	6.543478e-002
1.329133671866876e-010	6.495359e-002
1.338899296866876e-010	6.505779e-002
1.348664921866876e-010	6.570394e-002
1.358430546866876e-010	6.683505e-002
1.377961796866876e-010	7.026720e-002
1.436555546866876e-010	8.373867e-002
1.456086796866876e-010	8.711127e-002
1.475618046866875e-010	8.921585e-002
1.495149296866875e-010	8.998559e-002
1.514680546866875e-010	8.958187e-002
1.543977421866875e-010	8.745427e-002
1.569089029009732e-010	8.494100e-002
1.594200636152589e-010	8.204755e-002
1.619312243295446e-010	7.877393e-002
1.644423850438303e-010	7.512014e-002
1.669535457581160e-010	7.108617e-002
1.694647064724017e-010	6.667204e-002
1.719758671866874e-010	6.187773e-002
1.729524296866874e-010	6.019511e-002
1.739289921866874e-010	5.842162e-002
1.749055546866874e-010	5.655728e-002
1.758821171866874e-010	5.460208e-002
1.768586796866874e-010	5.255601e-002
1.778352421866874e-010	5.041909e-002
1.788118046866874e-010	4.819130e-002
1.797883671866874e-010	4.556280e-002
1.807649296866874e-010	4.260096e-002
1.817414921866874e-010	3.926188e-002
1.827180546866874e-010	3.551672e-002
1.836946171866874e-010	3.135536e-002
1.846711796866874e-010	2.678889e-002
1.856477421866874e-010	2.185058e-002
1.866243046866874e-010	1.659513e-002
1.876008671866874e-010	1.109636e-002
1.885774296866874e-010	5.443446e-003
1.895539921866874e-010	-2.640493e-004
1.905305546866874e-010	-5.921859e-003
1.915071171866874e-010	-1.142704e-002
1.924836796866874e-010	-1.668384e-002
1.934602421866873e-010	-2.160890e-002
1.944368046866873e-010	-2.613554e-002
1.954133671866873e-010	-3.021663e-002
1.963899296866873e-010	-3.382605e-002
1.973664921866873e-010	-3.695856e-002
1.983430546866873e-010	-3.962824e-002
1.993196171866873e-010	-4.186564e-002
2.002961796866873e-010	-4.371391e-002
2.012727421866873e-010	-4.522442e-002
2.032258671866873e-010	-4.745041e-002
2.061555546866873e-010	-4.951318e-002
2.090852421866873e-010	-5.066993e-002
2.110383671866873e-010	-5.091955e-002
2.129914921866873e-010	-5.055758e-002
2.149446171866873e-010	-4.938966e-002
2.168977421866872e-010	-4.728936e-002
2.188508671866872e-010	-4.425244e-002
2.208039921866872e-010	-4.041111e-002
2.237336796866872e-010	-3.369723e-002
2.266633671866872e-010	-2.678444e-002
2.286164921866872e-010	-2.255352e-002
2.295930546866872e-010	-2.063381e-002
2.305696171866872e-010	-1.886814e-002
2.315461796866872e-010	-1.726669e-002
2.325227421866872e-010	-1.583396e-002
2.334993046866872e-010	-1.456925e-002
2.344758671866872e-010	-1.346736e-002
2.354524296866872e-010	-1.251943e-002
2.364289921866872e-010	-1.171385e-002
2.374055546866873e-010	-1.103724e-002
2.383821171866873e-010	-1.047537e-002
2.393586796866873e-010	-1.001401e-002
2.403352421866873e-010	-9.639760e-003
2.422883671866874e-010	-9.106245e-003
2.442414921866874e-010	-8.801521e-003
2.461946171866875e-010	-8.683701e-003
2.481477421866875e-010	-8.734553e-003
2.501008671866875e-010	-8.944319e-003
2.530305546866876e-010	-9.515725e-003
2.544256439724019e-010	-9.869728e-003
2.558207332581163e-010	-1.023959e-002
2.572158225438306e-010	-1.062531e-002
2.586109118295449e-010	-1.102688e-002
2.600060011152592e-010	-1.144431e-002
2.614010904009735e-010	-1.187761e-002
2.627961796866878e-010	-1.232675e-002
2.647493046866879e-010	-1.314144e-002
2.667024296866879e-010	-1.424679e-002
2.676789921866879e-010	-1.494136e-002
2.686555546866880e-010	-1.574151e-002
2.706086796866880e-010	-1.765980e-002
2.725618046866880e-010	-1.993946e-002
2.733988582581167e-010	-2.104301e-002
2.742359118295452e-010	-2.211208e-002
2.750729654009738e-010	-2.314667e-002
2.759100189724024e-010	-2.414679e-002
2.767470725438310e-010	-2.511242e-002
2.775841261152596e-010	-2.604358e-002
2.784211796866882e-010	-2.694026e-002
2.793977421866882e-010	-2.778892e-002
2.803743046866882e-010	-2.847040e-002
2.813508671866882e-010	-2.896832e-002
2.823274296866883e-010	-2.927406e-002
2.833039921866883e-010	-2.938706e-002
2.842805546866883e-010	-2.931450e-002
2.862336796866883e-010	-2.867461e-002
2.881868046866884e-010	-2.752451e-002
2.898609118295456e-010	-2.624676e-002
2.915350189724027e-010	-2.493945e-002
2.932091261152599e-010	-2.360256e-002
2.948832332581171e-010	-2.223609e-002
2.965573404009743e-010	-2.084006e-002
2.982314475438315e-010	-1.941445e-002
2.999055546866887e-010	-1.795928e-002
3.018586796866887e-010	-1.601585e-002
3.038118046866887e-010	-1.381589e-002
3.057649296866888e-010	-1.137271e-002
3.106477421866889e-010	-4.805421e-003
3.116243046866889e-010	-3.544552e-003
3.126008671866889e-010	-2.339325e-003
3.135774296866890e-010	-1.202691e-003
3.145539921866890e-010	-1.449186e-004
3.155305546866890e-010	8.266242e-004
3.165071171866890e-010	1.707475e-003
3.174836796866890e-010	2.495904e-003
3.184602421866891e-010	3.192588e-003
3.194368046866891e-010	3.800180e-003
3.204133671866891e-010	4.322824e-003
3.213899296866891e-010	4.765647e-003
3.223664921866891e-010	5.134280e-003
3.233430546866892e-010	5.434444e-003
3.243196171866892e-010	5.671606e-003
3.252961796866892e-010	5.850749e-003
3.262727421866892e-010	5.976232e-003
3.282258671866893e-010	6.080437e-003
3.301789921866893e-010	6.007405e-003
3.321321171866894e-010	5.775598e-003
3.340852421866894e-010	5.404809e-003
3.370149296866895e-010	4.647454e-003
3.381310011152609e-010	4.300912e-003
3.392470725438324e-010	3.959783e-003
3.403631439724038e-010	3.624065e-003
3.414792154009753e-010	3.293759e-003
3.425952868295467e-010	2.968864e-003
3.437113582581182e-010	2.649382e-003
3.448274296866896e-010	2.335311e-003
3.477571171866897e-010	1.622746e-003
3.485941707581183e-010	1.441198e-003
3.494312243295469e-010	1.253325e-003
3.502682779009755e-010	1.059126e-003
3.511053314724041e-010	8.586025e-004
3.519423850438327e-010	6.517538e-004
3.527794386152612e-010	4.385800e-004
3.536164921866898e-010	2.190811e-004
3.545930546866899e-010	-6.533236e-005
3.565461796866899e-010	-7.002847e-004
3.594758671866900e-010	-1.778024e-003
3.614289921866900e-010	-2.503312e-003
3.633821171866901e-010	-3.143937e-003
3.643586796866901e-010	-3.406632e-003
3.653352421866901e-010	-3.618666e-003
3.663118046866901e-010	-3.772864e-003
3.672883671866901e-010	-3.864239e-003
3.682649296866902e-010	-3.890315e-003
3.692414921866902e-010	-3.851268e-003
3.702180546866902e-010	-3.749895e-003
3.711946171866902e-010	-3.591392e-003
3.721711796866903e-010	-3.382971e-003
3.741243046866903e-010	-2.852033e-003
3.751008671866903e-010	-2.535279e-003
