time	V(d_3p)
0.000000000000000e+000	0.000000e+000
3.807224696223548e-013	2.799967e-007
7.614449392447096e-013	-5.533913e-008
1.142167408867064e-012	-1.006008e-006
1.522889878489419e-012	-2.572009e-006
1.903612348111774e-012	-4.753342e-006
2.284334817734129e-012	-7.550009e-006
2.665057287356483e-012	-1.096201e-005
4.532207081718554e-012	2.742479e-005
5.508769581718554e-012	2.302714e-005
7.461894581718553e-012	-4.571140e-005
8.438457081718554e-012	-5.867697e-005
9.415019581718555e-012	-2.367098e-005
1.039158208171856e-011	5.969323e-005
1.221742811496918e-011	2.420673e-004
1.312227392286177e-011	2.750445e-004
1.394133715883361e-011	2.478375e-004
1.589446215883361e-011	7.630765e-005
1.687102465883361e-011	1.072053e-004
1.784758715883361e-011	4.029792e-004
1.877833910936164e-011	1.083322e-003
1.968242369083361e-011	2.254199e-003
2.009765625000000e-011	2.993097e-003
2.029296875000000e-011	3.385068e-003
2.068359375000000e-011	4.269052e-003
2.140634068800501e-011	6.278850e-003
2.238290318800501e-011	9.770963e-003
2.335946568800501e-011	1.416156e-002
2.433602818800500e-011	1.946636e-002
2.531259068800500e-011	2.568067e-002
2.628915318800500e-011	3.275961e-002
2.726571568800500e-011	4.062071e-002
2.824227818800500e-011	4.916162e-002
2.921884068800500e-011	5.828547e-002
3.019540318800500e-011	6.792339e-002
3.117196568800500e-011	7.804474e-002
3.214852818800501e-011	8.865151e-002
3.410165318800501e-011	1.113696e-001
3.605477818800502e-011	1.359187e-001
3.689183175943359e-011	1.470828e-001
3.772888533086216e-011	1.580524e-001
3.856593890229074e-011	1.688275e-001
3.940299247371931e-011	1.794081e-001
4.024004604514788e-011	1.897942e-001
4.107709961657646e-011	1.999858e-001
4.191415318800503e-011	2.099828e-001
4.386727818800503e-011	2.309349e-001
4.679696568800504e-011	2.576949e-001
4.972665318800505e-011	2.800229e-001
5.140076033086219e-011	2.907734e-001
5.307486747371933e-011	3.013922e-001
5.474897461657648e-011	3.118794e-001
5.642308175943363e-011	3.222349e-001
5.809718890229077e-011	3.324586e-001
5.977129604514792e-011	3.425507e-001
6.144540318800506e-011	3.525111e-001
6.367754604514790e-011	3.678954e-001
6.590968890229075e-011	3.825250e-001
6.814183175943360e-011	3.963998e-001
7.037397461657645e-011	4.095198e-001
7.260611747371930e-011	4.218851e-001
7.483826033086214e-011	4.334956e-001
7.707040318800499e-011	4.443514e-001
7.916303711657640e-011	4.509910e-001
8.125567104514783e-011	4.563086e-001
8.334830497371924e-011	4.603044e-001
8.544093890229067e-011	4.629783e-001
8.753357283086208e-011	4.643302e-001
8.962620675943351e-011	4.643603e-001
9.171884068800493e-011	4.630684e-001
9.478523398257564e-011	4.631504e-001
9.785162727714637e-011	4.629109e-001
1.009180205717171e-010	4.623501e-001
1.039844138662878e-010	4.614678e-001
1.070508071608585e-010	4.602642e-001
1.101172004554292e-010	4.587392e-001
1.131835937500000e-010	4.568928e-001
1.144477294979748e-010	4.563904e-001
1.157118652459497e-010	4.549978e-001
1.169760009939245e-010	4.527149e-001
1.182401367418994e-010	4.495419e-001
1.195042724898743e-010	4.454785e-001
1.207684082378491e-010	4.405250e-001
1.220325439858240e-010	4.346812e-001
1.247298562070680e-010	4.157411e-001
1.275770020772203e-010	3.887728e-001
1.291116002915061e-010	3.717801e-001
1.306461985057918e-010	3.538989e-001
1.321807967200775e-010	3.351293e-001
1.337153949343632e-010	3.154714e-001
1.352499931486489e-010	2.949250e-001
1.367845913629346e-010	2.734903e-001
1.383191895772203e-010	2.511671e-001
1.412488770772203e-010	2.115317e-001
1.432020020772203e-010	1.879133e-001
1.451551270772203e-010	1.669185e-001
1.471082520772203e-010	1.482863e-001
1.490613770772202e-010	1.315451e-001
1.519910645772202e-010	1.089826e-001
1.531071360057917e-010	1.011351e-001
1.542232074343631e-010	9.332382e-002
1.553392788629345e-010	8.554866e-002
1.564553502915059e-010	7.780965e-002
1.575714217200774e-010	7.010680e-002
1.586874931486488e-010	6.244010e-002
1.598035645772202e-010	5.480956e-002
1.627332520772202e-010	3.378241e-002
1.656629395772202e-010	1.258216e-002
1.666395020772202e-010	5.694098e-003
1.676160645772202e-010	-1.036347e-003
1.685926270772202e-010	-7.582689e-003
1.695691895772202e-010	-1.392775e-002
1.705457520772202e-010	-2.006023e-002
1.715223145772202e-010	-2.597002e-002
1.724988770772201e-010	-3.164349e-002
1.734754395772201e-010	-3.705994e-002
1.744520020772201e-010	-4.219006e-002
1.754285645772201e-010	-4.699681e-002
1.764051270772201e-010	-5.143856e-002
1.773816895772201e-010	-5.547387e-002
1.783582520772201e-010	-5.906696e-002
1.793348145772201e-010	-6.219284e-002
1.803113770772201e-010	-6.484127e-002
1.812879395772201e-010	-6.701872e-002
1.822645020772201e-010	-6.874824e-002
1.842176270772201e-010	-7.102390e-002
1.861707520772201e-010	-7.206815e-002
1.891004395772201e-010	-7.224185e-002
1.911930735057915e-010	-7.179176e-002
1.932857074343629e-010	-7.136792e-002
1.953783413629343e-010	-7.097032e-002
1.974709752915058e-010	-7.059896e-002
1.995636092200772e-010	-7.025384e-002
2.016562431486486e-010	-6.993497e-002
2.037488770772200e-010	-6.964234e-002
2.066785645772200e-010	-6.845521e-002
2.096082520772200e-010	-6.631140e-002
2.125379395772200e-010	-6.312766e-002
2.154676270772200e-010	-5.882481e-002
2.183973145772200e-010	-5.335592e-002
2.195133860057914e-010	-5.090718e-002
2.206294574343628e-010	-4.844389e-002
2.217455288629342e-010	-4.596604e-002
2.228616002915057e-010	-4.347364e-002
2.239776717200771e-010	-4.096668e-002
2.250937431486485e-010	-3.844517e-002
2.262098145772199e-010	-3.590911e-002
2.281629395772199e-010	-3.188061e-002
2.301160645772199e-010	-2.822071e-002
2.320691895772199e-010	-2.494043e-002
2.340223145772199e-010	-2.201390e-002
2.359754395772200e-010	-1.939481e-002
2.389051270772200e-010	-1.590830e-002
2.404397252915058e-010	-1.426260e-002
2.419743235057915e-010	-1.262281e-002
2.435089217200773e-010	-1.098891e-002
2.450435199343630e-010	-9.360919e-003
2.465781181486488e-010	-7.738824e-003
2.481127163629345e-010	-6.122628e-003
2.496473145772203e-010	-4.512332e-003
2.507633860057917e-010	-3.310702e-003
2.518794574343632e-010	-2.115550e-003
2.529955288629346e-010	-9.268773e-004
2.541116002915061e-010	2.553162e-004
2.552276717200775e-010	1.431031e-003
2.563437431486490e-010	2.600266e-003
2.574598145772205e-010	3.763022e-003
2.594129395772205e-010	5.680415e-003
2.603895020772205e-010	6.576920e-003
2.613660645772205e-010	7.420144e-003
2.623426270772206e-010	8.202256e-003
2.633191895772206e-010	8.916946e-003
2.642957520772206e-010	9.559838e-003
2.652723145772206e-010	1.012869e-002
2.672254395772207e-010	1.104577e-002
2.691785645772207e-010	1.168859e-002
2.711316895772208e-010	1.209675e-002
2.740613770772208e-010	1.237102e-002
2.755959752915066e-010	1.236455e-002
2.771305735057923e-010	1.233797e-002
2.786651717200781e-010	1.229128e-002
2.801997699343638e-010	1.222447e-002
2.817343681486496e-010	1.213755e-002
2.832689663629353e-010	1.203051e-002
2.848035645772211e-010	1.190336e-002
2.866171806486497e-010	1.180907e-002
2.884307967200783e-010	1.170229e-002
2.902444127915069e-010	1.158301e-002
2.920580288629355e-010	1.145124e-002
2.938716449343641e-010	1.130698e-002
2.956852610057927e-010	1.115022e-002
2.974988770772213e-010	1.098097e-002
3.004285645772214e-010	1.052840e-002
3.033582520772215e-010	9.871330e-003
3.062879395772215e-010	9.017872e-003
3.078225377915073e-010	8.486308e-003
3.093571360057930e-010	7.954917e-003
3.108917342200788e-010	7.423699e-003
3.124263324343645e-010	6.892653e-003
3.139609306486503e-010	6.361779e-003
3.154955288629360e-010	5.831077e-003
3.170301270772218e-010	5.300548e-003
3.199598145772218e-010	4.409994e-003
3.228895020772219e-010	3.643324e-003
3.258191895772220e-010	3.004074e-003
