Freq.	V(n_3p)
2.00000000000000e+007	(-1.08971976567697e+001dB,-4.64232796165051e+000°)
3.99900000000000e+007	(-1.09252591404323e+001dB,-9.06860031770681e+000°)
5.99800000000000e+007	(-1.09449643964054e+001dB,-1.34436750593785e+001°)
7.99700000000000e+007	(-1.09616307893963e+001dB,-1.78052070799277e+001°)
9.99600000000000e+007	(-1.09771886611070e+001dB,-2.21565307285762e+001°)
1.19950000000000e+008	(-1.09921904768103e+001dB,-2.64984695914035e+001°)
1.39940000000000e+008	(-1.10068388654648e+001dB,-3.08318308570087e+001°)
1.59930000000000e+008	(-1.10212109979073e+001dB,-3.51571439946393e+001°)
1.79920000000000e+008	(-1.10352755837060e+001dB,-3.94746561938206e+001°)
1.99910000000000e+008	(-1.10488698426607e+001dB,-4.37846107336571e+001°)
2.19900000000000e+008	(-1.10616498563945e+001dB,-4.80877433428510e+001°)
2.39890000000000e+008	(-1.10729433973248e+001dB,-5.23867365046278e+001°)
2.59880000000000e+008	(-1.10817370751538e+001dB,-5.66940174678534e+001°)
2.79870000000000e+008	(-1.10920133583761e+001dB,-6.10408444395345e+001°)
2.99860000000000e+008	(-1.11105227893137e+001dB,-6.53677291860974e+001°)
3.19850000000000e+008	(-1.11268295542561e+001dB,-6.96601393414027e+001°)
3.39840000000000e+008	(-1.11413569959293e+001dB,-7.39538346052374e+001°)
3.59830000000000e+008	(-1.11560584954464e+001dB,-7.82509727970030e+001°)
3.79820000000000e+008	(-1.11716512689923e+001dB,-8.25480111129242e+001°)
3.99810000000000e+008	(-1.11883221764455e+001dB,-8.68414075003810e+001°)
4.19800000000000e+008	(-1.12060000635539e+001dB,-9.11282800040518e+001°)
4.39790000000000e+008	(-1.12244770404840e+001dB,-9.54065481901000e+001°)
4.59780000000000e+008	(-1.12434844596914e+001dB,-9.96749010722160e+001°)
4.79770000000000e+008	(-1.12627398890960e+001dB,-1.03932654185472e+002°)
4.99760000000000e+008	(-1.12819695412926e+001dB,-1.08179578799322e+002°)
5.19750000000000e+008	(-1.13009141488019e+001dB,-1.12415768841283e+002°)
5.39740000000000e+008	(-1.13193276247844e+001dB,-1.16641567339811e+002°)
5.59730000000000e+008	(-1.13369752097260e+001dB,-1.20857540422162e+002°)
5.79720000000000e+008	(-1.13536340301293e+001dB,-1.25064475576043e+002°)
5.99710000000000e+008	(-1.13690963186484e+001dB,-1.29263384895440e+002°)
6.19700000000000e+008	(-1.13831744009396e+001dB,-1.33455502582971e+002°)
6.39690000000000e+008	(-1.13957064177064e+001dB,-1.37642272907129e+002°)
6.59680000000000e+008	(-1.14065620195727e+001dB,-1.41825328654130e+002°)
6.79670000000000e+008	(-1.14156475972885e+001dB,-1.46006461587309e+002°)
6.99660000000000e+008	(-1.14229108696007e+001dB,-1.50187586588884e+002°)
7.19650000000000e+008	(-1.14283448551147e+001dB,-1.54370700687385e+002°)
7.39640000000000e+008	(-1.14319914873002e+001dB,-1.58557837155635e+002°)
7.59630000000000e+008	(-1.14339455865803e+001dB,-1.62751012262799e+002°)
7.79620000000000e+008	(-1.14343610683702e+001dB,-1.66952152902871e+002°)
7.99610000000000e+008	(-1.14334641818303e+001dB,-1.71162950162468e+002°)
8.19600000000000e+008	(-1.14315779534069e+001dB,-1.75384340913311e+002°)
8.39590000000000e+008	(-1.14289649977632e+001dB,-1.79614130152723e+002°)
8.59580000000000e+008	(-1.14238716463964e+001dB,1.76147936813458e+002°)
8.79570000000000e+008	(-1.14180480312506e+001dB,1.71876145100716e+002°)
8.99560000000000e+008	(-1.14138955315826e+001dB,1.67588855158223e+002°)
9.19550000000000e+008	(-1.14104378547469e+001dB,1.63288129734187e+002°)
9.39540000000000e+008	(-1.14078679916508e+001dB,1.58972229637019e+002°)
9.59530000000000e+008	(-1.14065862815518e+001dB,1.54640941765088e+002°)
9.79520000000000e+008	(-1.14070123985505e+001dB,1.50294882689668e+002°)
9.99510000000000e+008	(-1.14095576322465e+001dB,1.45935237051760e+002°)
1.01950000000000e+009	(-1.14146155826707e+001dB,1.41563676170983e+002°)
1.03949000000000e+009	(-1.14225551499155e+001dB,1.37182333827585e+002°)
1.05948000000000e+009	(-1.14337132215590e+001dB,1.32793807565618e+002°)
1.07947000000000e+009	(-1.14483855259889e+001dB,1.28401178395635e+002°)
1.09946000000000e+009	(-1.14668133822227e+001dB,1.24008045162587e+002°)
1.11945000000000e+009	(-1.14891631603515e+001dB,1.19618562141978e+002°)
1.13944000000000e+009	(-1.15154951327825e+001dB,1.15237450784217e+002°)
1.15943000000000e+009	(-1.15457204733772e+001dB,1.10869931551718e+002°)
1.17942000000000e+009	(-1.15795510745171e+001dB,1.06521501317218e+002°)
1.19941000000000e+009	(-1.16164567526145e+001dB,1.02197491732866e+002°)
1.21940000000000e+009	(-1.16556541253915e+001dB,9.79024149660193e+001°)
1.23939000000000e+009	(-1.16961514334189e+001dB,9.36392356130474e+001°)
1.25938000000000e+009	(-1.17368550623593e+001dB,8.94088310661998e+001°)
1.27937000000000e+009	(-1.17767111302573e+001dB,8.52098970247263e+001°)
1.29936000000000e+009	(-1.18148315785134e+001dB,8.10393674595110e+001°)
1.31935000000000e+009	(-1.18505605233392e+001dB,7.68931615444975e+001°)
1.33934000000000e+009	(-1.18834697156991e+001dB,7.27669375667947e+001°)
1.35933000000000e+009	(-1.19133054350006e+001dB,6.86566043890743e+001°)
1.37932000000000e+009	(-1.19399214469990e+001dB,6.45585187743884e+001°)
1.39931000000000e+009	(-1.19632241662746e+001dB,6.04694401859652e+001°)
1.41930000000000e+009	(-1.19831404806683e+001dB,5.63863630032923e+001°)
1.43929000000000e+009	(-1.19996069243336e+001dB,5.23063237231549e+001°)
1.45928000000000e+009	(-1.20125740258683e+001dB,4.82262354525172e+001°)
1.47927000000000e+009	(-1.20220197398304e+001dB,4.41427639431568e+001°)
1.49926000000000e+009	(-1.20279681841396e+001dB,4.00522363605575e+001°)
1.51925000000000e+009	(-1.20305129473098e+001dB,3.59505619768795e+001°)
1.53924000000000e+009	(-1.20298479898022e+001dB,3.18331363458631e+001°)
1.55923000000000e+009	(-1.20263152739514e+001dB,2.76946920467242e+001°)
1.57922000000000e+009	(-1.20204913745774e+001dB,2.35290499622295e+001°)
1.59921000000000e+009	(-1.20133682517738e+001dB,1.93287397994930e+001°)
1.61920000000000e+009	(-1.20067727888932e+001dB,1.50846523085281e+001°)
1.63919000000000e+009	(-1.20044128328159e+001dB,1.07871461307349e+001°)
1.65918000000000e+009	(-1.20144024695439e+001dB,6.43733130673644e+000°)
1.67917000000000e+009	(-1.20520534820897e+001dB,2.11094269613355e+000°)
1.69916000000000e+009	(-1.21151730041876e+001dB,-1.88644797230154e+000°)
1.71915000000000e+009	(-1.21124224425108e+001dB,-5.44158615051654e+000°)
1.73914000000000e+009	(-1.20235825327459e+001dB,-9.38067272691787e+000°)
1.75913000000000e+009	(-1.19511913106808e+001dB,-1.37593411966637e+001°)
1.77912000000000e+009	(-1.19069968924713e+001dB,-1.82612203658403e+001°)
1.79911000000000e+009	(-1.18796662874852e+001dB,-2.27959218135123e+001°)
1.81910000000000e+009	(-1.18631739931059e+001dB,-2.73485717556987e+001°)
1.83909000000000e+009	(-1.18551162772650e+001dB,-3.19179538848848e+001°)
1.85908000000000e+009	(-1.18546998720781e+001dB,-3.65040216892681e+001°)
1.87907000000000e+009	(-1.18618496342913e+001dB,-4.11057160959131e+001°)
1.89906000000000e+009	(-1.18768350249514e+001dB,-4.57207326805360e+001°)
