Freq.	V(n_3p)
2.00000000000000e+007	(-1.08421280136012e+001dB,-4.74643525966438e+000°)
3.99900000000000e+007	(-1.08692452170730e+001dB,-9.27837274481963e+000°)
5.99800000000000e+007	(-1.08875377115164e+001dB,-1.37606284141619e+001°)
7.99700000000000e+007	(-1.09023512239106e+001dB,-1.82311643201761e+001°)
9.99600000000000e+007	(-1.09156612534367e+001dB,-2.26936722008191e+001°)
1.19950000000000e+008	(-1.09280715914675e+001dB,-2.71492797629744e+001°)
1.39940000000000e+008	(-1.09398382744425e+001dB,-3.15990521212000e+001°)
1.59930000000000e+008	(-1.09510932843789e+001dB,-3.60437375453662e+001°)
1.79920000000000e+008	(-1.09618609740212e+001dB,-4.04837662018261e+001°)
1.99910000000000e+008	(-1.09720341400607e+001dB,-4.49195338328207e+001°)
2.19900000000000e+008	(-1.09813232390555e+001dB,-4.93519074408421e+001°)
2.39890000000000e+008	(-1.09891062193324e+001dB,-5.37836975898963e+001°)
2.59880000000000e+008	(-1.09944060263771e+001dB,-5.82275706298874e+001°)
2.79870000000000e+008	(-1.10012938163535e+001dB,-6.27156297963333e+001°)
2.99860000000000e+008	(-1.10168114953372e+001dB,-6.71880854286605e+001°)
3.19850000000000e+008	(-1.10305174774832e+001dB,-7.16294285985966e+001°)
3.39840000000000e+008	(-1.10429213130826e+001dB,-7.60757126974844e+001°)
3.59830000000000e+008	(-1.10561440677169e+001dB,-8.05287170642020e+001°)
3.79820000000000e+008	(-1.10710465887175e+001dB,-8.49840057694147e+001°)
3.99810000000000e+008	(-1.10879107803505e+001dB,-8.94367962999406e+001°)
4.19800000000000e+008	(-1.11066941026034e+001dB,-9.38827783964642e+001°)
4.39790000000000e+008	(-1.11271448384279e+001dB,-9.83184569872152e+001°)
4.59780000000000e+008	(-1.11488877492537e+001dB,-1.02741312131800e+002°)
4.79770000000000e+008	(-1.11714924953007e+001dB,-1.07149781825407e+002°)
4.99760000000000e+008	(-1.11945210582080e+001dB,-1.11543127080634e+002°)
5.19750000000000e+008	(-1.12175545923975e+001dB,-1.15921259443180e+002°)
5.39740000000000e+008	(-1.12402052590285e+001dB,-1.20284587812944e+002°)
5.59730000000000e+008	(-1.12621198413175e+001dB,-1.24633906456685e+002°)
5.79720000000000e+008	(-1.12829803186279e+001dB,-1.28970321610177e+002°)
5.99710000000000e+008	(-1.13025042434954e+001dB,-1.33295204295353e+002°)
6.19700000000000e+008	(-1.13204459756640e+001dB,-1.37610156808882e+002°)
6.39690000000000e+008	(-1.13365988409334e+001dB,-1.41916983874931e+002°)
6.59680000000000e+008	(-1.13507978969909e+001dB,-1.46217663229298e+002°)
6.79670000000000e+008	(-1.13629229378481e+001dB,-1.50514313158490e+002°)
