Freq.	V(n_3p)
2.00000000000000e+007	(-1.08323549928771e+001dB,-4.68487307610517e+000°)
3.99900000000000e+007	(-1.08530345672211e+001dB,-9.22601148544011e+000°)
5.99800000000000e+007	(-1.08689943576794e+001dB,-1.37240567359495e+001°)
7.99700000000000e+007	(-1.08830386202461e+001dB,-1.82064962147173e+001°)
9.99600000000000e+007	(-1.08962118076254e+001dB,-2.26775301209585e+001°)
1.19950000000000e+008	(-1.09087811053800e+001dB,-2.71392609858389e+001°)
1.39940000000000e+008	(-1.09208578028548e+001dB,-3.15934170361943e+001°)
1.59930000000000e+008	(-1.09325013497057e+001dB,-3.60411838760726e+001°)
1.79920000000000e+008	(-1.09436959576272e+001dB,-4.04832969534184e+001°)
1.99910000000000e+008	(-1.09543113070161e+001dB,-4.49203774853274e+001°)
2.19900000000000e+008	(-1.09640448040089e+001dB,-4.93534650757845e+001°)
2.39890000000000e+008	(-1.09722676600973e+001dB,-5.37855048462120e+001°)
2.59880000000000e+008	(-1.09780001871100e+001dB,-5.82292720355665e+001°)
2.79870000000000e+008	(-1.09853165494177e+001dB,-6.27169625159591e+001°)
2.99860000000000e+008	(-1.10012646399939e+001dB,-6.71888051967217e+001°)
3.19850000000000e+008	(-1.10154002036159e+001dB,-7.16293168243805e+001°)
3.39840000000000e+008	(-1.10282363530233e+001dB,-7.60745848085189e+001°)
3.59830000000000e+008	(-1.10418976255649e+001dB,-8.05263886095324e+001°)
3.79820000000000e+008	(-1.10572461742675e+001dB,-8.49802798034811e+001°)
3.99810000000000e+008	(-1.10745632645471e+001dB,-8.94314603450943e+001°)
4.19800000000000e+008	(-1.10938042616936e+001dB,-9.38756074431003e+001°)
4.39790000000000e+008	(-1.11147146374530e+001dB,-9.83092193961603e+001°)
4.59780000000000e+008	(-1.11369163043551e+001dB,-1.02729775009608e+002°)
4.79770000000000e+008	(-1.11599763833339e+001dB,-1.07135713873862e+002°)
4.99760000000000e+008	(-1.11834546172974e+001dB,-1.11526298927538e+002°)
5.19750000000000e+008	(-1.12069300169038e+001dB,-1.15901442657759e+002°)
5.39740000000000e+008	(-1.12300124707137e+001dB,-1.20261553885704e+002°)
5.59730000000000e+008	(-1.12523462158836e+001dB,-1.24607426495604e+002°)
5.79720000000000e+008	(-1.12736103616097e+001dB,-1.28940166940591e+002°)
5.99710000000000e+008	(-1.12935192818060e+001dB,-1.33261147799733e+002°)
6.19700000000000e+008	(-1.13118238945862e+001dB,-1.37571974695994e+002°)
6.39690000000000e+008	(-1.13283138646433e+001dB,-1.41874457522853e+002°)
6.59680000000000e+008	(-1.13428203813810e+001dB,-1.46170580698218e+002°)
6.79670000000000e+008	(-1.13552191021055e+001dB,-1.50462469817503e+002°)
6.99660000000000e+008	(-1.13654329110210e+001dB,-1.54752353434666e+002°)
7.19650000000000e+008	(-1.13734342132716e+001dB,-1.59042518684504e+002°)
7.39640000000000e+008	(-1.13792463987481e+001dB,-1.63335257026530e+002°)
7.59630000000000e+008	(-1.13829429944931e+001dB,-1.67632786660444e+002°)
7.79620000000000e+008	(-1.13846333549796e+001dB,-1.71937110202900e+002°)
7.99610000000000e+008	(-1.13843510844245e+001dB,-1.76250070660787e+002°)
8.19600000000000e+008	(-1.13822588296122e+001dB,1.79423579029704e+002°)
8.39590000000000e+008	(-1.13791614695360e+001dB,1.75083179905993e+002°)
8.59580000000000e+008	(-1.13751705288484e+001dB,1.70729418088100e+002°)
8.79570000000000e+008	(-1.13704716109843e+001dB,1.66360520399999e+002°)
8.99560000000000e+008	(-1.13654455673635e+001dB,1.61975279412800e+002°)
9.19550000000000e+008	(-1.13605006686136e+001dB,1.57573138473992e+002°)
9.39540000000000e+008	(-1.13560550085296e+001dB,1.53154009020022e+002°)
9.59530000000000e+008	(-1.13525309219680e+001dB,1.48718246855225e+002°)
9.79520000000000e+008	(-1.13503477564250e+001dB,1.44266661702168e+002°)
9.99510000000000e+008	(-1.13499130172300e+001dB,1.39800533454622e+002°)
1.01950000000000e+009	(-1.13516117785341e+001dB,1.35321629835613e+002°)
1.03949000000000e+009	(-1.13557936154934e+001dB,1.30832222535416e+002°)
1.05948000000000e+009	(-1.13627558946757e+001dB,1.26335095075705e+002°)
1.07947000000000e+009	(-1.13727223720084e+001dB,1.21833527789125e+002°)
1.09946000000000e+009	(-1.13858172090761e+001dB,1.17331235636518e+002°)
1.11945000000000e+009	(-1.14020371766764e+001dB,1.12832228885852e+002°)
1.13944000000000e+009	(-1.14212286495960e+001dB,1.08340574724549e+002°)
1.15943000000000e+009	(-1.14430791403197e+001dB,1.03860068169678e+002°)
1.17942000000000e+009	(-1.14671323763485e+001dB,9.93938688351576e+001°)
1.19941000000000e+009	(-1.14928291006168e+001dB,9.49442006311686e+001°)
1.21940000000000e+009	(-1.15195649728642e+001dB,9.05122091517308e+001°)
1.23939000000000e+009	(-1.15467488057690e+001dB,8.60980141353699e+001°)
1.25938000000000e+009	(-1.15738449084819e+001dB,8.17009135424920e+001°)
1.27937000000000e+009	(-1.16003920934426e+001dB,7.73196439593775e+001°)
1.29936000000000e+009	(-1.16260024673210e+001dB,7.29526060433761e+001°)
1.31935000000000e+009	(-1.16503491749134e+001dB,6.85980069429310e+001°)
1.33934000000000e+009	(-1.16731522985804e+001dB,6.42539184123757e+001°)
1.35933000000000e+009	(-1.16941686457096e+001dB,5.99182763711612e+001°)
1.37932000000000e+009	(-1.17131873234669e+001dB,5.55888527167039e+001°)
1.39931000000000e+009	(-1.17300304821980e+001dB,5.12632224915407e+001°)
1.41930000000000e+009	(-1.17445575883207e+001dB,4.69387384396947e+001°)
1.43929000000000e+009	(-1.17566715668416e+001dB,4.26125155579776e+001°)
1.45928000000000e+009	(-1.17663256071453e+001dB,3.82814214708336e+001°)
1.47927000000000e+009	(-1.17735300593171e+001dB,3.39420631824689e+001°)
1.49926000000000e+009	(-1.17783596398132e+001dB,2.95907548453207e+001°)
1.51925000000000e+009	(-1.17809624065136e+001dB,2.52234415623418e+001°)
1.53924000000000e+009	(-1.17815745284280e+001dB,2.08355358392318e+001°)
1.55923000000000e+009	(-1.17805511958806e+001dB,1.64215865391611e+001°)
1.57922000000000e+009	(-1.17784413646972e+001dB,1.19746273157335e+001°)
1.59921000000000e+009	(-1.17761861285679e+001dB,7.48492236813168e+000°)
1.61920000000000e+009	(-1.17756908986732e+001dB,2.93773674035790e+000°)
1.63919000000000e+009	(-1.17816065954685e+001dB,-1.68899624013963e+000°)
1.65918000000000e+009	(-1.18068039506771e+001dB,-6.41242448099207e+000°)
1.67917000000000e+009	(-1.18803044418804e+001dB,-1.11173594368919e+001°)
1.69916000000000e+009	(-1.19905441836191e+001dB,-1.52718095517346e+001°)
1.71915000000000e+009	(-1.19966177895347e+001dB,-1.89869751148774e+001°)
1.73914000000000e+009	(-1.19387828264884e+001dB,-2.32116753360504e+001°)
1.75913000000000e+009	(-1.19015737767932e+001dB,-2.77553152211268e+001°)
1.77912000000000e+009	(-1.18859814013068e+001dB,-3.23919074379302e+001°)
1.79911000000000e+009	(-1.18845845734597e+001dB,-3.70588296725622e+001°)
1.81910000000000e+009	(-1.18934104259252e+001dB,-4.17400070590395e+001°)
1.83909000000000e+009	(-1.19107324375341e+001dB,-4.64303588358178e+001°)
1.85908000000000e+009	(-1.19359979714603e+001dB,-5.11269666214012e+001°)
1.87907000000000e+009	(-1.19693248383322e+001dB,-5.58263253992745e+001°)
1.89906000000000e+009	(-1.20112439346972e+001dB,-6.05227836946073e+001°)
1.91905000000000e+009	(-1.20624690484198e+001dB,-6.52070352766577e+001°)
1.93904000000000e+009	(-1.21235427121832e+001dB,-6.98647628406727e+001°)
1.95903000000000e+009	(-1.21942823600655e+001dB,-7.44764131278865e+001°)
1.97902000000000e+009	(-1.22731286082785e+001dB,-7.90196524681120e+001°)
1.99901000000000e+009	(-1.23567668895500e+001dB,-8.34753192817159e+001°)
2.01900000000000e+009	(-1.24404937079006e+001dB,-8.78349514318212e+001°)
2.03899000000000e+009	(-1.25193928118132e+001dB,-9.21052018726102e+001°)
2.05898000000000e+009	(-1.25896875256566e+001dB,-9.63056373647795e+001°)
