Freq.	V(n_3p)
2.00000000000000e+007	(-1.08829120271748e+001dB,-5.22329310026714e+000°)
3.99900000000000e+007	(-1.09053072901204e+001dB,-1.02640298620524e+001°)
5.99800000000000e+007	(-1.09228522882441e+001dB,-1.52687319893218e+001°)
7.99700000000000e+007	(-1.09389149693928e+001dB,-2.02590475464983e+001°)
9.99600000000000e+007	(-1.09545927038132e+001dB,-2.52376382070519e+001°)
1.19950000000000e+008	(-1.09701503659505e+001dB,-3.02059576544107e+001°)
1.39940000000000e+008	(-1.09856871828260e+001dB,-3.51653621784052e+001°)
1.59930000000000e+008	(-1.10012500509520e+001dB,-4.01167769137937e+001°)
1.79920000000000e+008	(-1.10168137662035e+001dB,-4.50607258110483e+001°)
1.99910000000000e+008	(-1.10322443506907e+001dB,-4.99976304690350e+001°)
2.19900000000000e+008	(-1.10472437247190e+001dB,-5.49283051089272e+001°)
2.39890000000000e+008	(-1.10611982192442e+001dB,-5.98553865961759e+001°)
2.59880000000000e+008	(-1.10731538224793e+001dB,-6.47911161400707e+001°)
2.79870000000000e+008	(-1.10871558453982e+001dB,-6.97666767356106e+001°)
2.99860000000000e+008	(-1.11101312982173e+001dB,-7.47220252466665e+001°)
3.19850000000000e+008	(-1.11316728600562e+001dB,-7.96410427343876e+001°)
3.39840000000000e+008	(-1.11521584687797e+001dB,-8.45584466445337e+001°)
3.59830000000000e+008	(-1.11734719903945e+001dB,-8.94752811106457e+001°)
3.79820000000000e+008	(-1.11961978754329e+001dB,-9.43870115919204e+001°)
3.99810000000000e+008	(-1.12203478349970e+001dB,-9.92894426358034e+001°)
4.19800000000000e+008	(-1.12456633799384e+001dB,-1.04179410345549e+002°)
4.39790000000000e+008	(-1.12717561181125e+001dB,-1.09054846631714e+002°)
4.59780000000000e+008	(-1.12981881246392e+001dB,-1.13914662931113e+002°)
4.79770000000000e+008	(-1.13245169166860e+001dB,-1.18758575256246e+002°)
4.99760000000000e+008	(-1.13503184190376e+001dB,-1.23586943901444e+002°)
5.19750000000000e+008	(-1.13751985710422e+001dB,-1.28400653797483e+002°)
5.39740000000000e+008	(-1.13988004607476e+001dB,-1.33201030615080e+002°)
5.59730000000000e+008	(-1.14208102915160e+001dB,-1.37989777865334e+002°)
5.79720000000000e+008	(-1.14409632173829e+001dB,-1.42768922108737e+002°)
5.99710000000000e+008	(-1.14590490483316e+001dB,-1.47540758386239e+002°)
6.19700000000000e+008	(-1.14749175422447e+001dB,-1.52307792169883e+002°)
6.39690000000000e+008	(-1.14884831070958e+001dB,-1.57072676526363e+002°)
6.59680000000000e+008	(-1.14997291949956e+001dB,-1.61838143398362e+002°)
6.79670000000000e+008	(-1.15087141429764e+001dB,-1.66606921621878e+002°)
6.99660000000000e+008	(-1.15155856785383e+001dB,-1.71381579040316e+002°)
7.19650000000000e+008	(-1.15205957166961e+001dB,-1.76163635961230e+002°)
7.39640000000000e+008	(-1.15231927669450e+001dB,1.79046393868134e+002°)
7.59630000000000e+008	(-1.15243905652851e+001dB,1.74235823582573e+002°)
7.79620000000000e+008	(-1.15249752604589e+001dB,1.69412568693796e+002°)
7.99610000000000e+008	(-1.15248474385890e+001dB,1.64573945389527e+002°)
8.19600000000000e+008	(-1.15244527347572e+001dB,1.59718421304458e+002°)
8.39590000000000e+008	(-1.15242652163993e+001dB,1.54845406645812e+002°)
8.59580000000000e+008	(-1.15247697396802e+001dB,1.49954906371435e+002°)
8.79570000000000e+008	(-1.15264545998983e+001dB,1.45047487143930e+002°)
8.99560000000000e+008	(-1.15298017913486e+001dB,1.40124290089800e+002°)
9.19550000000000e+008	(-1.15352753358103e+001dB,1.35187057210363e+002°)
9.39540000000000e+008	(-1.15433065477716e+001dB,1.30238167367667e+002°)
9.59530000000000e+008	(-1.15542736797391e+001dB,1.25280675857671e+002°)
9.79520000000000e+008	(-1.15684726802975e+001dB,1.20318336899395e+002°)
9.99510000000000e+008	(-1.15860770822613e+001dB,1.15355564284470e+002°)
1.01950000000000e+009	(-1.16070900558562e+001dB,1.10397263076447e+002°)
1.03949000000000e+009	(-1.16313007024271e+001dB,1.05448470471025e+002°)
1.05948000000000e+009	(-1.16582655407863e+001dB,1.00513806461337e+002°)
1.07947000000000e+009	(-1.16873356848539e+001dB,9.55968509286701e+001°)
1.09946000000000e+009	(-1.17177335058888e+001dB,9.06996614610561e+001°)
1.11945000000000e+009	(-1.17486564471626e+001dB,8.58226242264300e+001°)
1.13944000000000e+009	(-1.17793701473298e+001dB,8.09646709111158e+001°)
1.15943000000000e+009	(-1.18092618179010e+001dB,7.61237137772251e+001°)
1.17942000000000e+009	(-1.18378494808390e+001dB,7.12970848837541e+001°)
1.19941000000000e+009	(-1.18647628964881e+001dB,6.64818334716350e+001°)
1.21940000000000e+009	(-1.18897168441520e+001dB,6.16748496389922e+001°)
1.23939000000000e+009	(-1.19124908114426e+001dB,5.68728585855932e+001°)
1.25938000000000e+009	(-1.19329202027522e+001dB,5.20723474286878e+001°)
1.27937000000000e+009	(-1.19508983958452e+001dB,4.72694682380454e+001°)
1.29936000000000e+009	(-1.19663872019511e+001dB,4.24599324329401e+001°)
1.31935000000000e+009	(-1.19794344099111e+001dB,3.76388852312304e+001°)
1.33934000000000e+009	(-1.19902004151134e+001dB,3.28007241083864e+001°)
1.35933000000000e+009	(-1.19990025241174e+001dB,2.79387947662011e+001°)
1.37932000000000e+009	(-1.20064001757882e+001dB,2.30448511330187e+001°)
1.39931000000000e+009	(-1.20133815035344e+001dB,1.81080977117435e+001°)
1.41930000000000e+009	(-1.20218150439468e+001dB,1.31136108987465e+001°)
1.43929000000000e+009	(-1.20356315480981e+001dB,8.04053589069012e+000°)
1.45928000000000e+009	(-1.20640062597705e+001dB,2.86544392197126e+000°)
1.47927000000000e+009	(-1.21283826558784e+001dB,-2.39443567856870e+000°)
1.49926000000000e+009	(-1.22600126918533e+001dB,-7.48683364074501e+000°)
1.51925000000000e+009	(-1.24225351596026e+001dB,-1.17610507303343e+001°)
1.53924000000000e+009	(-1.24263927183263e+001dB,-1.54284442008203e+001°)
1.55923000000000e+009	(-1.23304144778663e+001dB,-1.99043955768353e+001°)
1.57922000000000e+009	(-1.22693507433254e+001dB,-2.48896512943948e+001°)
1.59921000000000e+009	(-1.22439561873485e+001dB,-3.00094092650834e+001°)
1.61920000000000e+009	(-1.22408973547427e+001dB,-3.51604001568162e+001°)
1.63919000000000e+009	(-1.22528091803830e+001dB,-4.03177384146361e+001°)
1.65918000000000e+009	(-1.22761639446248e+001dB,-4.54751225541121e+001°)
1.67917000000000e+009	(-1.23093842057957e+001dB,-5.06304679255585e+001°)
1.69916000000000e+009	(-1.23519862489620e+001dB,-5.57820098649017e+001°)
