Freq.	V(n_3p)
2.00000000000000e+007	(-1.07751598459399e+001dB,-4.29970426123302e+000°)
3.99900000000000e+007	(-1.07952200490227e+001dB,-8.41087583429123e+000°)
5.99800000000000e+007	(-1.08080049696364e+001dB,-1.24976164030420e+001°)
7.99700000000000e+007	(-1.08186827764156e+001dB,-1.65821132938713e+001°)
9.99600000000000e+007	(-1.08291116939155e+001dB,-2.06630066717339e+001°)
1.19950000000000e+008	(-1.08397529073620e+001dB,-2.47373993397059e+001°)
1.39940000000000e+008	(-1.08505553473015e+001dB,-2.88033463977860e+001°)
1.59930000000000e+008	(-1.08612513120737e+001dB,-3.28599528971527e+001°)
1.79920000000000e+008	(-1.08714674371277e+001dB,-3.69072948126070e+001°)
1.99910000000000e+008	(-1.08807651649122e+001dB,-4.09463847906835e+001°)
2.19900000000000e+008	(-1.08886191232101e+001dB,-4.49792999139522e+001°)
2.39890000000000e+008	(-1.08942674445092e+001dB,-4.90103268422912e+001°)
2.59880000000000e+008	(-1.08966720964869e+001dB,-5.30537035195933e+001°)
2.79870000000000e+008	(-1.08999482662613e+001dB,-5.71432141376565e+001°)
2.99860000000000e+008	(-1.09112750355052e+001dB,-6.12197568849963e+001°)
3.19850000000000e+008	(-1.09202038184402e+001dB,-6.52685897154932e+001°)
3.39840000000000e+008	(-1.09273544256122e+001dB,-6.93270149508526e+001°)
3.59830000000000e+008	(-1.09350139915250e+001dB,-7.33976323633472e+001°)
3.79820000000000e+008	(-1.09442361785631e+001dB,-7.74765533761796e+001°)
3.99810000000000e+008	(-1.09555223376894e+001dB,-8.15592043127952e+001°)
4.19800000000000e+008	(-1.09690581226601e+001dB,-8.56410428906606e+001°)
4.39790000000000e+008	(-1.09847992525582e+001dB,-8.97178868917294e+001°)
4.59780000000000e+008	(-1.10025300542261e+001dB,-9.37861827206958e+001°)
4.79770000000000e+008	(-1.10219195535455e+001dB,-9.78431743795037e+001°)
4.99760000000000e+008	(-1.10425741885271e+001dB,-1.01886946708397e+002°)
5.19750000000000e+008	(-1.10640808539014e+001dB,-1.05916359290698e+002°)
5.39740000000000e+008	(-1.10860361622158e+001dB,-1.09930916701174e+002°)
5.59730000000000e+008	(-1.11080622409193e+001dB,-1.13930624879717e+002°)
5.79720000000000e+008	(-1.11298126211746e+001dB,-1.17915867818804e+002°)
5.99710000000000e+008	(-1.11509726191519e+001dB,-1.21887317853037e+002°)
6.19700000000000e+008	(-1.11712577232724e+001dB,-1.25845877523844e+002°)
6.39690000000000e+008	(-1.11904120579897e+001dB,-1.29792644135472e+002°)
6.59680000000000e+008	(-1.12082077790500e+001dB,-1.33728887438494e+002°)
6.79670000000000e+008	(-1.12244455112362e+001dB,-1.37656033038236e+002°)
6.99660000000000e+008	(-1.12389555992318e+001dB,-1.41575646820545e+002°)
7.19650000000000e+008	(-1.12515998508254e+001dB,-1.45489417884378e+002°)
7.39640000000000e+008	(-1.12622734808869e+001dB,-1.49399138955652e+002°)
7.59630000000000e+008	(-1.12709070403209e+001dB,-1.53306684177950e+002°)
7.79620000000000e+008	(-1.12774682132855e+001dB,-1.57213984800163e+002°)
7.99610000000000e+008	(-1.12819635244707e+001dB,-1.61123003960347e+002°)
8.19600000000000e+008	(-1.12844404101533e+001dB,-1.65035713156089e+002°)
8.39590000000000e+008	(-1.12849917325190e+001dB,-1.68954077014819e+002°)
8.59580000000000e+008	(-1.12837749137028e+001dB,-1.72880067141697e+002°)
8.79570000000000e+008	(-1.12811846461862e+001dB,-1.76815276004456e+002°)
8.99560000000000e+008	(-1.12769093936963e+001dB,1.79245069762263e+002°)
9.19550000000000e+008	(-1.12707176219981e+001dB,1.75287906932634e+002°)
9.39540000000000e+008	(-1.12639301636672e+001dB,1.71316419808297e+002°)
9.59530000000000e+008	(-1.12565474749038e+001dB,1.67330935651579e+002°)
9.79520000000000e+008	(-1.12488120676824e+001dB,1.63330566682387e+002°)
9.99510000000000e+008	(-1.12410378646663e+001dB,1.59314767339433e+002°)
1.01950000000000e+009	(-1.12335634447558e+001dB,1.55283348941231e+002°)
1.03949000000000e+009	(-1.12267381199483e+001dB,1.51236472619387e+002°)
1.05948000000000e+009	(-1.12209135510007e+001dB,1.47174655057926e+002°)
1.07947000000000e+009	(-1.12164361406045e+001dB,1.43098778761595e+002°)
1.09946000000000e+009	(-1.12136389573624e+001dB,1.39010102923046e+002°)
1.11945000000000e+009	(-1.12128325259110e+001dB,1.34910272443693e+002°)
1.13944000000000e+009	(-1.12142938832137e+001dB,1.30801321610453e+002°)
1.15943000000000e+009	(-1.12182533937423e+001dB,1.26685666105483e+002°)
1.17942000000000e+009	(-1.12248792160081e+001dB,1.22566073187314e+002°)
1.19941000000000e+009	(-1.12342602299132e+001dB,1.18445596706106e+002°)
1.21940000000000e+009	(-1.12463896959772e+001dB,1.14327464126578e+002°)
1.23939000000000e+009	(-1.12611535385417e+001dB,1.10214910510402e+002°)
1.25938000000000e+009	(-1.12783280052735e+001dB,1.06110970948453e+002°)
1.27937000000000e+009	(-1.12975904184248e+001dB,1.02018264051747e+002°)
1.29936000000000e+009	(-1.13185433334911e+001dB,9.79388139774052e+001°)
1.31935000000000e+009	(-1.13407477516828e+001dB,9.38739550627798e+001°)
1.33934000000000e+009	(-1.13637575480551e+001dB,8.98243383865337e+001°)
1.35933000000000e+009	(-1.13871471379908e+001dB,8.57900248081687e+001°)
1.37932000000000e+009	(-1.14105276949771e+001dB,8.17706231276974e+001°)
1.39931000000000e+009	(-1.14335518810479e+001dB,7.77654271823463e+001°)
1.41930000000000e+009	(-1.14559105482339e+001dB,7.37735197617685e+001°)
1.43929000000000e+009	(-1.14773260019578e+001dB,6.97938323246075e+001°)
1.45928000000000e+009	(-1.14975455797490e+001dB,6.58251663733829e+001°)
1.47927000000000e+009	(-1.15163376341086e+001dB,6.18661903219061e+001°)
1.49926000000000e+009	(-1.15334904827270e+001dB,5.79154260508032e+001°)
1.51925000000000e+009	(-1.15488139279976e+001dB,5.39712357093860e+001°)
1.53924000000000e+009	(-1.15621425458924e+001dB,5.00318148071540e+001°)
1.55923000000000e+009	(-1.15733399140740e+001dB,4.60951939084654e+001°)
1.57922000000000e+009	(-1.15823030972049e+001dB,4.21592487453683e+001°)
1.59921000000000e+009	(-1.15889669043091e+001dB,3.82217170889498e+001°)
1.61920000000000e+009	(-1.15933076169055e+001dB,3.42802198333561e+001°)
1.63919000000000e+009	(-1.15953460451916e+001dB,3.03322829764257e+001°)
