Freq.	V(n_3p)
2.00000000000000e+007	(-1.08300001732644e+001dB,-4.19574681324213e+000°)
3.99900000000000e+007	(-1.08508829245546e+001dB,-8.20164839395036e+000°)
5.99800000000000e+007	(-1.08649096418402e+001dB,-1.21818432648640e+001°)
7.99700000000000e+007	(-1.08772244895803e+001dB,-1.61582137773982e+001°)
9.99600000000000e+007	(-1.08896451568130e+001dB,-2.01290659664483e+001°)
1.19950000000000e+008	(-1.09025850907454e+001dB,-2.40912259553753e+001°)
1.39940000000000e+008	(-1.09159429691176e+001dB,-2.80425300436917e+001°)
1.59930000000000e+008	(-1.09294004635965e+001dB,-3.19819169926829e+001°)
1.79920000000000e+008	(-1.09425349714631e+001dB,-3.59093426552233e+001°)
1.99910000000000e+008	(-1.09548617855427e+001dB,-3.98257361710294e+001°)
2.19900000000000e+008	(-1.09658143036074e+001dB,-4.37331146348533e+001°)
2.39890000000000e+008	(-1.09745982732905e+001dB,-4.76357066398566e+001°)
2.59880000000000e+008	(-1.09801634052067e+001dB,-5.15475760916754e+001°)
2.79870000000000e+008	(-1.09865716760405e+001dB,-5.55017040424250e+001°)
2.99860000000000e+008	(-1.10007539796898e+001dB,-5.94392151934001e+001°)
3.19850000000000e+008	(-1.10123085638410e+001dB,-6.33462172940843e+001°)
3.39840000000000e+008	(-1.10218189371536e+001dB,-6.72594616626681e+001°)
3.59830000000000e+008	(-1.10314432903598e+001dB,-7.11814737179718e+001°)
3.79820000000000e+008	(-1.10421029291700e+001dB,-7.51086540123783e+001°)
3.99810000000000e+008	(-1.10541752596187e+001dB,-7.90370077977938e+001°)
4.19800000000000e+008	(-1.10677445894522e+001dB,-8.29628449361892e+001°)
4.39790000000000e+008	(-1.10827038513085e+001dB,-8.68830507332345e+001°)
4.59780000000000e+008	(-1.10988246591939e+001dB,-9.07952463900990e+001°)
4.79770000000000e+008	(-1.11158161431573e+001dB,-9.46978229863077e+001°)
4.99760000000000e+008	(-1.11333707097036e+001dB,-9.85898589172560e+001°)
5.19750000000000e+008	(-1.11511930039647e+001dB,-1.02470968408692e+002°)
5.39740000000000e+008	(-1.11690125110806e+001dB,-1.06341140569496e+002°)
5.59730000000000e+008	(-1.11865844824411e+001dB,-1.10200612971821e+002°)
5.79720000000000e+008	(-1.12036853515994e+001dB,-1.14049795847844e+002°)
5.99710000000000e+008	(-1.12201075598745e+001dB,-1.17889240145389e+002°)
6.19700000000000e+008	(-1.12356563757138e+001dB,-1.21719632732353e+002°)
6.39690000000000e+008	(-1.12501493182906e+001dB,-1.25541802676825e+002°)
6.59680000000000e+008	(-1.12634177175318e+001dB,-1.29356727802401e+002°)
6.79670000000000e+008	(-1.12753096155563e+001dB,-1.33165536129354e+002°)
6.99660000000000e+008	(-1.12856932926255e+001dB,-1.36969500532246e+002°)
7.19650000000000e+008	(-1.12944609119752e+001dB,-1.40770026897034e+002°)
7.39640000000000e+008	(-1.13015319828308e+001dB,-1.44568636804142e+002°)
7.59630000000000e+008	(-1.13068564967624e+001dB,-1.48366945863845e+002°)
7.79620000000000e+008	(-1.13104177076432e+001dB,-1.52166638657224e+002°)
7.99610000000000e+008	(-1.13122346353934e+001dB,-1.55969440952704e+002°)
8.19600000000000e+008	(-1.13123645482163e+001dB,-1.59777089412193e+002°)
8.39590000000000e+008	(-1.13109060834160e+001dB,-1.63591297803520e+002°)
8.59580000000000e+008	(-1.13080047903821e+001dB,-1.67413714148574e+002°)
8.79570000000000e+008	(-1.13038662960111e+001dB,-1.71245841392265e+002°)
