Freq.	V(n_3p)
2.00000000000000e+007	(-1.07777582360923e+001dB,-1.80756653351112e+000°)
3.99900000000000e+007	(-1.07823395948560e+001dB,-3.54748475999824e+000°)
5.99800000000000e+007	(-1.07848331866917e+001dB,-5.29237145942537e+000°)
7.99700000000000e+007	(-1.07873653172509e+001dB,-7.04105413665669e+000°)
9.99600000000000e+007	(-1.07905695815054e+001dB,-8.78965813582866e+000°)
1.19950000000000e+008	(-1.07944819464788e+001dB,-1.05346446806289e+001°)
1.39940000000000e+008	(-1.07988466729356e+001dB,-1.22737172947608e+001°)
1.59930000000000e+008	(-1.08032988625201e+001dB,-1.40059809078155e+001°)
1.79920000000000e+008	(-1.08074793991474e+001dB,-1.57317442526742e+001°)
1.99910000000000e+008	(-1.08111011845479e+001dB,-1.74521738293416e+001°)
2.19900000000000e+008	(-1.08139786702931e+001dB,-1.91689172338402e+001°)
2.39890000000000e+008	(-1.08160304778874e+001dB,-2.08837674042974e+001°)
2.59880000000000e+008	(-1.08172644346349e+001dB,-2.25984093427562e+001°)
2.79870000000000e+008	(-1.08177538672782e+001dB,-2.43142641277944e+001°)
2.99860000000000e+008	(-1.08176124476762e+001dB,-2.60324222889949e+001°)
3.19850000000000e+008	(-1.08169724226040e+001dB,-2.77536444135347e+001°)
3.39840000000000e+008	(-1.08159684735973e+001dB,-2.94784026436077e+001°)
3.59830000000000e+008	(-1.08147274410132e+001dB,-3.12069400370643e+001°)
3.79820000000000e+008	(-1.08133629773182e+001dB,-3.29393315870570e+001°)
3.99810000000000e+008	(-1.08119737658254e+001dB,-3.46755377122812e+001°)
4.19800000000000e+008	(-1.08106439895996e+001dB,-3.64154464788461e+001°)
4.39790000000000e+008	(-1.08094450058400e+001dB,-3.81589042716718e+001°)
4.59780000000000e+008	(-1.08084374996737e+001dB,-3.99057364070044e+001°)
4.79770000000000e+008	(-1.08076736685675e+001dB,-4.16557598088718e+001°)
4.99760000000000e+008	(-1.08071991945080e+001dB,-4.34087898552386e+001°)
5.19750000000000e+008	(-1.08070548976761e+001dB,-4.51646431858449e+001°)
5.39740000000000e+008	(-1.08072780470980e+001dB,-4.69231378645201e+001°)
5.59730000000000e+008	(-1.08079033471450e+001dB,-4.86840919120617e+001°)
5.79720000000000e+008	(-1.08089636376184e+001dB,-5.04473209153017e+001°)
5.99710000000000e+008	(-1.08104903496219e+001dB,-5.22126351828439e+001°)
6.19700000000000e+008	(-1.08125137562250e+001dB,-5.39798367513717e+001°)
6.39690000000000e+008	(-1.08150630503069e+001dB,-5.57487164362991e+001°)
6.59680000000000e+008	(-1.08181662744541e+001dB,-5.75190510544201e+001°)
