Freq.	V(n_3p)
2.00000000000000e+007	(-1.08265053632755e+001dB,-4.01739070507923e+000°)
3.99900000000000e+007	(-1.08477392373273e+001dB,-7.88132212628640e+000°)
5.99800000000000e+007	(-1.08643706729004e+001dB,-1.16951792188950e+001°)
7.99700000000000e+007	(-1.08777185916012e+001dB,-1.54932795826273e+001°)
9.99600000000000e+007	(-1.08897284752478e+001dB,-1.92854125551791e+001°)
1.19950000000000e+008	(-1.09013855034461e+001dB,-2.30717303134498e+001°)
1.39940000000000e+008	(-1.09129291318572e+001dB,-2.68507689550289e+001°)
1.59930000000000e+008	(-1.09242414009496e+001dB,-3.06219041471343e+001°)
1.79920000000000e+008	(-1.09351025363219e+001dB,-3.43857304602647e+001°)
1.99910000000000e+008	(-1.09453302870729e+001dB,-3.81437785590604e+001°)
2.19900000000000e+008	(-1.09548429266564e+001dB,-4.18980679412593e+001°)
2.39890000000000e+008	(-1.09636741616390e+001dB,-4.56506826342534e+001°)
2.59880000000000e+008	(-1.09719594607688e+001dB,-4.94034444283762e+001°)
2.79870000000000e+008	(-1.09799080578883e+001dB,-5.31577047475750e+001°)
2.99860000000000e+008	(-1.09877706727362e+001dB,-5.69142454370734e+001°)
3.19850000000000e+008	(-1.09958090385070e+001dB,-6.06732634785481e+001°)
3.39840000000000e+008	(-1.10042699699032e+001dB,-6.44344123429023e+001°)
3.59830000000000e+008	(-1.10133644822492e+001dB,-6.81968790837260e+001°)
3.79820000000000e+008	(-1.10232516076106e+001dB,-7.19594858150592e+001°)
3.99810000000000e+008	(-1.10340268712702e+001dB,-7.57208115372442e+001°)
4.19800000000000e+008	(-1.10457163267246e+001dB,-7.94793312993265e+001°)
4.39790000000000e+008	(-1.10582777010400e+001dB,-8.32335631467403e+001°)
4.59780000000000e+008	(-1.10716096376937e+001dB,-8.69822027225437e+001°)
4.79770000000000e+008	(-1.10855679381190e+001dB,-9.07242191315614e+001°)
4.99760000000000e+008	(-1.10999850346424e+001dB,-9.44588920099150e+001°)
5.19750000000000e+008	(-1.11146874982080e+001dB,-9.81857888681153e+001°)
5.39740000000000e+008	(-1.11295074256416e+001dB,-1.01904703184049e+002°)
5.59730000000000e+008	(-1.11442864906745e+001dB,-1.05615584158976e+002°)
5.79720000000000e+008	(-1.11588743884439e+001dB,-1.09318483795115e+002°)
5.99710000000000e+008	(-1.11731248053325e+001dB,-1.13013532369243e+002°)
6.19700000000000e+008	(-1.11868917239205e+001dB,-1.16700939532304e+002°)
6.39690000000000e+008	(-1.12000276520345e+001dB,-1.20381011032630e+002°)
6.59680000000000e+008	(-1.12123841503793e+001dB,-1.24054170409550e+002°)
6.79670000000000e+008	(-1.12238142764830e+001dB,-1.27720977928319e+002°)
6.99660000000000e+008	(-1.12341762823183e+001dB,-1.31382142652455e+002°)
7.19650000000000e+008	(-1.12433379265040e+001dB,-1.35038526365022e+002°)
7.39640000000000e+008	(-1.12511809133319e+001dB,-1.38691139713586e+002°)
7.59630000000000e+008	(-1.12576051400457e+001dB,-1.42341131691390e+002°)
7.79620000000000e+008	(-1.12625325742038e+001dB,-1.45989773733515e+002°)
7.99610000000000e+008	(-1.12659106872986e+001dB,-1.49638439581734e+002°)
8.19600000000000e+008	(-1.12677154517754e+001dB,-1.53288581813571e+002°)
8.39590000000000e+008	(-1.12679539917109e+001dB,-1.56941705571526e+002°)
8.59580000000000e+008	(-1.12666671093989e+001dB,-1.60599339419861e+002°)
8.79570000000000e+008	(-1.12639321956930e+001dB,-1.64263001780220e+002°)
8.99560000000000e+008	(-1.12598677448883e+001dB,-1.67934156660082e+002°)
9.19550000000000e+008	(-1.12546425586769e+001dB,-1.71614133830130e+002°)
9.39540000000000e+008	(-1.12484966894797e+001dB,-1.75303900665629e+002°)
9.59530000000000e+008	(-1.12417662218121e+001dB,-1.79003078428653e+002°)
9.79520000000000e+008	(-1.12343652999435e+001dB,1.77294062274024e+002°)
9.99510000000000e+008	(-1.12231572528656e+001dB,1.73578763596783e+002°)
1.01950000000000e+009	(-1.12128594477721e+001dB,1.69825164460332e+002°)
1.03949000000000e+009	(-1.12043681409250e+001dB,1.66061417981489e+002°)
1.05948000000000e+009	(-1.11964704901732e+001dB,1.62286370135042e+002°)
1.07947000000000e+009	(-1.11893067444676e+001dB,1.58497827592007e+002°)
1.09946000000000e+009	(-1.11831992754724e+001dB,1.54695292477858e+002°)
1.11945000000000e+009	(-1.11784873059875e+001dB,1.50879035881893e+002°)
1.13944000000000e+009	(-1.11755059132398e+001dB,1.47049795471137e+002°)
1.15943000000000e+009	(-1.11745809012868e+001dB,1.43208682376033e+002°)
1.17942000000000e+009	(-1.11760252054548e+001dB,1.39357153346492e+002°)
1.19941000000000e+009	(-1.11801349098475e+001dB,1.35497008770619e+002°)
1.21940000000000e+009	(-1.11871842155473e+001dB,1.31630405746098e+002°)
1.23939000000000e+009	(-1.11974184189142e+001dB,1.27759882899698e+002°)
1.25938000000000e+009	(-1.12110434184645e+001dB,1.23888393313890e+002°)
1.27937000000000e+009	(-1.12282098237133e+001dB,1.20019336360816e+002°)
1.29936000000000e+009	(-1.12489898282100e+001dB,1.16156568824681e+002°)
1.31935000000000e+009	(-1.12733463155098e+001dB,1.12304362032446e+002°)
1.33934000000000e+009	(-1.13010969318214e+001dB,1.08467260703091e+002°)
1.35933000000000e+009	(-1.13318811805719e+001dB,1.04649802908633e+002°)
1.37932000000000e+009	(-1.13651442667070e+001dB,1.00856093749289e+002°)
1.39931000000000e+009	(-1.14001532768387e+001dB,9.70892926617040e+001°)
1.41930000000000e+009	(-1.14360544723817e+001dB,9.33511517858772e+001°)
1.43929000000000e+009	(-1.14719643637100e+001dB,8.96417762399716e+001°)
1.45928000000000e+009	(-1.15070695244790e+001dB,8.59597185967646e+001°)
1.47927000000000e+009	(-1.15407033119098e+001dB,8.23023831915358e+001°)
1.49926000000000e+009	(-1.15723780711733e+001dB,7.86665847393445e+001°)
1.51925000000000e+009	(-1.16017720889443e+001dB,7.50490650720886e+001°)
1.53924000000000e+009	(-1.16286876276089e+001dB,7.14468330196258e+001°)
1.55923000000000e+009	(-1.16530013177255e+001dB,6.78572957409653e+001°)
1.57922000000000e+009	(-1.16746227047272e+001dB,6.42782283712628e+001°)
1.59921000000000e+009	(-1.16934677268266e+001dB,6.07076567390695e+001°)
1.61920000000000e+009	(-1.17094468172971e+001dB,5.71437173820333e+001°)
1.63919000000000e+009	(-1.17224638939573e+001dB,5.35845339801185e+001°)
1.65918000000000e+009	(-1.17324219237742e+001dB,5.00281263386867e+001°)
1.67917000000000e+009	(-1.17392315938064e+001dB,4.64723532412668e+001°)
1.69916000000000e+009	(-1.17428208150641e+001dB,4.29148832974264e+001°)
1.71915000000000e+009	(-1.17431438175996e+001dB,3.93531855819021e+001°)
1.73914000000000e+009	(-1.17401893291843e+001dB,3.57845317957968e+001°)
1.75913000000000e+009	(-1.17339878197720e+001dB,3.22060020683479e+001°)
1.77912000000000e+009	(-1.17246181697531e+001dB,2.86144861510712e+001°)
