Freq.	V(n_3p)
2.00000000000000e+007	(-1.08157854099545e+001dB,-4.17496389054222e+000°)
3.99900000000000e+007	(-1.08366843323839e+001dB,-8.16018293773709e+000°)
5.99800000000000e+007	(-1.08507512051417e+001dB,-1.21195870764184e+001°)
7.99700000000000e+007	(-1.08631189898354e+001dB,-1.60749842420580e+001°)
9.99600000000000e+007	(-1.08755950449650e+001dB,-2.00246402579888e+001°)
1.19950000000000e+008	(-1.08885821916158e+001dB,-2.39653561689084e+001°)
1.39940000000000e+008	(-1.09019677176285e+001dB,-2.78949576171647e+001°)
1.59930000000000e+008	(-1.09154212394009e+001dB,-3.18123888052601e+001°)
1.79920000000000e+008	(-1.09285077548692e+001dB,-3.57176288660838e+001°)
1.99910000000000e+008	(-1.09407302548549e+001dB,-3.96116496270256e+001°)
2.19900000000000e+008	(-1.09515105172308e+001dB,-4.34965316107553e+001°)
2.39890000000000e+008	(-1.09600442367675e+001dB,-4.73765874521544e+001°)
2.59880000000000e+008	(-1.09652735274616e+001dB,-5.12659752480735e+001°)
2.79870000000000e+008	(-1.09712476786841e+001dB,-5.51977674541910e+001°)
2.99860000000000e+008	(-1.09848853079289e+001dB,-5.91133579884242e+001°)
3.19850000000000e+008	(-1.09958079340980e+001dB,-6.29990732163342e+001°)
3.39840000000000e+008	(-1.10046145790659e+001dB,-6.68918116507987e+001°)
3.59830000000000e+008	(-1.10134889683797e+001dB,-7.07942852328624e+001°)
3.79820000000000e+008	(-1.10233929336783e+001dB,-7.47030350331002e+001°)
3.99810000000000e+008	(-1.10347552960868e+001dB,-7.86141060022360e+001°)
4.19800000000000e+008	(-1.10477150380387e+001dB,-8.25237094505313e+001°)
4.39790000000000e+008	(-1.10622123993238e+001dB,-8.64284857539466e+001°)
4.59780000000000e+008	(-1.10780483191594e+001dB,-9.03256980436674e+001°)
4.79770000000000e+008	(-1.10949367978659e+001dB,-9.42133355501077e+001°)
4.99760000000000e+008	(-1.11125510290092e+001dB,-9.80901124547778e+001°)
5.19750000000000e+008	(-1.11305590694893e+001dB,-1.01955379938350e+002°)
5.39740000000000e+008	(-1.11486462388641e+001dB,-1.05808992340182e+002°)
5.59730000000000e+008	(-1.11665251440019e+001dB,-1.09651171839754e+002°)
5.79720000000000e+008	(-1.11839371276626e+001dB,-1.13482401511149e+002°)
5.99710000000000e+008	(-1.12006496253415e+001dB,-1.17303356184148e+002°)
6.19700000000000e+008	(-1.12164528471062e+001dB,-1.21114865560144e+002°)
6.39690000000000e+008	(-1.12311575868166e+001dB,-1.24917898049820e+002°)
6.59680000000000e+008	(-1.12445946687417e+001dB,-1.28713554396925e+002°)
6.79670000000000e+008	(-1.12566158279839e+001dB,-1.32503063461424e+002°)
6.99660000000000e+008	(-1.12670955702174e+001dB,-1.36287775924759e+002°)
7.19650000000000e+008	(-1.12759335609744e+001dB,-1.40069154113153e+002°)
7.39640000000000e+008	(-1.12830571973046e+001dB,-1.43848757546338e+002°)
7.59630000000000e+008	(-1.12884241324961e+001dB,-1.47628224496414e+002°)
