Freq.	V(n_3p)
Step Information: Cd=100f  (Run: 1/10)
2.00000000000000e+007	(-1.07774473790836e+001dB,-1.71181314750833e+000°)
3.99900000000000e+007	(-1.07825587894821e+001dB,-3.35640973532371e+000°)
5.99800000000000e+007	(-1.07861815279808e+001dB,-5.00509145936188e+000°)
7.99700000000000e+007	(-1.07902450598046e+001dB,-6.65466810549147e+000°)
9.99600000000000e+007	(-1.07951188269257e+001dB,-8.30121574747464e+000°)
1.19950000000000e+008	(-1.08006990314016e+001dB,-9.94191268014773e+000°)
1.39940000000000e+008	(-1.08066898972887e+001dB,-1.15751898177158e+001°)
1.59930000000000e+008	(-1.08127390421926e+001dB,-1.32006586630515e+001°)
1.79920000000000e+008	(-1.08185198567498e+001dB,-1.48188990755613e+001°)
1.99910000000000e+008	(-1.08237799557211e+001dB,-1.64311641783273e+001°)
2.19900000000000e+008	(-1.08283624098241e+001dB,-1.80390619532021e+001°)
2.39890000000000e+008	(-1.08322052438512e+001dB,-1.96442675938237e+001°)
2.59880000000000e+008	(-1.08353259350184e+001dB,-2.12483058611803e+001°)
2.79870000000000e+008	(-1.08377983767180e+001dB,-2.28524202814923e+001°)
2.99860000000000e+008	(-1.08397289091052e+001dB,-2.44575237979616e+001°)
3.19850000000000e+008	(-1.08412358993156e+001dB,-2.60642108225457e+001°)
3.39840000000000e+008	(-1.08424349351279e+001dB,-2.76728059079135e+001°)
3.59830000000000e+008	(-1.08434297705954e+001dB,-2.92834271973464e+001°)
3.79820000000000e+008	(-1.08443080435292e+001dB,-3.08960493676347e+001°)
3.99810000000000e+008	(-1.08451403881254e+001dB,-3.25105575888853e+001°)
4.19800000000000e+008	(-1.08459816347649e+001dB,-3.41267893003395e+001°)
4.39790000000000e+008	(-1.08468730709432e+001dB,-3.57445639099069e+001°)
4.59780000000000e+008	(-1.08478450607059e+001dB,-3.73637021772096e+001°)
4.79770000000000e+008	(-1.08489195976914e+001dB,-3.89840375766895e+001°)
4.99760000000000e+008	(-1.08501125707745e+001dB,-4.06054218508913e+001°)
5.19750000000000e+008	(-1.08514356546980e+001dB,-4.22277266020857e+001°)
5.39740000000000e+008	(-1.08528978164004e+001dB,-4.38508423395244e+001°)
5.59730000000000e+008	(-1.08545064679615e+001dB,-4.54746760032534e+001°)
5.79720000000000e+008	(-1.08562683132646e+001dB,-4.70991476634972e+001°)
5.99710000000000e+008	(-1.08581899377945e+001dB,-4.87241868532561e+001°)
6.19700000000000e+008	(-1.08602781861834e+001dB,-5.03497288219482e+001°)
6.39690000000000e+008	(-1.08625403643083e+001dB,-5.19757108859284e+001°)
6.59680000000000e+008	(-1.08649842943776e+001dB,-5.36020689839998e+001°)
6.79670000000000e+008	(-1.08676182438543e+001dB,-5.52287345111050e+001°)
6.99660000000000e+008	(-1.08704507430064e+001dB,-5.68556314921315e+001°)
7.19650000000000e+008	(-1.08734903017903e+001dB,-5.84826741629281e+001°)
7.39640000000000e+008	(-1.08767450349295e+001dB,-6.01097650411226e+001°)
7.59630000000000e+008	(-1.08802222046362e+001dB,-6.17367935894921e+001°)
7.79620000000000e+008	(-1.08839276935281e+001dB,-6.33636355936175e+001°)
7.99610000000000e+008	(-1.08878654257996e+001dB,-6.49901533869586e+001°)
8.19600000000000e+008	(-1.08920367622533e+001dB,-6.66161970534903e+001°)
8.39590000000000e+008	(-1.08964399035730e+001dB,-6.82416067139187e+001°)
8.59580000000000e+008	(-1.09010693449855e+001dB,-6.98662159508331e+001°)
8.79570000000000e+008	(-1.09059154324164e+001dB,-7.14898563485664e+001°)
8.99560000000000e+008	(-1.09109640733783e+001dB,-7.31123630175824e+001°)
9.19550000000000e+008	(-1.09161966530299e+001dB,-7.47335808499451e+001°)
9.39540000000000e+008	(-1.09215901956218e+001dB,-7.63533711279229e+001°)
9.59530000000000e+008	(-1.09271177934300e+001dB,-7.79716180036920e+001°)
9.79520000000000e+008	(-1.09327493004453e+001dB,-7.95882343080149e+001°)
9.99510000000000e+008	(-1.09384522594062e+001dB,-8.12031661497944e+001°)
1.01950000000000e+009	(-1.09441930025821e+001dB,-8.28163958470792e+001°)
1.03949000000000e+009	(-1.09499378439848e+001dB,-8.44279428797430e+001°)
1.05948000000000e+009	(-1.09556542678310e+001dB,-8.60378627555826e+001°)
1.07947000000000e+009	(-1.09613120178070e+001dB,-8.76462439034121e+001°)
1.09946000000000e+009	(-1.09668840042290e+001dB,-8.92532029120379e+001°)
1.11945000000000e+009	(-1.09723469691953e+001dB,-9.08588785893228e+001°)
1.13944000000000e+009	(-1.09776818789749e+001dB,-9.24634253987931e+001°)
1.15943000000000e+009	(-1.09828740430195e+001dB,-9.40670068359058e+001°)
1.17942000000000e+009	(-1.09879129853932e+001dB,-9.56697892411664e+001°)
1.19941000000000e+009	(-1.09927921137234e+001dB,-9.72719364329987e+001°)
1.21940000000000e+009	(-1.09975082414938e+001dB,-9.88736054049270e+001°)
1.23939000000000e+009	(-1.10020610218786e+001dB,-1.00474943193364e+002°)
1.25938000000000e+009	(-1.10064523469256e+001dB,-1.02076084902617e+002°)
1.27937000000000e+009	(-1.10106857569707e+001dB,-1.03677152783523e+002°)
1.29936000000000e+009	(-1.10147658940011e+001dB,-1.05278256204777e+002°)
1.31935000000000e+009	(-1.10186980212414e+001dB,-1.06879492329258e+002°)
1.33934000000000e+009	(-1.10224876208958e+001dB,-1.08480947305474e+002°)
1.35933000000000e+009	(-1.10261400735398e+001dB,-1.10082697799566e+002°)
1.37932000000000e+009	(-1.10296604163871e+001dB,-1.11684812718854e+002°)
1.39931000000000e+009	(-1.10330531734990e+001dB,-1.13287355008081e+002°)
1.41930000000000e+009	(-1.10363222486365e+001dB,-1.14890383429712e+002°)
1.43929000000000e+009	(-1.10394708705014e+001dB,-1.16493954267420e+002°)
1.45928000000000e+009	(-1.10425015801631e+001dB,-1.18098122915539e+002°)
1.47927000000000e+009	(-1.10454162511741e+001dB,-1.19702945336514e+002°)
1.49926000000000e+009	(-1.10482161339502e+001dB,-1.21308479383290e+002°)
1.51925000000000e+009	(-1.10509019172214e+001dB,-1.22914785994781e+002°)
1.53924000000000e+009	(-1.10534738006008e+001dB,-1.24521930280776e+002°)
1.55923000000000e+009	(-1.10559315734821e+001dB,-1.26129982518650e+002°)
1.57922000000000e+009	(-1.10582746965139e+001dB,-1.27739019088842e+002°)
1.59921000000000e+009	(-1.10605023827927e+001dB,-1.29349123379963e+002°)
1.61920000000000e+009	(-1.10626136766709e+001dB,-1.30960386698236e+002°)
1.63919000000000e+009	(-1.10646075287089e+001dB,-1.32572909220442e+002°)
1.65918000000000e+009	(-1.10664828658323e+001dB,-1.34186801035261e+002°)
1.67917000000000e+009	(-1.10682386562344e+001dB,-1.35802183325689e+002°)
1.69916000000000e+009	(-1.10698739690177e+001dB,-1.37419189755879e+002°)
1.71915000000000e+009	(-1.10713880290635e+001dB,-1.39037968140607e+002°)
1.73914000000000e+009	(-1.10727802682347e+001dB,-1.40658682496176e+002°)
1.75913000000000e+009	(-1.10740503748502e+001dB,-1.42281515600319e+002°)
1.77912000000000e+009	(-1.10751983446108e+001dB,-1.43906672228853e+002°)
1.79911000000000e+009	(-1.10762245380584e+001dB,-1.45534383293561e+002°)
1.81910000000000e+009	(-1.10771297526532e+001dB,-1.47164911186430e+002°)
1.83909000000000e+009	(-1.10779153223917e+001dB,-1.48798556751392e+002°)
1.85908000000000e+009	(-1.10785832657904e+001dB,-1.50435668473729e+002°)
1.87907000000000e+009	(-1.10791365161908e+001dB,-1.52076654727042e+002°)
1.89906000000000e+009	(-1.10795792905155e+001dB,-1.53722000292505e+002°)
1.91905000000000e+009	(-1.10799176908066e+001dB,-1.55372288937313e+002°)
1.93904000000000e+009	(-1.10801607000895e+001dB,-1.57028234728738e+002°)
1.95903000000000e+009	(-1.10803218553214e+001dB,-1.58690726169992e+002°)
1.97902000000000e+009	(-1.10804221048807e+001dB,-1.60360889524168e+002°)
1.99901000000000e+009	(-1.10804947877904e+001dB,-1.62040181456625e+002°)
2.01900000000000e+009	(-1.10805945232008e+001dB,-1.63730527464543e+002°)
2.03899000000000e+009	(-1.10808135536983e+001dB,-1.65434533412977e+002°)
2.05898000000000e+009	(-1.10813128700909e+001dB,-1.67155816213347e+002°)
2.07897000000000e+009	(-1.10823840241407e+001dB,-1.68899531452871e+002°)
2.09896000000000e+009	(-1.10845780838171e+001dB,-1.70673225242864e+002°)
2.11895000000000e+009	(-1.10889902802962e+001dB,-1.72488188173557e+002°)
2.13894000000000e+009	(-1.10979274698038e+001dB,-1.74361380142449e+002°)
2.15893000000000e+009	(-1.11165542270250e+001dB,-1.76316731152903e+002°)
2.17892000000000e+009	(-1.11568814192935e+001dB,-1.78376771476076e+002°)
2.19891000000000e+009	(-1.12442393294386e+001dB,1.79499777049085e+002°)
2.21890000000000e+009	(-1.14050980840576e+001dB,1.77588755778506e+002°)
2.23889000000000e+009	(-1.16341220546666e+001dB,1.76376651518143e+002°)
2.25888000000000e+009	(-1.17712012024788e+001dB,1.76696729006090e+002°)
2.27887000000000e+009	(-1.16192990348135e+001dB,1.76553986845514e+002°)
2.29886000000000e+009	(-1.14634456991093e+001dB,1.75187594039212e+002°)
2.31885000000000e+009	(-1.13701482550770e+001dB,1.73444532387617e+002°)
2.33884000000000e+009	(-1.13154460125090e+001dB,1.71632338498196e+002°)
2.35883000000000e+009	(-1.12819174207870e+001dB,1.69821441679811e+002°)
2.37882000000000e+009	(-1.12605848557914e+001dB,1.68024780238501e+002°)
2.39881000000000e+009	(-1.12467849036416e+001dB,1.66242042559837e+002°)
2.41880000000000e+009	(-1.12379603278329e+001dB,1.64470257877469e+002°)
2.43879000000000e+009	(-1.12326296525764e+001dB,1.62706371191904e+002°)
2.45878000000000e+009	(-1.12298939043334e+001dB,1.60947793976483e+002°)
2.47877000000000e+009	(-1.12291877952678e+001dB,1.59192434727596e+002°)
2.49876000000000e+009	(-1.12301473625555e+001dB,1.57438610961574e+002°)
2.51875000000000e+009	(-1.12325361632986e+001dB,1.55684950773300e+002°)
2.53874000000000e+009	(-1.12362025019381e+001dB,1.53930309860871e+002°)
2.55873000000000e+009	(-1.12410539427307e+001dB,1.52173706942029e+002°)
2.57872000000000e+009	(-1.12470419262816e+001dB,1.50414274800833e+002°)
2.59871000000000e+009	(-1.12541525942858e+001dB,1.48651223537776e+002°)
2.61870000000000e+009	(-1.12624016466669e+001dB,1.46883813260087e+002°)
2.63869000000000e+009	(-1.12718319950604e+001dB,1.45111334353932e+002°)
2.65868000000000e+009	(-1.12825135105603e+001dB,1.43333094351360e+002°)
2.67867000000000e+009	(-1.12945444767809e+001dB,1.41548411219581e+002°)
2.69866000000000e+009	(-1.13080545443068e+001dB,1.39756613710759e+002°)
2.71865000000000e+009	(-1.13232090841959e+001dB,1.37957050288080e+002°)
2.73864000000000e+009	(-1.13402148728777e+001dB,1.36149109160061e+002°)
