time	V(n_3p)
0.000000000000000e+000	0.000000e+000
1.953124965725918e-017	4.089948e-015
3.906249931451836e-017	8.178569e-015
7.812499862903672e-017	1.635316e-014
1.562499972580734e-016	3.268643e-014
3.124999945161469e-016	6.528939e-014
6.249999890322938e-016	1.302414e-013
1.249999978064588e-015	2.591331e-013
2.499999956129175e-015	5.128932e-013
4.999999912258350e-015	1.004528e-012
9.999999824516700e-015	1.925893e-012
1.999999964903340e-014	3.533691e-012
3.999999929806680e-014	5.904905e-012
7.999999859613360e-014	7.942260e-012
1.599999971922672e-013	5.365453e-012
3.199999943845344e-013	-6.710035e-012
6.399999887690688e-013	-1.074589e-011
1.279999977538138e-012	1.575694e-011
2.118904779660335e-012	-4.247212e-012
3.026810918367914e-012	-1.766068e-011
4.009801527918342e-012	2.376459e-011
5.270002533758624e-012	-1.088814e-012
6.593696722374912e-012	-3.039913e-011
7.889336899885739e-012	2.533172e-011
9.234898540390306e-012	2.545896e-011
1.072965415301110e-011	-4.406286e-011
1.198973581238835e-011	-2.510135e-011
1.306958479258413e-011	4.455104e-011
1.418218976665500e-011	6.021630e-011
1.535948115131472e-011	-1.421393e-011
1.666250173095660e-011	-8.713969e-011
1.787046056100778e-011	-4.547282e-011
1.942407128887721e-011	8.740623e-011
2.131174532666928e-011	8.614182e-011
2.316523496480467e-011	-9.828027e-011
2.511835996480467e-011	-1.405686e-010
2.707148496480467e-011	8.675158e-011
2.902460996480468e-011	2.218862e-010
3.097773496480468e-011	-2.366222e-012
3.274540555417031e-011	-2.843769e-010
3.449691118898354e-011	-2.491089e-010
3.594680614474211e-011	6.447080e-011
3.722234189023049e-011	3.719844e-010
3.864633666719616e-011	4.760332e-010
4.000000000000000e-011	2.294936e-010
4.012244252388508e-011	1.863615e-010
4.036732757165525e-011	1.101602e-010
4.085709766719560e-011	-7.038928e-011
4.156273683835473e-011	-3.621611e-010
4.297401518067300e-011	-6.992738e-010
4.471666784024020e-011	-6.018134e-010
4.649915346683062e-011	1.745909e-010
4.845227846683062e-011	1.036181e-009
5.040540346683062e-011	9.624656e-010
5.235852846683061e-011	-4.298026e-011
5.417444887725838e-011	-1.299437e-009
5.581546556455763e-011	-1.807040e-009
5.752760825402500e-011	-1.025748e-009
5.881435370929338e-011	2.119082e-010
5.992919331314812e-011	1.324163e-009
6.106676975030060e-011	2.202432e-009
6.226978074255396e-011	2.636837e-009
6.341561714737870e-011	2.410883e-009
6.470308469565599e-011	1.300374e-009
