time	V(n_3p)
0.000000000000000e+000	0.000000e+000
5.192973791062864e-011	-1.663338e-006
1.038594758212573e-010	-2.217772e-006
1.557892137318859e-010	-1.663303e-006
2.077189516425146e-010	6.863901e-011
2.596486895531432e-010	2.772344e-006
3.115784274637718e-010	6.653522e-006
3.635081653744004e-010	1.164360e-005
3.684187518125414e-010	9.863043e-006
3.733293382506824e-010	7.599640e-006
3.782399246888235e-010	4.853394e-006
3.831505111269645e-010	1.624304e-006
3.880610975651056e-010	-2.087630e-006
3.929716840032466e-010	-6.282407e-006
3.978822704413876e-010	-1.096003e-005
4.012066896265370e-010	-1.117651e-005
4.045311088116864e-010	-1.218406e-005
4.078555279968358e-010	-1.398268e-005
4.111799471819851e-010	-1.657235e-005
4.145043663671345e-010	-1.995309e-005
4.178287855522839e-010	-2.412489e-005
4.211532047374333e-010	-2.908775e-005
4.240083103412381e-010	-2.877100e-005
4.268634159450429e-010	-2.859341e-005
4.297185215488477e-010	-2.855497e-005
4.325736271526526e-010	-2.865570e-005
4.354287327564573e-010	-2.889558e-005
4.382838383602621e-010	-2.927462e-005
4.411389439640670e-010	-2.979281e-005
4.439720660921650e-010	-3.219887e-005
4.468051882202630e-010	-3.315619e-005
4.496383103483610e-010	-3.266477e-005
4.524714324764591e-010	-3.072462e-005
4.553045546045571e-010	-2.733572e-005
4.581376767326551e-010	-2.249810e-005
4.609707988607531e-010	-1.621173e-005
4.641557362774968e-010	-2.094447e-005
4.673406736942405e-010	-2.328200e-005
4.705256111109841e-010	-2.322431e-005
4.737105485277278e-010	-2.077141e-005
4.768954859444715e-010	-1.592330e-005
4.800804233612152e-010	-8.679973e-006
4.832653607779589e-010	9.585666e-007
4.852929263712158e-010	-4.543476e-006
4.873204919644727e-010	-8.385642e-006
4.893480575577297e-010	-1.056793e-005
4.913756231509866e-010	-1.109034e-005
4.934031887442436e-010	-9.952879e-006
4.954307543375005e-010	-7.155538e-006
4.974583199307575e-010	-2.698320e-006
5.001458778043933e-010	1.084207e-005
5.028334356780291e-010	2.768285e-005
5.055209935516650e-010	4.782402e-005
5.082085514253008e-010	7.126559e-005
5.108961092989366e-010	9.800756e-005
5.135836671725724e-010	1.280499e-004
5.162712250462083e-010	1.613927e-004
5.180092610054234e-010	1.985149e-004
5.197472969646387e-010	2.430467e-004
5.214853329238538e-010	2.949879e-004
5.232233688830691e-010	3.543387e-004
