time	V(n_3p)
0.000000000000000e+000	0.000000e+000
5.177675933883144e-011	-1.603888e-006
1.035535186776629e-010	-2.136283e-006
1.553302780164943e-010	-1.597182e-006
2.071070373553258e-010	1.341241e-008
2.588837966941572e-010	2.695501e-006
3.106605560329887e-010	6.449085e-006
3.624373153718199e-010	1.127416e-005
3.673581579780886e-010	9.656263e-006
3.722790005843573e-010	7.573589e-006
3.771998431906259e-010	5.026142e-006
3.821206857968946e-010	2.013922e-006
3.870415284031632e-010	-1.463072e-006
3.919623710094319e-010	-5.404839e-006
3.968832136157006e-010	-9.811380e-006
4.000532542948854e-010	-1.080895e-005
4.032232949740703e-010	-1.222632e-005
4.063933356532551e-010	-1.406349e-005
4.095633763324400e-010	-1.632045e-005
4.127334170116249e-010	-1.899721e-005
4.159034576908097e-010	-2.209376e-005
4.190734983699946e-010	-2.561011e-005
4.219237784687944e-010	-2.786682e-005
4.247740585675942e-010	-2.942677e-005
4.276243386663941e-010	-3.028994e-005
4.304746187651939e-010	-3.045634e-005
4.333248988639938e-010	-2.992598e-005
4.361751789627936e-010	-2.869884e-005
4.390254590615934e-010	-2.677493e-005
4.421747842105128e-010	-3.065463e-005
4.453241093594321e-010	-3.272769e-005
4.484734345083515e-010	-3.299410e-005
4.516227596572708e-010	-3.145387e-005
4.547720848061901e-010	-2.810701e-005
4.579214099551095e-010	-2.295350e-005
4.610707351040288e-010	-1.599334e-005
4.642626724750359e-010	-2.055303e-005
4.674546098460429e-010	-2.276919e-005
4.706465472170500e-010	-2.264181e-005
4.738384845880570e-010	-2.017089e-005
4.770304219590640e-010	-1.535644e-005
4.802223593300711e-010	-8.198458e-006
4.834142967010781e-010	1.303064e-006
4.854409726349887e-010	-4.826900e-006
4.874676485688992e-010	-9.021659e-006
4.894943245028098e-010	-1.128121e-005
4.915210004367203e-010	-1.160556e-005
4.935476763706309e-010	-9.994711e-006
4.955743523045414e-010	-6.448653e-006
4.976010282384520e-010	-9.673911e-007
5.002948169527401e-010	1.236588e-005
5.029886056670281e-010	2.939418e-005
5.056823943813162e-010	5.011750e-005
5.083761830956042e-010	7.453585e-005
5.110699718098923e-010	1.026492e-004
5.137637605241803e-010	1.344576e-004
5.164575492384684e-010	1.699610e-004
5.181884542223391e-010	2.095097e-004
5.199193592062097e-010	2.563697e-004
5.216502641900804e-010	3.105409e-004
5.233811691739511e-010	3.720234e-004
5.251120741578218e-010	4.408172e-004
5.268429791416924e-010	5.169223e-004
5.285738841255631e-010	6.003386e-004
5.318855857692824e-010	8.008896e-004
5.341311339284719e-010	9.906384e-004
5.363544335214973e-010	1.251215e-003
5.374571445132108e-010	1.417300e-003
5.385821029183727e-010	1.618006e-003
5.397040634098188e-010	1.854437e-003
5.408141696940426e-010	2.128800e-003
5.419229230287411e-010	2.447661e-003
5.430228985857715e-010	2.812715e-003
5.441242378725513e-010	3.231035e-003
5.452364975689689e-010	3.711095e-003
5.463563526562236e-010	4.256558e-003
5.474526710725305e-010	4.854075e-003
5.485563163352656e-010	5.521782e-003
5.496472709146872e-010	6.249306e-003
5.507502956684189e-010	7.054934e-003
5.518572792187062e-010	7.935707e-003
5.529772191780955e-010	8.901519e-003
5.540679780021386e-010	9.915082e-003
5.551659246989391e-010	1.100832e-002
5.562398984917705e-010	1.214855e-002
5.573281568477985e-010	1.337516e-002
5.584285308228066e-010	1.468775e-002
5.595460315141259e-010	1.609432e-002
5.606661670772562e-010	1.757740e-002
5.617652615075480e-010	1.910240e-002
5.628690582777170e-010	2.070176e-002
5.650828716855571e-010	2.410593e-002
5.683905808878342e-010	2.964205e-002
5.696558288067372e-010	3.190015e-002
5.709210767256403e-010	3.420876e-002
5.721863246445433e-010	3.656789e-002
5.734515725634463e-010	3.897753e-002
5.747168204823492e-010	4.143769e-002
5.759820684012523e-010	4.394836e-002
5.772473163201553e-010	4.650955e-002
5.794977758773697e-010	5.112637e-002
5.817077239847481e-010	5.574527e-002
5.850441808198342e-010	6.283104e-002
5.864575942614031e-010	6.589361e-002
5.878710077029720e-010	6.891969e-002
5.892844211445409e-010	7.190926e-002
5.906978345861099e-010	7.486232e-002
5.921112480276787e-010	7.777888e-002
5.935246614692476e-010	8.065893e-002
5.949380749108165e-010	8.350248e-002
5.982896775043540e-010	8.967699e-002
6.015719239392210e-010	9.485989e-002
6.049258889760188e-010	9.903283e-002
6.082763726105590e-010	1.019491e-001
6.098571845254626e-010	1.028263e-001
6.114379964403662e-010	1.035145e-001
6.130188083552697e-010	1.040138e-001
6.145996202701734e-010	1.043241e-001
6.161804321850770e-010	1.044455e-001
6.177612440999806e-010	1.043779e-001
6.193420560148841e-010	1.041213e-001
6.226431905414145e-010	1.034877e-001
6.259467388812476e-010	1.026685e-001
6.293087621725051e-010	1.017640e-001
6.326425869108864e-010	1.008377e-001
6.360072156318080e-010	9.985502e-002
6.393079241867507e-010	9.877991e-002
6.427336181181691e-010	9.742932e-002
6.460230688327240e-010	9.574464e-002
6.473029004196148e-010	9.496953e-002
6.485827320065055e-010	9.406844e-002
6.498625635933962e-010	9.304137e-002
6.511423951802869e-010	9.188831e-002
6.524222267671777e-010	9.060926e-002
6.537020583540684e-010	8.920423e-002
6.549818899409592e-010	8.767321e-002
6.571856100453006e-010	8.464988e-002
6.593554313682411e-010	8.124648e-002
6.604818816308879e-010	7.932116e-002
6.616091143669434e-010	7.729381e-002
6.627067177799842e-010	7.523021e-002
6.649056788299945e-010	7.086374e-002
6.671351975671524e-010	6.618428e-002
6.704684750662389e-010	5.889257e-002
6.717339662160741e-010	5.604623e-002
6.729994573659093e-010	5.323176e-002
6.742649485157446e-010	5.044916e-002
6.755304396655797e-010	4.769843e-002
6.767959308154150e-010	4.497957e-002
6.780614219652502e-010	4.229258e-002
6.793269131150854e-010	3.963746e-002
6.815244908685993e-010	3.528981e-002
6.837184032902057e-010	3.128031e-002
6.859429909512674e-010	2.764558e-002
6.881888359091922e-010	2.451214e-002
6.892844592617495e-010	2.320560e-002
6.903991961944674e-010	2.203766e-002
6.914983562929273e-010	2.105178e-002
6.926033519465933e-010	2.023063e-002
6.937118572947210e-010	1.957944e-002
6.948224222055910e-010	1.909865e-002
6.959075732499972e-010	1.879005e-002
6.970114409029815e-010	1.863148e-002
6.981383260304633e-010	1.861938e-002
7.003391534493206e-010	1.897128e-002
7.014425333652064e-010	1.929767e-002
7.025448977169438e-010	1.969591e-002
7.036383722882950e-010	2.014000e-002
7.047665737941161e-010	2.062535e-002
7.058896280809980e-010	2.111195e-002
7.069866889870589e-010	2.156835e-002
7.080871006589829e-010	2.198679e-002
7.091825998968832e-010	2.234616e-002
7.102870115287179e-010	2.263490e-002
7.113922314020040e-010	2.283713e-002
7.125125312235923e-010	2.294369e-002
7.136337802776548e-010	2.294464e-002
7.147310393978577e-010	2.284023e-002
7.158375441350504e-010	2.262964e-002
7.169353991065734e-010	2.231917e-002
7.180359351697034e-010	2.191184e-002
7.191385380096715e-010	2.141458e-002
7.202463962337074e-010	2.083392e-002
7.213459717081774e-010	2.018691e-002
7.235869043723793e-010	1.869189e-002
7.248562595506862e-010	1.774382e-002
7.261256147289930e-010	1.677691e-002
7.273949699072998e-010	1.579117e-002
7.286643250856067e-010	1.478658e-002
7.299336802639135e-010	1.376315e-002
7.312030354422203e-010	1.272089e-002
7.324723906205271e-010	1.165978e-002
7.357513487964826e-010	8.980050e-003
7.379597103144515e-010	7.224716e-003
7.401743320861176e-010	5.553405e-003
7.412776635212880e-010	4.772675e-003
7.423792087093809e-010	4.039758e-003
7.434759288042357e-010	3.366318e-003
7.445757079984996e-010	2.758023e-003
7.456808766571835e-010	2.225327e-003
7.467872289756123e-010	1.781835e-003
7.478873673202645e-010	1.440128e-003
7.490026205502077e-010	1.204275e-003
7.501353801037216e-010	1.087016e-003
7.512316944423757e-010	1.097123e-003
7.523340024724649e-010	1.234079e-003
7.534348189080944e-010	1.499658e-003
7.545425672592697e-010	1.896446e-003
7.556508434467601e-010	2.420629e-003
7.567716109784580e-010	3.074750e-003
7.579048546994593e-010	3.855025e-003
7.590051160346071e-010	4.717296e-003
7.601224380852425e-010	5.686739e-003
7.612210812831763e-010	6.719315e-003
7.634246846658246e-010	8.970419e-003
7.656314543336796e-010	1.136378e-002
7.678473454940097e-010	1.378132e-002
7.711417251231042e-010	1.714487e-002
7.733432650781144e-010	1.908826e-002
7.755779607642283e-010	2.071137e-002
7.778058557962249e-010	2.191672e-002
7.800112833367756e-010	2.266628e-002
7.822211571802349e-010	2.296257e-002
7.844553802134011e-010	2.281407e-002
7.866786487856087e-010	2.226048e-002
7.888767260265997e-010	2.137941e-002
7.922022789062232e-010	1.960135e-002
7.933069882185272e-010	1.891519e-002
7.944116975308314e-010	1.823859e-002
7.955164068431355e-010	1.757154e-002
7.966211161554396e-010	1.691405e-002
7.977258254677437e-010	1.626611e-002
7.988305347800478e-010	1.562773e-002
7.999352440923519e-010	1.499890e-002
8.021927518198277e-010	1.386888e-002
8.043893744743050e-010	1.292715e-002
8.065840293970246e-010	1.213993e-002
8.088045742076175e-010	1.148235e-002
8.121635948770813e-010	1.069767e-002
8.140645111999915e-010	1.035926e-002
8.159654275229018e-010	1.005061e-002
8.178663438458121e-010	9.771730e-003
8.197672601687225e-010	9.522616e-003
8.216681764916327e-010	9.303270e-003
8.235690928145430e-010	9.113690e-003
8.254700091374533e-010	8.953878e-003
8.287856219081691e-010	8.520611e-003
8.309792005805484e-010	8.067434e-003
8.320741510337148e-010	7.763848e-003
8.331688408381502e-010	7.396766e-003
8.342662659655183e-010	6.956837e-003
8.353843648607170e-010	6.427444e-003
8.364847047511942e-010	5.821227e-003
8.375647021566044e-010	5.140920e-003
8.386754849128729e-010	4.352270e-003
8.398088336887892e-010	3.456504e-003
8.409084787042461e-010	2.503867e-003
8.420172576086408e-010	1.467200e-003
8.431077207261882e-010	3.823632e-004
8.442141492136612e-010	-7.728640e-004
8.464465220414858e-010	-3.214282e-003
8.497688908433624e-010	-6.885101e-003
8.519742233676624e-010	-9.163116e-003
8.531014468599442e-010	-1.023531e-002
8.542196799029549e-010	-1.122179e-002
8.553421324860725e-010	-1.212548e-002
8.564426216041303e-010	-1.292056e-002
