time	V(n_3p)
0.000000000000000e+000	0.000000e+000
6.101043504999651e-011	-1.564733e-006
1.220208700999930e-010	-2.101815e-006
1.830313051499895e-010	-1.611244e-006
2.440417401999860e-010	-9.302290e-008
3.050521752499825e-010	2.452850e-006
3.660626102999790e-010	6.026375e-006
4.270730453499754e-010	1.062755e-005
4.347518702458913e-010	6.944585e-006
4.424306951418071e-010	2.905610e-006
4.501095200377228e-010	-1.489372e-006
4.577883449336387e-010	-6.240363e-006
4.654671698295545e-010	-1.134736e-005
4.731459947254702e-010	-1.681037e-005
4.808248196213861e-010	-2.262938e-005
4.843086982219620e-010	-2.345906e-005
4.877925768225379e-010	-2.439118e-005
4.912764554231139e-010	-2.542574e-005
4.947603340236898e-010	-2.656275e-005
4.982442126242657e-010	-2.780220e-005
5.017280912248417e-010	-2.914409e-005
5.052119698254176e-010	-3.058843e-005
5.082265732826588e-010	-2.847911e-005
5.112411767398998e-010	-2.658039e-005
5.142557801971410e-010	-2.489228e-005
5.172703836543822e-010	-2.341477e-005
5.202849871116233e-010	-2.214787e-005
5.232995905688644e-010	-2.109157e-005
5.263141940261056e-010	-2.024587e-005
5.290082347692792e-010	-2.170433e-005
5.317022755124527e-010	-2.184181e-005
5.343963162556263e-010	-2.065830e-005
5.370903569987998e-010	-1.815380e-005
5.397843977419735e-010	-1.432831e-005
5.424784384851470e-010	-9.181837e-006
5.451724792283206e-010	-2.714373e-006
5.484857726500433e-010	-9.326428e-006
5.517990660717659e-010	-9.574192e-006
5.551123594934886e-010	-3.457665e-006
5.584256529152113e-010	9.023154e-006
5.617389463369340e-010	2.786826e-005
5.650522397586566e-010	5.307766e-005
5.683655331803793e-010	8.465136e-005
5.704213710276593e-010	9.958522e-005
5.724772088749392e-010	1.223979e-004
5.745330467222192e-010	1.530894e-004
5.765888845694992e-010	1.916597e-004
5.786447224167792e-010	2.381089e-004
5.807005602640591e-010	2.924368e-004
5.827563981113391e-010	3.546436e-004
5.843408322849039e-010	4.094224e-004
5.859252664584686e-010	4.751604e-004
5.875097006320334e-010	5.518575e-004
5.890941348055981e-010	6.395138e-004
5.906785689791629e-010	7.381292e-004
5.922630031527276e-010	8.477038e-004
5.938474373262924e-010	9.682376e-004
5.960625660572394e-010	1.191970e-003
5.982572710191895e-010	1.486461e-003
5.993498901386737e-010	1.668399e-003
6.004510439728200e-010	1.880408e-003
6.015498634303014e-010	2.124444e-003
6.026674479052073e-010	2.409901e-003
6.037944549412147e-010	2.739826e-003
6.049074368169118e-010	3.110930e-003
6.060168876532780e-010	3.529244e-003
6.071607773465842e-010	4.014642e-003
6.082634012449916e-010	4.537529e-003
6.093821669277669e-010	5.125996e-003
6.104905838004428e-010	5.768869e-003
6.115977990236655e-010	6.472476e-003
6.126998068729625e-010	7.235324e-003
6.138286779903434e-010	8.082783e-003
6.149503699372455e-010	8.992010e-003
6.160585476920890e-010	9.956693e-003
6.171579890881264e-010	1.097939e-002
6.182619389241315e-010	1.207216e-002
6.193550865737719e-010	1.321921e-002
6.204593282729918e-010	1.444319e-002
6.215621801624138e-010	1.573057e-002
6.226550427754078e-010	1.706953e-002
6.237490012137355e-010	1.847188e-002
6.259403027450921e-010	2.146241e-002
6.292373254293471e-010	2.639192e-002
6.325628771275565e-010	3.183204e-002
6.359000148949722e-010	3.768734e-002
6.392034137275841e-010	4.379405e-002
6.425169154441518e-010	5.015260e-002
6.458258319508670e-010	5.666005e-002
6.473999394182670e-010	5.983247e-002
6.489740468856670e-010	6.296629e-002
6.505481543530671e-010	6.606152e-002
6.521222618204671e-010	6.911816e-002
6.536963692878672e-010	7.213620e-002
6.552704767552671e-010	7.511565e-002
6.568445842226672e-010	7.805651e-002
6.601557373756626e-010	8.371370e-002
6.634596815220323e-010	8.859882e-002
6.667924300500566e-010	9.257033e-002
6.685394627739485e-010	9.418240e-002
6.702864954978402e-010	9.555115e-002
6.720335282217320e-010	9.667658e-002
6.737805609456238e-010	9.755868e-002
6.755275936695156e-010	9.819746e-002
6.772746263934074e-010	9.859292e-002
6.790216591172992e-010	9.874505e-002
6.812251769920144e-010	9.874116e-002
6.834286948667296e-010	9.864093e-002
6.856322127414448e-010	9.844434e-002
6.878357306161600e-010	9.815140e-002
6.900392484908753e-010	9.776211e-002
6.922427663655904e-010	9.727646e-002
6.944462842403057e-010	9.669447e-002
6.977483141603889e-010	9.579304e-002
7.010905529378987e-010	9.472945e-002
7.044128004516788e-010	9.345569e-002
7.077254384815173e-010	9.185784e-002
