time	V(n_3p)
0.000000000000000e+000	0.000000e+000
4.008025280032098e-011	-1.212337e-006
8.016050560064196e-011	-1.672134e-006
1.202407584009630e-010	-1.379391e-006
1.603210112012839e-010	-3.341070e-007
2.004012640016049e-010	1.463717e-006
2.404815168019259e-010	4.014082e-006
2.805617696022468e-010	7.316987e-006
2.854263550098424e-010	8.734234e-006
2.902909404174379e-010	9.880627e-006
2.951555258250335e-010	1.075617e-005
3.000201112326291e-010	1.136085e-005
3.048846966402247e-010	1.169468e-005
3.097492820478203e-010	1.175766e-005
3.146138674554159e-010	1.154978e-005
3.181015684784423e-010	8.090411e-006
3.215892695014688e-010	5.266088e-006
3.250769705244953e-010	3.076812e-006
3.285646715475218e-010	1.522581e-006
3.320523725705482e-010	6.033968e-007
3.355400735935747e-010	3.192588e-007
3.390277746166012e-010	6.701670e-007
3.420345799952937e-010	-4.732582e-006
3.450413853739864e-010	-9.136177e-006
3.480481907526790e-010	-1.254062e-005
3.510549961313716e-010	-1.494591e-005
3.540618015100642e-010	-1.635204e-005
3.570686068887568e-010	-1.675902e-005
3.600754122674494e-010	-1.616684e-005
3.627699811699694e-010	-1.894866e-005
3.654645500724893e-010	-2.162993e-005
3.681591189750092e-010	-2.421065e-005
3.708536878775291e-010	-2.669084e-005
3.735482567800490e-010	-2.907048e-005
3.762428256825689e-010	-3.134958e-005
3.789373945850889e-010	-3.352814e-005
3.819327239680460e-010	-2.990640e-005
3.849280533510031e-010	-2.755679e-005
3.879233827339602e-010	-2.647931e-005
3.909187121169173e-010	-2.667396e-005
3.939140414998745e-010	-2.814074e-005
3.969093708828316e-010	-3.087965e-005
3.999047002657887e-010	-3.489069e-005
4.021061782542528e-010	-2.778075e-005
4.043076562427168e-010	-2.211818e-005
4.065091342311809e-010	-1.790296e-005
4.087106122196449e-010	-1.513511e-005
4.109120902081089e-010	-1.381461e-005
4.131135681965730e-010	-1.394146e-005
4.153150461850370e-010	-1.551568e-005
4.179762124339727e-010	-1.841186e-005
4.206373786829085e-010	-1.936233e-005
4.232985449318442e-010	-1.836711e-005
4.259597111807799e-010	-1.542619e-005
4.286208774297156e-010	-1.053958e-005
4.312820436786513e-010	-3.707266e-006
4.339432099275870e-010	5.070744e-006
4.358318772050365e-010	-1.094286e-007
4.377205444824859e-010	-4.373379e-006
4.396092117599353e-010	-7.721106e-006
4.414978790373848e-010	-1.015261e-005
4.433865463148342e-010	-1.166789e-005
4.452752135922836e-010	-1.226695e-005
4.471638808697331e-010	-1.194979e-005
4.489061942316162e-010	-2.969591e-006
4.506485075934992e-010	6.428314e-006
4.523908209553824e-010	1.624392e-005
4.541331343172655e-010	2.647724e-005
4.558754476791486e-010	3.712825e-005
4.576177610410316e-010	4.819697e-005
4.593600744029148e-010	5.968340e-005
4.609403027176304e-010	6.639871e-005
4.625205310323460e-010	7.774458e-005
4.641007593470616e-010	9.372099e-005
4.656809876617773e-010	1.143280e-004
4.672612159764930e-010	1.395655e-004
4.688414442912085e-010	1.694335e-004
4.704216726059242e-010	2.039322e-004
4.720050288261815e-010	2.461622e-004
4.735883850464387e-010	2.935837e-004
4.751717412666960e-010	3.461969e-004
4.767550974869532e-010	4.040016e-004
4.783384537072106e-010	4.669978e-004
4.799218099274678e-010	5.351856e-004
4.815051661477251e-010	6.085650e-004
4.837190589051619e-010	7.429709e-004
4.859204053189807e-010	9.302648e-004
4.870430725853062e-010	1.056456e-003
4.881504292814686e-010	1.207512e-003
4.892512925917146e-010	1.388994e-003
4.903563558303021e-010	1.607946e-003
4.914591041461347e-010	1.868647e-003
4.925583858359622e-010	2.175947e-003
4.936650927855381e-010	2.538546e-003
4.947461181288536e-010	2.949234e-003
4.958697268257528e-010	3.440240e-003
4.969789723245697e-010	3.993547e-003
4.980675010887119e-010	4.606630e-003
4.991582298678754e-010	5.293919e-003
5.002589100495608e-010	6.064313e-003
5.013726425798903e-010	6.924703e-003
5.024757003222673e-010	7.858738e-003
5.035751583505306e-010	8.871995e-003
5.046833474983778e-010	9.977081e-003
5.057753503189155e-010	1.114849e-002
5.068761282838815e-010	1.241190e-002
5.079829296824256e-010	1.376517e-002
5.090994138782505e-010	1.521350e-002
5.101853177945108e-010	1.670102e-002
5.112914248552249e-010	1.829446e-002
5.123643247901987e-010	1.991368e-002
5.134706035236731e-010	2.165695e-002
5.156714043705040e-010	2.533729e-002
5.189780617986737e-010	3.135421e-002
5.202360019675791e-010	3.379361e-002
5.214939421364844e-010	3.628859e-002
5.227518823053898e-010	3.883915e-002
5.240098224742951e-010	4.144529e-002
5.252677626432005e-010	4.410701e-002
