time	V(n_3p)
0.000000000000000e+000	0.000000e+000
4.497521144399313e-011	-5.866016e-007
8.995042288798627e-011	-6.128187e-007
1.349256343319794e-010	-7.865139e-008
1.799008457759725e-010	1.015900e-006
2.248760572199657e-010	2.670837e-006
2.698512686639588e-010	4.886157e-006
3.148264801079519e-010	7.661863e-006
3.239497686996627e-010	-4.118716e-006
3.330730572913735e-010	-1.447151e-005
3.421963458830843e-010	-2.339653e-005
3.513196344747951e-010	-3.089376e-005
3.604429230665059e-010	-3.696321e-005
3.695662116582167e-010	-4.160488e-005
3.786895002499275e-010	-4.481877e-005
3.858866610458312e-010	-3.452967e-005
3.930838218417349e-010	-2.480264e-005
4.002809826376385e-010	-1.563768e-005
4.074781434335422e-010	-7.034778e-006
4.146753042294458e-010	1.006056e-006
4.218724650253495e-010	8.484824e-006
4.290696258212531e-010	1.540153e-005
4.341845802166376e-010	1.821518e-005
4.392995346120221e-010	1.506308e-005
4.444144890074066e-010	5.945241e-006
4.495294434027911e-010	-9.138347e-006
4.546443977981755e-010	-3.018768e-005
4.597593521935600e-010	-5.720276e-005
4.648743065889445e-010	-9.018359e-005
4.667900566385075e-010	-1.177186e-004
4.687058066880704e-010	-1.433085e-004
4.706215567376335e-010	-1.669533e-004
4.725373067871964e-010	-1.886530e-004
4.744530568367594e-010	-2.084076e-004
4.763688068863224e-010	-2.262171e-004
4.782845569358854e-010	-2.420815e-004
4.805332971826091e-010	-2.205837e-004
4.827736800403828e-010	-1.486141e-004
4.839173188253260e-010	-8.367908e-005
4.850447916039667e-010	4.793886e-006
4.861934692100988e-010	1.253165e-004
4.873064342211279e-010	2.771627e-004
4.884241342469517e-010	4.709769e-004
4.895332065909913e-010	7.113797e-004
4.906639495033554e-010	1.013997e-003
4.917941287481428e-010	1.383508e-003
4.929351700973356e-010	1.834582e-003
4.940462024144899e-010	2.359287e-003
4.951587319477516e-010	2.979872e-003
4.963096367140853e-010	3.733773e-003
4.974289751743194e-010	4.587674e-003
4.985613756720730e-010	5.584533e-003
4.996929633626411e-010	6.725972e-003
5.008237827058379e-010	8.023127e-003
5.019467579483480e-010	9.476792e-003
5.030844499667346e-010	1.112785e-002
5.042054715576030e-010	1.293921e-002
5.053498043253510e-010	1.498521e-002
5.064689273758443e-010	1.718501e-002
5.075884834718712e-010	1.958736e-002
5.087179304045668e-010	2.221866e-002
5.098464030025162e-010	2.505769e-002
5.109849097142127e-010	2.813448e-002
5.121345906072175e-010	3.145600e-002
5.132486662185690e-010	3.487656e-002
5.143596714589616e-010	3.848017e-002
5.154991595258866e-010	4.236851e-002
5.166317164037041e-010	4.641721e-002
5.177617507953106e-010	5.062920e-002
5.189066919358823e-010	5.506001e-002
5.211503542487383e-010	6.416555e-002
5.222737272311577e-010	6.895208e-002
5.233971002135773e-010	7.379159e-002
5.245204731959968e-010	7.868410e-002
5.256438461784162e-010	8.362960e-002
5.267672191608357e-010	8.862809e-002
5.278905921432552e-010	9.367957e-002
5.290139651256747e-010	9.878404e-002
5.324058799167572e-010	1.138502e-001
5.346285023670534e-010	1.233322e-001
5.368782612744583e-010	1.323899e-001
5.391335757795266e-010	1.407242e-001
5.414011777023461e-010	1.481478e-001
5.436886978156741e-010	1.544658e-001
5.459278205155541e-010	1.593353e-001
5.481903338816289e-010	1.627845e-001
5.504606679500717e-010	1.646464e-001
5.537976547466582e-010	1.643484e-001
5.571912185798591e-010	1.603655e-001
5.605481957604737e-010	1.530575e-001
5.639397650565095e-010	1.428203e-001
5.653868857679396e-010	1.375950e-001
5.668340064793698e-010	1.322114e-001
5.682811271907999e-010	1.266692e-001
5.697282479022300e-010	1.209687e-001
5.711753686136601e-010	1.151097e-001
5.726224893250903e-010	1.090924e-001
5.740696100365204e-010	1.029165e-001
5.763317267105642e-010	9.361690e-002
5.785661180073944e-010	8.470260e-002
5.808183366488576e-010	7.611293e-002
5.819453058970492e-010	7.199198e-002
5.830782980040076e-010	6.797896e-002
5.841883514018581e-010	6.417919e-002
5.853185977765948e-010	6.044890e-002
5.864526117963544e-010	5.684996e-002
5.875900629597083e-010	5.338722e-002
5.898306369459340e-010	4.700437e-002
5.920673052808813e-010	4.122317e-002
5.943603008329058e-010	3.592519e-002
5.965949897765699e-010	3.139602e-002
5.977338329630811e-010	2.933704e-002
5.988579513879265e-010	2.747443e-002
6.000308921153857e-010	2.571455e-002
6.011656762101996e-010	2.419374e-002
6.023010429655303e-010	2.285391e-002
6.034033965064764e-010	2.172893e-002
6.045346994868828e-010	2.075563e-002
6.056475883709557e-010	1.997728e-002
6.068070268907176e-010	1.935397e-002
6.079305624958044e-010	1.893000e-002
6.090504830272361e-010	1.867979e-002
6.101485093113540e-010	1.859654e-002
6.112815723285439e-010	1.867220e-002
6.124068104920551e-010	1.890194e-002
6.135518476288107e-010	1.928451e-002
6.146784922303733e-010	1.979731e-002
6.169521564009546e-010	2.119889e-002
6.192223327972537e-010	2.300713e-002
6.225835117835115e-010	2.622067e-002
6.259966147899025e-010	2.984390e-002
6.282440352479225e-010	3.227448e-002
6.304855628627327e-010	3.463468e-002
6.327648081793096e-010	3.688622e-002
6.350029186502297e-010	3.887285e-002
6.373158588136914e-010	4.061078e-002
6.396036410813118e-010	4.193448e-002
6.418404845266835e-010	4.277345e-002
6.441321734188075e-010	4.309377e-002
6.464083180064305e-010	4.280778e-002
6.486476268329871e-010	4.188928e-002
6.509211953258569e-010	4.027840e-002
6.532202625875903e-010	3.794695e-002
6.555261062475663e-010	3.492298e-002
6.577807612625079e-010	3.136019e-002
6.600431093909194e-010	2.727756e-002
6.634924360631282e-010	2.037805e-002
6.669102483413400e-010	1.326485e-002
6.691922956595313e-010	8.692694e-003
6.703238060556341e-010	6.552776e-003
6.714733644706705e-010	4.496988e-003
6.725977237186999e-010	2.622688e-003
6.737125754634213e-010	9.161067e-004
6.748457682750585e-010	-6.470849e-004
6.759860023332725e-010	-2.031626e-003
6.771153975887024e-010	-3.206065e-003
6.782628526338014e-010	-4.190997e-003
6.793701399184026e-010	-4.938616e-003
6.804776594208371e-010	-5.486609e-003
6.816096011509162e-010	-5.843050e-003
6.827493144549762e-010	-6.000082e-003
6.838780300484017e-010	-5.965055e-003
6.850231014693234e-010	-5.747921e-003
6.861234799265503e-010	-5.380459e-003
6.872594478050365e-010	-4.854117e-003
6.884880891673825e-010	-4.137731e-003
6.896180088488280e-010	-3.363960e-003
6.907933321424626e-010	-2.464733e-003
6.918984065546553e-010	-1.551363e-003
6.930279188754808e-010	-5.703814e-004
6.953349273808978e-010	1.499187e-003
6.976154973918996e-010	3.501944e-003
6.987135759101258e-010	4.408893e-003
6.998627868245982e-010	5.297230e-003
7.009846577810342e-010	6.091173e-003
7.021373534540789e-010	6.819063e-003
7.032544850105329e-010	7.429406e-003
7.043918428459097e-010	7.945914e-003
7.055131248522955e-010	8.344820e-003
7.066503471041383e-010	8.632404e-003
7.077812590648034e-010	8.798268e-003
7.089142832449291e-010	8.842800e-003
7.100663423838191e-010	8.763551e-003
7.111774979874075e-010	8.570145e-003
7.123109950479454e-010	8.258283e-003
7.134361588740483e-010	7.839598e-003
7.146432683751890e-010	7.277527e-003
7.157678835558407e-010	6.657333e-003
7.169358911256047e-010	5.925371e-003
7.180319938960873e-010	5.167474e-003
7.191975062006568e-010	4.298808e-003
7.203184611530246e-010	3.414713e-003
7.214923812553695e-010	2.452032e-003
7.237406883107809e-010	5.567471e-004
7.260167485433986e-010	-1.340622e-003
7.271432389025241e-010	-2.240023e-003
7.282952513908704e-010	-3.116382e-003
7.294159459421993e-010	-3.916218e-003
7.305270237597992e-010	-4.648483e-003
7.316604323182599e-010	-5.324652e-003
7.327925829646742e-010	-5.921226e-003
7.339236200891135e-010	-6.432167e-003
7.350676701556353e-010	-6.857185e-003
7.362021786021397e-010	-7.183362e-003
7.373499277034095e-010	-7.413692e-003
7.384803971649075e-010	-7.540635e-003
7.396142559733692e-010	-7.567416e-003
7.407644295100263e-010	-7.491751e-003
7.418966491417454e-010	-7.317082e-003
7.430107303054928e-010	-7.049985e-003
7.441569460780261e-010	-6.679350e-003
7.452935074245087e-010	-6.219435e-003
7.464247641205466e-010	-5.674698e-003
7.475728134552351e-010	-5.038527e-003
7.486945467003488e-010	-4.341787e-003
7.498017523871320e-010	-3.587765e-003
7.509345514901416e-010	-2.755644e-003
7.520723523467995e-010	-1.866457e-003
7.532084675229336e-010	-9.343945e-004
7.543584114772677e-010	4.383920e-005
7.554831748991453e-010	1.024185e-003
7.566619291249882e-010	2.064663e-003
7.577880945490620e-010	3.059806e-003
7.600585610412734e-010	5.021776e-003
7.623006268970962e-010	6.824093e-003
7.634658350213866e-010	7.677830e-003
7.645929731962465e-010	8.435087e-003
7.657330459011880e-010	9.121976e-003
7.668841913497739e-010	9.725177e-003
7.680176165250681e-010	1.022187e-002
7.691412071962333e-010	1.061177e-002
7.702913723991385e-010	1.089898e-002
7.714189053502689e-010	1.106596e-002
7.725511054403592e-010	1.111618e-002
7.737089957974682e-010	1.104403e-002
7.748184455691573e-010	1.085757e-002
7.760403974312220e-010	1.052113e-002
7.771686428686198e-010	1.009174e-002
7.783315641993535e-010	9.535082e-003
7.794487805293250e-010	8.897552e-003
7.806111416505942e-010	8.135782e-003
7.817055006340969e-010	7.335505e-003
7.829309874668279e-010	6.356003e-003
7.840471382376549e-010	5.398761e-003
7.863332344755258e-010	3.296627e-003
7.886533790358315e-010	1.060775e-003
7.898025559970203e-010	-5.028051e-005
7.909400625033534e-010	-1.135115e-003
7.920679548160032e-010	-2.184439e-003
7.932379453320207e-010	-3.233899e-003
7.943456125490076e-010	-4.181725e-003
7.955895521172275e-010	-5.183481e-003
7.967106679406592e-010	-6.022952e-003
7.978825952234340e-010	-6.830723e-003
7.990052581580822e-010	-7.534307e-003
8.001341385507152e-010	-8.170479e-003
8.012619119663041e-010	-8.733910e-003
8.025028174437124e-010	-9.271023e-003
8.036236981703795e-010	-9.682813e-003
8.059026500200278e-010	-1.031314e-002
8.082165428959970e-010	-1.068415e-002
8.105146321763370e-010	-1.079899e-002
8.127612823484249e-010	-1.067253e-002
8.151361605318677e-010	-1.027677e-002
8.174377422982489e-010	-9.622003e-003
8.185588335546434e-010	-9.201253e-003
8.196962112228737e-010	-8.703977e-003
8.208195560714210e-010	-8.142367e-003
8.219293176468452e-010	-7.518877e-003
8.230654252667955e-010	-6.811232e-003
8.241956820528373e-010	-6.040417e-003
8.253252503328707e-010	-5.207965e-003
