time	V(n_3p)
0.000000000000000e+000	0.000000e+000
2.349153024572547e-011	7.811230e-007
4.698306049145094e-011	1.084580e-006
7.047459073717641e-011	9.103719e-007
9.396612098290188e-011	2.584978e-007
1.174576512286273e-010	-8.710420e-007
1.409491814743528e-010	-2.478247e-006
1.644407117200782e-010	-4.563119e-006
1.669833086232496e-010	-1.408901e-005
1.695259055264209e-010	-3.174280e-005
1.720685024295922e-010	-5.752448e-005
1.746110993327635e-010	-9.143406e-005
1.771536962359349e-010	-1.334715e-004
1.796962931391062e-010	-1.836369e-004
1.822388900422775e-010	-2.419302e-004
1.833251904469096e-010	-2.695323e-004
1.844114908515417e-010	-2.889622e-004
1.854977912561737e-010	-3.002201e-004
1.865840916608058e-010	-3.033058e-004
1.876703920654379e-010	-2.982194e-004
1.887566924700699e-010	-2.849609e-004
1.898429928747020e-010	-2.635302e-004
1.909184347241498e-010	-2.151597e-004
1.920172245073326e-010	-1.396045e-004
1.931156245244378e-010	-3.120258e-005
1.942101911868851e-010	1.170203e-004
1.953379955932659e-010	3.208173e-004
1.964472604325497e-010	5.818815e-004
1.975254005312244e-010	9.038429e-004
1.986404168434206e-010	1.319741e-003
1.997385275972238e-010	1.824542e-003
2.008525078640150e-010	2.447320e-003
2.019782220922494e-010	3.205037e-003
2.030827225761524e-010	4.089116e-003
2.041885315410165e-010	5.129183e-003
2.053063753382510e-010	6.353654e-003
2.063958632556716e-010	7.728983e-003
2.075094441304630e-010	9.334604e-003
2.086417439288613e-010	1.118809e-002
2.097146694585159e-010	1.316122e-002
2.107996521712608e-010	1.538092e-002
2.119081748157994e-010	1.789008e-002
2.129981876172899e-010	2.060133e-002
2.141118323434785e-010	2.362548e-002
2.152355299994794e-010	2.693917e-002
2.162948575906614e-010	3.030386e-002
2.173692659945220e-010	3.395257e-002
2.184534123135393e-010	3.787059e-002
2.195480479596345e-010	4.206024e-002
2.206577960842695e-010	4.653804e-002
2.217196914008568e-010	5.102937e-002
2.227900350146966e-010	5.574873e-002
2.238983750822183e-010	6.082468e-002
2.249968434288698e-010	6.602933e-002
