time	V(n_3p)
0.000000000000000e+000	0.000000e+000
1.613332193970575e-010	-4.340249e-006
1.638667655096474e-010	-1.123328e-005
1.664003116222373e-010	-2.659052e-005
1.689338577348271e-010	-5.041199e-005
1.714674038474170e-010	-8.269768e-005
1.740009499600069e-010	-1.234476e-004
1.765344960725968e-010	-1.726617e-004
1.790680421851866e-010	-2.303401e-004
1.802961763307942e-010	-2.646398e-004
1.815243104764018e-010	-2.891885e-004
1.827524446220094e-010	-3.039863e-004
1.839805787676170e-010	-3.090331e-004
1.852087129132246e-010	-3.043290e-004
1.864368470588321e-010	-2.898738e-004
1.876649812044397e-010	-2.656677e-004
1.887439163989937e-010	-2.131090e-004
1.898366085229906e-010	-1.325906e-004
1.909109144373854e-010	-2.020733e-005
1.920107338714498e-010	1.367452e-004
1.931092574297416e-010	3.447027e-004
1.942052040984687e-010	6.131793e-004
1.953189711483258e-010	9.599254e-004
1.964303523602732e-010	1.392774e-003
1.975075052179385e-010	1.907899e-003
1.986249921406818e-010	2.556200e-003
1.997238127955690e-010	3.321383e-003
2.008422810846942e-010	4.246032e-003
2.019566284021300e-010	5.329336e-003
2.030686670797955e-010	6.587373e-003
2.041755714471538e-010	8.030264e-003
2.052948962483197e-010	9.697377e-003
2.063840819982864e-010	1.153325e-002
2.075002006861610e-010	1.364506e-002
2.085786741810227e-010	1.591692e-002
2.096588583135216e-010	1.842797e-002
2.107377310244992e-010	2.117701e-002
2.118160778719417e-010	2.416900e-002
2.129012170374668e-010	2.742782e-002
2.139887569168785e-010	3.094260e-002
2.151123070407818e-010	3.483194e-002
2.161720304029883e-010	3.873561e-002
2.172554728429970e-010	4.295528e-002
2.183456361565228e-010	4.742495e-002
2.194441878080190e-010	5.214444e-002
2.205356525558273e-010	5.703432e-002
2.216017781437973e-010	6.198972e-002
2.237387358128965e-010	7.239273e-002
2.270266337891541e-010	8.935048e-002
2.282442191607221e-010	9.591254e-002
2.294618045322901e-010	1.024540e-001
2.306793899038581e-010	1.089749e-001
2.318969752754261e-010	1.154752e-001
2.331145606469941e-010	1.219548e-001
2.343321460185620e-010	1.284139e-001
2.355497313901300e-010	1.348524e-001
2.377305539651268e-010	1.458464e-001
2.398925402949224e-010	1.560698e-001
2.420212866525178e-010	1.652591e-001
2.441912145523400e-010	1.735032e-001
2.463405945434848e-010	1.803311e-001
2.485146514551610e-010	1.856729e-001
2.506579782651847e-010	1.892205e-001
2.538098717689672e-010	1.910599e-001
2.560444241531175e-010	1.898165e-001
2.592447597834546e-010	1.843665e-001
2.625964662460762e-010	1.743468e-001
2.658291105982434e-010	1.611617e-001
2.691671387089592e-010	1.448922e-001
2.704060590617736e-010	1.382584e-001
2.716449794145880e-010	1.316124e-001
2.728838997674023e-010	1.249542e-001
2.741228201202167e-010	1.182836e-001
2.753617404730311e-010	1.116008e-001
2.766006608258454e-010	1.049057e-001
2.778395811786598e-010	9.819834e-002
2.788638598702225e-010	9.287240e-002
2.799924984350536e-010	8.714657e-002
2.810842570297082e-010	8.176904e-002
2.821888696703010e-010	7.650568e-002
2.832573560961761e-010	7.159586e-002
2.843112399246375e-010	6.693605e-002
2.853024204301057e-010	6.272397e-002
2.862845011500290e-010	5.871619e-002
2.872850886087820e-010	5.480346e-002
2.883032085710304e-010	5.099865e-002
2.893857382051772e-010	4.714697e-002
2.904607641534896e-010	4.351741e-002
2.915799637369043e-010	3.994258e-002
2.926817773639239e-010	3.662333e-002
2.937888259659919e-010	3.348531e-002
2.948916341728896e-010	3.055332e-002
2.959775692177826e-010	2.785392e-002
2.971032386309363e-010	2.525172e-002
2.981896767036349e-010	2.292971e-002
2.993159485091177e-010	2.072037e-002
3.004483811847334e-010	1.870413e-002
3.015383597330658e-010	1.696044e-002
3.026464172708213e-010	1.538896e-002
3.037547993041901e-010	1.402304e-002
3.048417502546268e-010	1.288648e-002
3.059568152391633e-010	1.193180e-002
3.070701408371711e-010	1.119368e-002
3.081437981610759e-010	1.068587e-002
3.092572792593953e-010	1.036995e-002
3.103730151140268e-010	1.026617e-002
3.114779161465412e-010	1.036916e-002
3.126038412477572e-010	1.067863e-002
3.136708430971140e-010	1.115523e-002
3.147546569015179e-010	1.181302e-002
3.158503254258124e-010	1.264536e-002
3.169591434109305e-010	1.364652e-002
3.180910773428392e-010	1.481882e-002
3.192075764263128e-010	1.610830e-002
3.213592464130249e-010	1.890483e-002
3.246728335013621e-010	2.376320e-002
3.259286396442442e-010	2.575206e-002
3.271844457871262e-010	2.769804e-002
3.284402519300082e-010	2.960114e-002
3.296960580728902e-010	3.146136e-002
3.309518642157723e-010	3.327869e-002
3.322076703586542e-010	3.505314e-002
3.334634765015363e-010	3.678470e-002
3.355849668245846e-010	3.935929e-002
3.376593100462795e-010	4.149429e-002
3.397445121898627e-010	4.319345e-002
3.419459272019434e-010	4.443631e-002
3.440114803448727e-010	4.503461e-002
3.460884923383896e-010	4.503592e-002
3.483318342758899e-010	4.431719e-002
3.504968708864873e-010	4.288066e-002
3.526643892361183e-010	4.069093e-002
3.549399102008016e-010	3.758058e-002
3.570970138731142e-010	3.388651e-002
3.592474237763076e-010	2.953221e-002
3.614973895410400e-010	2.434981e-002
3.636802553224628e-010	1.883837e-002
3.669891800011042e-010	9.959568e-003
3.692213622717070e-010	3.931226e-003
3.702959709446757e-010	1.104630e-003
3.713970491448198e-010	-1.699894e-003
3.725034119288114e-010	-4.394074e-003
3.736016995558100e-010	-6.916513e-003
3.747027297732524e-010	-9.265358e-003
3.758119104098656e-010	-1.142360e-002
3.767055581897823e-010	-1.299522e-002
3.777009173521215e-010	-1.455528e-002
3.785997856689358e-010	-1.578220e-002
3.797277252175664e-010	-1.706589e-002
3.808166287716140e-010	-1.802708e-002
3.819347398042845e-010	-1.872490e-002
3.828819960997601e-010	-1.908649e-002
3.838652889728512e-010	-1.924185e-002
3.848169993533088e-010	-1.918385e-002
3.857961959134081e-010	-1.891811e-002
3.867929944653576e-010	-1.844344e-002
3.877873058450803e-010	-1.777766e-002
3.889107384601575e-010	-1.681365e-002
3.899653126207641e-010	-1.572431e-002
3.910355373236811e-010	-1.445916e-002
3.921602843693075e-010	-1.298250e-002
3.932722546681311e-010	-1.140184e-002
3.955139662108691e-010	-7.965525e-003
3.988411990509333e-010	-2.663230e-003
3.999563142430943e-010	-9.363831e-004
4.010726347418831e-010	7.276182e-004
4.021848134237870e-010	2.300048e-003
4.033417252775490e-010	3.824722e-003
4.044302097683791e-010	5.139364e-003
4.055409704837294e-010	6.346330e-003
4.066493784613741e-010	7.403105e-003
4.077839477352171e-010	8.321770e-003
4.088847083750612e-010	9.048069e-003
4.099234517354898e-010	9.580117e-003
4.109713751822848e-010	9.964060e-003
4.120232491678949e-010	1.019543e-002
4.131448198626947e-010	1.027511e-002
4.142226200412517e-010	1.019455e-002
4.153468785471476e-010	9.954883e-003
4.164631019513576e-010	9.570720e-003
4.175766611421838e-010	9.055860e-003
4.186057063098258e-010	8.476578e-003
4.196885262946504e-010	7.775590e-003
4.207577467736421e-010	7.008029e-003
4.229081752102805e-010	5.310522e-003
4.250860922251713e-010	3.510350e-003
4.261485343947367e-010	2.648614e-003
4.272443511657386e-010	1.795215e-003
4.283199551707984e-010	1.008491e-003
4.294562505975267e-010	2.483157e-004
4.305659951886328e-010	-4.100935e-004
4.316823537272635e-010	-9.768639e-004
4.328079146859860e-010	-1.441779e-003
4.339069097036262e-010	-1.785665e-003
4.349927056728961e-010	-2.014129e-003
4.360364182011206e-010	-2.127182e-003
4.371902136954104e-010	-2.129917e-003
4.382814124441384e-010	-2.015391e-003
4.393708287754024e-010	-1.789909e-003
4.405033906319087e-010	-1.441659e-003
4.416004818695582e-010	-9.984162e-004
4.426984965801074e-010	-4.560814e-004
4.437955323192807e-010	1.781671e-004
4.448944230012963e-010	8.992454e-004
4.460339769730339e-010	1.729746e-003
4.471011193388254e-010	2.576328e-003
4.482331139094672e-010	3.538279e-003
4.493343022459740e-010	4.528310e-003
4.515539418791889e-010	6.647008e-003
4.537799162991708e-010	8.864596e-003
4.559450860808327e-010	1.101859e-002
4.581685600848311e-010	1.312188e-002
4.603573595946768e-010	1.497349e-002
4.625562545262888e-010	1.650003e-002
4.636868261292121e-010	1.711820e-002
4.647656895230196e-010	1.758540e-002
4.658554506700861e-010	1.792391e-002
4.669413331641934e-010	1.811764e-002
4.680708610019664e-010	1.815763e-002
4.691801418040969e-010	1.802917e-002
4.702826424126421e-010	1.773143e-002
4.713956708736675e-010	1.725583e-002
4.725000975912713e-010	1.660956e-002
4.735976626328730e-010	1.579729e-002
4.747402034275351e-010	1.477683e-002
4.758099178632571e-010	1.366689e-002
4.769489745300132e-010	1.233175e-002
4.780619737757864e-010	1.088780e-002
4.792189664835980e-010	9.258427e-003
4.803165193800836e-010	7.610346e-003
4.814150034295159e-010	5.881659e-003
4.836466678160308e-010	2.218263e-003
4.847582580463764e-010	3.673997e-004
4.858044012387562e-010	-1.359706e-003
4.868795753140470e-010	-3.096428e-003
4.879918715940235e-010	-4.828282e-003
4.891098552744551e-010	-6.478890e-003
4.902172506329175e-010	-8.003034e-003
4.913362471104409e-010	-9.411495e-003
4.924678815690533e-010	-1.068447e-002
4.935424928370872e-010	-1.174034e-002
4.946334717906884e-010	-1.265148e-002
4.956997345394520e-010	-1.338128e-002
4.967912948021814e-010	-1.396344e-002
4.979121448352782e-010	-1.439140e-002
4.990501451321243e-010	-1.465817e-002
5.001501342741025e-010	-1.476706e-002
5.012773985422195e-010	-1.474242e-002
5.023565526980523e-010	-1.460654e-002
5.045779631900238e-010	-1.406189e-002
5.057038420167685e-010	-1.369345e-002
5.068179791688049e-010	-1.329696e-002
5.079262040981597e-010	-1.289182e-002
5.090610684580696e-010	-1.248555e-002
5.101852379726067e-010	-1.210875e-002
5.113169182053269e-010	-1.176962e-002
5.124517909015360e-010	-1.148099e-002
5.135662039818303e-010	-1.125479e-002
5.146507643137597e-010	-1.109240e-002
5.157723914190619e-010	-1.098438e-002
5.168902976959117e-010	-1.093415e-002
5.180421774753312e-010	-1.093595e-002
5.191457626491847e-010	-1.098036e-002
5.213853080762271e-010	-1.115655e-002
5.247365894486732e-010	-1.146187e-002
5.279889576094560e-010	-1.156904e-002
5.302140836992275e-010	-1.144972e-002
5.324483846172133e-010	-1.116086e-002
5.346008203962593e-010	-1.074915e-002
5.367519683306434e-010	-1.025793e-002
5.390183986346328e-010	-9.726351e-003
5.412477145694101e-010	-9.266082e-003
5.434940508722721e-010	-8.934246e-003
5.456895490859937e-010	-8.784491e-003
5.479271190871270e-010	-8.829073e-003
5.501691896469963e-010	-9.061240e-003
5.524008368701637e-010	-9.435502e-003
5.546192364262575e-010	-9.881096e-003
5.579778938343982e-010	-1.050711e-002
5.601782981054375e-010	-1.076078e-002
5.624429982083318e-010	-1.080648e-002
5.647012470577094e-010	-1.059139e-002
5.658088027900874e-010	-1.038753e-002
5.669007046102322e-010	-1.012635e-002
5.680100646786595e-010	-9.805215e-003
5.691078913197942e-010	-9.439613e-003
5.702288662979510e-010	-9.027142e-003
5.713377397392681e-010	-8.591601e-003
5.724814532598570e-010	-8.127186e-003
5.735122702292439e-010	-7.707092e-003
5.746744831917682e-010	-7.246180e-003
5.757727450967380e-010	-6.835567e-003
5.769212915291659e-010	-6.445045e-003
5.780147518345416e-010	-6.120233e-003
5.791494475177278e-010	-5.840063e-003
5.802890610463164e-010	-5.622570e-003
5.814236472418200e-010	-5.472046e-003
5.825520942980667e-010	-5.386564e-003
5.836576246968046e-010	-5.360496e-003
5.858866411156814e-010	-5.447365e-003
5.881852230602972e-010	-5.641547e-003
5.903777564372357e-010	-5.795829e-003
5.915169462498433e-010	-5.817336e-003
5.926233586166758e-010	-5.776442e-003
5.937962135263940e-010	-5.648684e-003
5.949349214743682e-010	-5.426755e-003
5.960456575022009e-010	-5.105941e-003
5.971214397042074e-010	-4.689675e-003
5.982378745018164e-010	-4.143805e-003
5.993429376856070e-010	-3.488952e-003
6.004906976177416e-010	-2.691824e-003
6.016077468533731e-010	-1.808824e-003
6.027125456072221e-010	-8.419270e-004
6.038367982581204e-010	2.239618e-004
6.049731067480713e-010	1.368998e-003
6.071854001965451e-010	3.724079e-003
6.094296127049809e-010	6.160688e-003
6.116634513902624e-010	8.498105e-003
6.139113680133082e-010	1.065420e-002
6.161056091421885e-010	1.250683e-002
6.182944991529436e-010	1.408877e-002
6.205276696636252e-010	1.544855e-002
6.216496527461428e-010	1.604865e-002
6.228277304492873e-010	1.662902e-002
6.239513331593996e-010	1.714223e-002
6.251043572450930e-010	1.763472e-002
6.262454253987560e-010	1.809326e-002
6.273935789692186e-010	1.852919e-002
6.285266277243109e-010	1.893565e-002
6.296381348267369e-010	1.931047e-002
6.307635252915270e-010	1.966251e-002
6.318702510584632e-010	1.997636e-002
6.330296130375511e-010	2.026263e-002
6.341496815063573e-010	2.048841e-002
6.352605492090105e-010	2.065236e-002
6.363841702501463e-010	2.074579e-002
6.374984881134069e-010	2.075474e-002
6.386711270625711e-010	2.066128e-002
6.398087969029273e-010	2.045822e-002
6.409166259228618e-010	2.014438e-002
6.420412437754247e-010	1.970072e-002
6.431605849862116e-010	1.912850e-002
6.442812297275772e-010	1.842215e-002
6.453898331001128e-010	1.759197e-002
6.465340980408644e-010	1.660119e-002
6.476417558814820e-010	1.551868e-002
6.488264599165454e-010	1.423709e-002
6.499556588491058e-010	1.290938e-002
6.510713790965140e-010	1.151131e-002
6.522502147129879e-010	9.960763e-003
6.533684542122311e-010	8.440416e-003
6.545089632588966e-010	6.862843e-003
6.568104465046287e-010	3.693127e-003
6.578911252187153e-010	2.255832e-003
6.590103633930086e-010	8.315225e-004
6.601222082555551e-010	-4.980549e-004
6.612507695544606e-010	-1.740724e-003
6.624239326561514e-010	-2.898945e-003
6.635375426902248e-010	-3.856832e-003
6.647108135841587e-010	-4.702754e-003
6.657960287739069e-010	-5.326644e-003
6.668910915316410e-010	-5.795098e-003
6.680172155048624e-010	-6.104245e-003
6.691808149984343e-010	-6.238774e-003
6.702779710253964e-010	-6.195134e-003
6.714385695527006e-010	-5.973481e-003
6.725560344155444e-010	-5.596157e-003
6.736812385938177e-010	-5.062455e-003
6.748012918102427e-010	-4.388117e-003
6.759373293326929e-010	-3.570125e-003
6.770541699194962e-010	-2.646789e-003
6.781907982000929e-010	-1.599309e-003
6.792886743453250e-010	-4.973165e-004
6.804135044781748e-010	7.099639e-004
6.815308156249250e-010	1.974076e-003
6.826655094329506e-010	3.310114e-003
6.837520919089068e-010	4.626149e-003
6.849002621592882e-010	6.041888e-003
6.859940991168019e-010	7.402100e-003
6.871364963022207e-010	8.820979e-003
6.883521722514663e-010	1.031345e-002
6.894730454202140e-010	1.165964e-002
6.906202533275552e-010	1.299305e-002
6.929084102215205e-010	1.546039e-002
6.940361507484512e-010	1.655320e-002
6.952010408526796e-010	1.757601e-002
6.963412821338798e-010	1.845803e-002
6.975113126858187e-010	1.922518e-002
6.986189649752767e-010	1.980945e-002
6.997698050541632e-010	2.025706e-002
7.009003371330615e-010	2.052714e-002
7.020414811486220e-010	2.061908e-002
7.031825231824540e-010	2.052129e-002
7.043392938879627e-010	2.022228e-002
7.054443967106061e-010	1.974530e-002
7.065817380465597e-010	1.905836e-002
7.076875668244295e-010	1.820164e-002
7.087926673952695e-010	1.716407e-002
7.099513855022440e-010	1.588939e-002
7.110589926638857e-010	1.450240e-002
7.121831422349178e-010	1.293952e-002
7.133054469907331e-010	1.123885e-002
7.144734079395963e-010	9.339669e-003
7.155916435046680e-010	7.418138e-003
7.167288893492656e-010	5.383316e-003
7.178221852957787e-010	3.372775e-003
7.189829674172449e-010	1.205823e-003
7.212798591841377e-010	-3.073376e-003
7.223963396566190e-010	-5.097087e-003
7.235353598775475e-010	-7.088991e-003
7.246666962720512e-010	-8.970264e-003
7.258181470571871e-010	-1.076124e-002
7.269314139114259e-010	-1.235289e-002
7.280715525581849e-010	-1.382025e-002
7.291927401784506e-010	-1.508555e-002
7.303089770873955e-010	-1.615568e-002
7.314287123741184e-010	-1.702731e-002
7.325678298911025e-010	-1.769738e-002
7.336837299073691e-010	-1.813604e-002
7.348344653373777e-010	-1.835984e-002
7.359861101496321e-010	-1.835210e-002
7.370922724319095e-010	-1.813019e-002
7.382344504465519e-010	-1.768783e-002
7.393626203500824e-010	-1.704848e-002
7.405129228080050e-010	-1.620328e-002
7.416410477748570e-010	-1.520087e-002
7.427659379013847e-010	-1.404862e-002
7.439191448192556e-010	-1.273035e-002
7.450412076168330e-010	-1.133653e-002
7.461733902117460e-010	-9.842688e-003
7.484323932727186e-010	-6.696508e-003
