time	V(n_3p)
0.000000000000000e+000	0.000000e+000
3.749366503548940e-011	-1.661992e-006
7.498733007097881e-011	-2.312619e-006
1.124809951064682e-010	-1.951882e-006
1.499746601419576e-010	-5.797808e-007
1.874683251774470e-010	1.803685e-006
2.249619902129364e-010	5.198515e-006
2.624556552484257e-010	9.604709e-006
2.669706872233735e-010	1.149868e-005
2.714857191983213e-010	1.290162e-005
2.760007511732691e-010	1.381354e-005
2.805157831482169e-010	1.423444e-005
2.850308151231647e-010	1.416432e-005
2.895458470981125e-010	1.360318e-005
2.940608790730603e-010	1.255101e-005
2.969578181737059e-010	1.519501e-005
2.998547572743515e-010	1.640412e-005
3.027516963749971e-010	1.617836e-005
3.056486354756427e-010	1.451773e-005
3.085455745762883e-010	1.142221e-005
3.114425136769340e-010	6.891813e-006
3.143394527775796e-010	9.265397e-007
3.173745331821297e-010	4.589836e-006
3.204096135866798e-010	5.787862e-006
3.234446939912299e-010	4.520618e-006
3.264797743957800e-010	7.881038e-007
3.295148548003301e-010	-5.409681e-006
3.325499352048802e-010	-1.407274e-005
3.355850156094303e-010	-2.520106e-005
3.376696307744273e-010	-2.358091e-005
3.397542459394243e-010	-2.258029e-005
3.418388611044213e-010	-2.219921e-005
3.439234762694184e-010	-2.243767e-005
3.460080914344154e-010	-2.329566e-005
3.480927065994124e-010	-2.477319e-005
3.501773217644094e-010	-2.687025e-005
3.527409762013504e-010	-3.961072e-005
3.553046306382914e-010	-4.851639e-005
3.578682850752324e-010	-5.358726e-005
3.604319395121734e-010	-5.482334e-005
3.629955939491144e-010	-5.222461e-005
3.655592483860553e-010	-4.579108e-005
3.681229028229963e-010	-3.552276e-005
3.698943236566062e-010	-3.523203e-005
3.716657444902161e-010	-3.615220e-005
3.734371653238260e-010	-3.828328e-005
3.752085861574358e-010	-4.162526e-005
3.769800069910457e-010	-4.617814e-005
3.787514278246556e-010	-5.194193e-005
3.805228486582655e-010	-5.891662e-005
3.822883384376601e-010	-5.509293e-005
3.840538282170547e-010	-5.008615e-005
3.858193179964493e-010	-4.389626e-005
3.875848077758439e-010	-3.652328e-005
3.893502975552385e-010	-2.796719e-005
3.911157873346331e-010	-1.822801e-005
3.928812771140278e-010	-7.305723e-006
3.944961368703253e-010	-8.367658e-006
3.961109966266228e-010	-1.014333e-005
3.977258563829204e-010	-1.263275e-005
3.993407161392180e-010	-1.583590e-005
4.009555758955155e-010	-1.975280e-005
4.025704356518131e-010	-2.438343e-005
4.041852954081106e-010	-2.972781e-005
4.057909050580477e-010	-2.339924e-005
4.073965147079849e-010	-1.609996e-005
4.090021243579220e-010	-7.829973e-006
4.106077340078591e-010	1.410731e-006
4.122133436577962e-010	1.162215e-005
4.138189533077334e-010	2.280428e-005
4.154245629576705e-010	3.495712e-005
4.168684039890180e-010	3.528443e-005
4.183122450203654e-010	3.356183e-005
4.197560860517129e-010	2.978933e-005
4.211999270830604e-010	2.396693e-005
4.226437681144079e-010	1.609463e-005
4.240876091457554e-010	6.172422e-006
4.255314501771029e-010	-5.799684e-006
4.289986339822954e-010	-1.251314e-005
4.304442913403328e-010	-4.035232e-006
4.318899486983701e-010	4.147359e-006
4.333356060564075e-010	1.203463e-005
4.347812634144449e-010	1.962659e-005
4.362269207724822e-010	2.692324e-005
4.376725781305196e-010	3.392457e-005
4.391182354885569e-010	4.063058e-005
4.425219802174755e-010	2.567759e-005
4.439685116568824e-010	6.938930e-006
4.454150430962894e-010	-9.495506e-006
4.468615745356963e-010	-2.362572e-005
4.483081059751033e-010	-3.545171e-005
4.497546374145103e-010	-4.497348e-005
4.512011688539172e-010	-5.219103e-005
4.526477002933242e-010	-5.710436e-005
4.539372562908457e-010	-4.955471e-005
4.552268122883671e-010	-4.222865e-005
4.565163682858886e-010	-3.512618e-005
4.578059242834102e-010	-2.824731e-005
4.590954802809317e-010	-2.159203e-005
4.603850362784531e-010	-1.516035e-005
4.616745922759746e-010	-8.952258e-006
4.650480176795010e-010	-2.777612e-005
4.663455455088617e-010	-4.978682e-005
4.676430733382225e-010	-6.900675e-005
4.689406011675832e-010	-8.543593e-005
4.702381289969440e-010	-9.907434e-005
4.715356568263048e-010	-1.099220e-004
4.728331846556655e-010	-1.179789e-004
4.741307124850263e-010	-1.232450e-004
4.763504068314385e-010	-9.475236e-005
4.786070365685460e-010	-2.295925e-005
4.808713072338139e-010	1.025190e-004
4.831231516051319e-010	2.957749e-004
4.842612893147267e-010	4.274503e-004
4.853822273034562e-010	5.857073e-004
4.865176298535846e-010	7.813464e-004
4.876256006173938e-010	1.014030e-003
4.887541591433950e-010	1.302616e-003
4.898760016221304e-010	1.651479e-003
4.910029352487700e-010	2.075994e-003
4.921445539246698e-010	2.594998e-003
4.932702473574979e-010	3.208262e-003
4.943775749965999e-010	3.923722e-003
4.954884497505369e-010	4.767179e-003
4.966438507507858e-010	5.792703e-003
4.977654450875223e-010	6.946352e-003
4.989177287912102e-010	8.307113e-003
5.000386634143505e-010	9.812851e-003
5.011825387594809e-010	1.154455e-002
5.022825344701211e-010	1.340338e-002
5.034297736908508e-010	1.555047e-002
5.045515379318971e-010	1.785974e-002
5.056960618257304e-010	2.043201e-002
5.068041977429974e-010	2.313086e-002
5.079327020122514e-010	2.608865e-002
5.090458407391933e-010	2.921028e-002
5.101794812436250e-010	3.259344e-002
5.113003129300270e-010	3.613535e-002
5.124367142241370e-010	3.991974e-002
5.135392606937784e-010	4.377020e-002
5.146521214759695e-010	4.782716e-002
5.157863566713197e-010	5.212915e-002
5.169119382126615e-010	5.655512e-002
5.191880823644952e-010	6.593696e-002
5.203188406086538e-010	7.083216e-002
5.214495988528123e-010	7.579085e-002
5.225803570969709e-010	8.081302e-002
5.237111153411294e-010	8.589868e-002
5.248418735852880e-010	9.104784e-002
5.259726318294465e-010	9.626047e-002
5.271033900736051e-010	1.015366e-001
5.293671755324591e-010	1.119476e-001
5.316350947391104e-010	1.221325e-001
5.338445489859662e-010	1.316075e-001
5.360899328856377e-010	1.405611e-001
