time	V(ctle_out)	V(n_3p)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.216181640624937e-010	-3.158080e-007	-6.979501e-008
1.278263113839228e-010	1.274978e-007	2.791143e-006
1.340344587053518e-010	4.382632e-007	4.059016e-006
1.402426060267809e-010	6.164882e-007	3.733823e-006
1.464507533482099e-010	6.621729e-007	1.815565e-006
1.526589006696390e-010	5.753172e-007	-1.695760e-006
1.588670479910680e-010	3.559212e-007	-6.800150e-006
1.650751953124970e-010	3.984741e-009	-1.349761e-005
1.671852678571400e-010	1.330271e-006	-4.003509e-005
1.692953404017831e-010	-3.916769e-006	-8.206606e-005
1.714054129464261e-010	-1.573713e-005	-1.395905e-004
1.735154854910691e-010	-3.413083e-005	-2.126084e-004
1.756255580357121e-010	-5.909784e-005	-3.011198e-004
1.777356305803551e-010	-9.063819e-005	-4.051247e-004
1.798457031249981e-010	-1.287519e-004	-5.246231e-004
1.808048270089268e-010	-1.510424e-004	-5.793281e-004
1.817639508928554e-010	-1.734725e-004	-6.215128e-004
1.827230747767841e-010	-1.960421e-004	-6.511771e-004
1.836821986607127e-010	-2.187512e-004	-6.683210e-004
1.846413225446413e-010	-2.415998e-004	-6.729446e-004
1.856004464285700e-010	-2.645879e-004	-6.650477e-004
1.865595703124986e-010	-2.877156e-004	-6.446305e-004
1.872047991071415e-010	-3.022588e-004	-6.158200e-004
1.878500279017844e-010	-3.135744e-004	-5.624596e-004
1.884952566964273e-010	-3.216622e-004	-4.845493e-004
1.891404854910702e-010	-3.265224e-004	-3.820891e-004
1.897857142857131e-010	-3.281548e-004	-2.550791e-004
1.904309430803561e-010	-3.265596e-004	-1.035192e-004
1.910761718749990e-010	-3.217366e-004	7.259053e-005
1.916167689732133e-010	-3.136818e-004	2.486082e-004
1.921573660714276e-010	-2.985084e-004	4.652128e-004
1.926979631696419e-010	-2.762166e-004	7.224042e-004
1.932385602678563e-010	-2.468062e-004	1.020182e-003
1.937791573660706e-010	-2.102773e-004	1.358548e-003
1.943197544642849e-010	-1.666300e-004	1.737500e-003
1.948603515624993e-010	-1.158641e-004	2.157039e-003
1.954009486607136e-010	-5.589262e-005	2.628871e-003
1.959415457589279e-010	2.011461e-005	3.176023e-003
1.964821428571422e-010	1.121576e-004	3.798496e-003
1.970227399553566e-010	2.202364e-004	4.496290e-003
1.975633370535709e-010	3.443511e-004	5.269403e-003
1.981039341517852e-010	4.845015e-004	6.117837e-003
1.986445312499995e-010	6.406876e-004	7.041592e-003
1.992897600446424e-010	8.509611e-004	8.261190e-003
1.999349888392854e-010	1.107635e-003	9.656722e-003
2.005802176339283e-010	1.410710e-003	1.122819e-002
2.012254464285712e-010	1.760186e-003	1.297559e-002
2.018706752232141e-010	2.156062e-003	1.489892e-002
2.025159040178570e-010	2.598339e-003	1.699819e-002
2.031611328124999e-010	3.087017e-003	1.927339e-002
2.038586774553571e-010	3.681100e-003	2.197975e-002
2.045562220982143e-010	4.373241e-003	2.497056e-002
2.052537667410715e-010	5.163440e-003	2.824582e-002
2.059513113839287e-010	6.051697e-003	3.180554e-002
2.066488560267859e-010	7.038013e-003	3.564972e-002
2.073464006696430e-010	8.122387e-003	3.977835e-002
2.080439453125002e-010	9.304819e-003	4.419144e-002
2.089856305803575e-010	1.108687e-002	5.070201e-002
2.099273158482147e-010	1.314660e-002	5.773699e-002
2.108690011160719e-010	1.548401e-002	6.529638e-002
2.118106863839291e-010	1.809910e-002	7.338019e-002
2.127523716517863e-010	2.099187e-002	8.198841e-002
2.136940569196435e-010	2.416231e-002	9.112104e-002
2.146357421875007e-010	2.761044e-002	1.007781e-001
2.157518136160722e-010	3.216539e-002	1.129602e-001
2.168678850446438e-010	3.715016e-002	1.253724e-001
2.179839564732153e-010	4.256475e-002	1.380148e-001
2.191000279017868e-010	4.840916e-002	1.508872e-001
2.202160993303583e-010	5.468339e-002	1.639898e-001
2.213321707589298e-010	6.138744e-002	1.773225e-001
2.224482421875013e-010	6.852131e-002	1.908853e-001
2.237038225446443e-010	7.708133e-002	2.059269e-001
2.249594029017872e-010	8.586830e-002	2.202176e-001
2.262149832589302e-010	9.488222e-002	2.337573e-001
2.274705636160731e-010	1.041231e-001	2.465461e-001
2.287261439732161e-010	1.135909e-001	2.585839e-001
2.299817243303590e-010	1.232857e-001	2.698707e-001
2.312373046875020e-010	1.332074e-001	2.804066e-001
2.328590959821450e-010	1.460565e-001	2.920229e-001
2.344808872767879e-010	1.583092e-001	3.016643e-001
2.361026785714309e-010	1.699653e-001	3.093307e-001
2.377244698660739e-010	1.810250e-001	3.150221e-001
2.393462611607169e-010	1.914882e-001	3.187385e-001
2.409680524553599e-010	2.013549e-001	3.204799e-001
2.425898437500028e-010	2.106251e-001	3.202463e-001
2.431478794642886e-010	2.134888e-001	3.197310e-001
2.437059151785744e-010	2.162240e-001	3.189935e-001
2.442639508928601e-010	2.188306e-001	3.180338e-001
2.448219866071459e-010	2.213088e-001	3.168519e-001
2.453800223214316e-010	2.236585e-001	3.154478e-001
2.459380580357174e-010	2.258796e-001	3.138215e-001
2.464960937500031e-010	2.279722e-001	3.119730e-001
2.466181640625031e-010	2.284110e-001	3.115399e-001
2.485189732142890e-010	2.344632e-001	3.030663e-001
2.504197823660749e-010	2.386979e-001	2.924055e-001
2.523205915178607e-010	2.411149e-001	2.795576e-001
2.542214006696466e-010	2.417145e-001	2.645224e-001
2.561222098214325e-010	2.404964e-001	2.473000e-001
2.580230189732183e-010	2.374608e-001	2.278905e-001
2.599238281250041e-010	2.326076e-001	2.062937e-001
2.610573381696471e-010	2.287342e-001	1.928671e-001
2.621908482142900e-010	2.243251e-001	1.794425e-001
2.633243582589329e-010	2.193803e-001	1.660199e-001
2.644578683035759e-010	2.138997e-001	1.525992e-001
2.655913783482189e-010	2.078835e-001	1.391806e-001
2.667248883928618e-010	2.013315e-001	1.257641e-001
2.678583984375047e-010	1.942438e-001	1.123495e-001
2.688872767857191e-010	1.874485e-001	1.006700e-001
2.699161551339334e-010	1.804930e-001	8.958040e-002
2.709450334821478e-010	1.733773e-001	7.908076e-002
2.719739118303622e-010	1.661016e-001	6.917105e-002
2.730027901785766e-010	1.586656e-001	5.985127e-002
2.740316685267909e-010	1.510696e-001	5.112142e-002
2.750605468750053e-010	1.433134e-001	4.298149e-002
2.759324776785768e-010	1.367823e-001	3.678106e-002
2.768044084821483e-010	1.303406e-001	3.108147e-002
2.776763392857198e-010	1.239884e-001	2.588274e-002
2.785482700892912e-010	1.177257e-001	2.118486e-002
2.794202008928628e-010	1.115525e-001	1.698784e-002
2.802921316964342e-010	1.054688e-001	1.329167e-002
2.811640625000057e-010	9.947450e-002	1.009635e-002
2.816349051339343e-010	9.632754e-002	8.542118e-003
2.821057477678630e-010	9.323386e-002	7.093862e-003
2.825765904017915e-010	9.019349e-002	5.751579e-003
2.830474330357202e-010	8.720640e-002	4.515271e-003
2.835182756696488e-010	8.427262e-002	3.384935e-003
2.839891183035774e-010	8.139213e-002	2.360574e-003
2.844599609375060e-010	7.856493e-002	1.442185e-003
2.848610491071489e-010	7.620515e-002	7.247898e-004
2.852621372767917e-010	7.388905e-002	5.685194e-005
2.856632254464346e-010	7.161665e-002	-5.616284e-004
2.860643136160776e-010	6.938794e-002	-1.130651e-003
2.864654017857204e-010	6.720293e-002	-1.650216e-003
2.868664899553633e-010	6.506160e-002	-2.120324e-003
2.872675781250062e-010	6.296397e-002	-2.540973e-003
2.877907366071491e-010	6.029695e-002	-3.030243e-003
2.883138950892920e-010	5.770299e-002	-3.479928e-003
2.888370535714349e-010	5.518209e-002	-3.890030e-003
2.893602120535778e-010	5.273425e-002	-4.260546e-003
2.898833705357207e-010	5.035948e-002	-4.591479e-003
