time	V(n_3p)	V(sum)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.953124965725918e-017	4.089942e-015	4.089609e-015
3.906249931451836e-017	8.178553e-015	8.178109e-015
7.812499862903672e-017	1.635311e-014	1.635045e-014
1.562499972580734e-016	3.268626e-014	3.267562e-014
3.124999945161469e-016	6.528871e-014	6.524622e-014
6.249999890322938e-016	1.302387e-013	1.300693e-013
1.249999978064588e-015	2.591222e-013	2.584490e-013
2.499999956129175e-015	5.128499e-013	5.101919e-013
4.999999912258350e-015	1.004358e-012	9.940007e-013
9.999999824516700e-015	1.925232e-012	1.885936e-012
1.999999964903340e-014	3.531205e-012	3.390035e-012
3.999999929806680e-014	5.896130e-012	5.444324e-012
7.999999859613360e-014	7.915144e-012	6.806845e-012
1.599999971922672e-013	5.303380e-012	4.162374e-012
3.199999943845344e-013	-6.766180e-012	-4.120252e-012
5.699999943845344e-013	-1.206449e-011	-8.181585e-012
7.500000000000000e-013	-2.522081e-012	-2.184119e-012
1.000000000000000e-012	1.234597e-011	1.234597e-011
1.025000000000000e-012	1.334970e-011	1.329626e-011
1.075000000000000e-012	1.503652e-011	1.471507e-011
1.175000000000000e-012	1.648146e-011	1.536012e-011
1.375000000000000e-012	1.264330e-011	1.091917e-011
1.625000000000000e-012	8.699722e-014	-9.720611e-014
1.875000000000000e-012	-1.320612e-011	-1.164911e-011
2.125000000000000e-012	-2.027122e-011	-1.802001e-011
2.375000000000000e-012	-1.833146e-011	-1.642227e-011
2.625000000000000e-012	-8.754922e-012	-7.834698e-012
2.875000000000000e-012	4.502513e-012	4.264856e-012
3.125000000000000e-012	1.680932e-011	1.563197e-011
3.375000000000000e-012	2.440673e-011	2.272856e-011
3.625000000000000e-012	2.529145e-011	2.360356e-011
3.875000000000000e-012	1.942460e-011	1.814063e-011
4.125000000000000e-012	8.421860e-012	7.802088e-012
4.374999999999999e-012	-5.059968e-012	-4.932645e-012
4.624999999999999e-012	-1.803250e-011	-1.723599e-011
4.874999999999999e-012	-2.781901e-011	-2.654950e-011
5.124999999999999e-012	-3.252747e-011	-3.104528e-011
5.374999999999999e-012	-3.130718e-011	-2.988287e-011
5.624999999999999e-012	-2.438965e-011	-2.325873e-011
5.874999999999999e-012	-1.294842e-011	-1.227945e-011
6.124999999999999e-012	1.168696e-012	1.290773e-012
6.374999999999999e-012	1.577412e-011	1.535032e-011
6.624999999999999e-012	2.868433e-011	2.779196e-011
6.874999999999999e-012	3.802505e-011	3.679951e-011
7.124999999999999e-012	4.246363e-011	4.107535e-011
7.374999999999999e-012	4.134909e-011	3.997913e-011
7.625000000000000e-012	3.475470e-011	3.357208e-011
7.875000000000000e-012	2.342983e-011	2.257290e-011
8.125000000000001e-012	8.677248e-012	8.240463e-012
8.375000000000002e-012	-7.822476e-012	-7.795617e-012
8.625000000000003e-012	-2.421476e-011	-2.373272e-011
8.875000000000003e-012	-3.867889e-011	-3.779770e-011
9.125000000000004e-012	-4.961826e-011	-4.843278e-011
9.375000000000005e-012	-5.581570e-011	-5.444787e-011
9.625000000000006e-012	-5.654183e-011	-5.512740e-011
9.875000000000006e-012	-5.161022e-011	-5.028519e-011
1.012500000000001e-011	-4.137846e-011	-4.026663e-011
1.037500000000001e-011	-2.669939e-011	-2.590192e-011
1.062500000000001e-011	-8.830460e-012	-8.418135e-012
1.087500000000001e-011	1.068777e-011	1.067919e-011
1.112500000000001e-011	3.017168e-011	2.974284e-011
1.137500000000001e-011	4.794026e-011	4.712658e-011
1.162500000000001e-011	6.245414e-011	6.132150e-011
1.187500000000001e-011	7.243747e-011	7.107580e-011
1.212500000000001e-011	7.697409e-011	7.548947e-011
1.237500000000001e-011	7.557221e-011	7.407826e-011
1.262500000000002e-011	6.819452e-011	6.680372e-011
1.287500000000002e-011	5.525363e-011	5.406914e-011
1.312500000000002e-011	3.757479e-011	3.668343e-011
1.337500000000002e-011	1.633052e-011	1.579721e-011
1.362500000000002e-011	-7.046964e-012	-7.182935e-012
1.387500000000002e-011	-3.096833e-011	-3.069520e-011
1.412500000000002e-011	-5.379716e-011	-5.313062e-011
1.437500000000002e-011	-7.395982e-011	-7.294116e-011
1.462500000000002e-011	-9.004783e-011	-8.874059e-011
1.487500000000002e-011	-1.009069e-010	-9.939220e-011
1.512500000000002e-011	-1.057072e-010	-1.040783e-010
1.537500000000002e-011	-1.039921e-010	-1.023484e-010
1.562500000000002e-011	-9.570215e-011	-9.414297e-011
1.587500000000002e-011	-8.117551e-011	-7.979434e-011
1.612500000000002e-011	-6.112418e-011	-6.000338e-011
1.637500000000002e-011	-3.658965e-011	-3.579604e-011
1.662500000000001e-011	-8.880686e-012	-8.462150e-012
1.687500000000001e-011	2.050242e-011	2.051913e-011
1.712500000000001e-011	4.995238e-011	4.956262e-011
1.737500000000001e-011	7.784332e-011	7.706431e-011
1.762500000000001e-011	1.026182e-010	1.014876e-010
1.787500000000001e-011	1.228708e-010	1.214445e-010
1.812500000000001e-011	1.374180e-010	1.357665e-010
1.837500000000001e-011	1.453592e-010	1.435642e-010
1.862500000000001e-011	1.461202e-010	1.442700e-010
1.887500000000001e-011	1.394804e-010	1.376657e-010
1.912500000000001e-011	1.255818e-010	1.238911e-010
1.937500000000000e-011	1.049204e-010	1.034360e-010
1.962500000000000e-011	7.832137e-011	7.711555e-011
1.987500000000000e-011	4.689908e-011	4.603099e-011
2.012500000000000e-011	1.200442e-011	1.151762e-011
2.037500000000000e-011	-2.483742e-011	-2.491660e-011
2.062500000000000e-011	-6.199598e-011	-6.165934e-011
2.087500000000000e-011	-9.780798e-011	-9.706551e-011
2.112500000000000e-011	-1.306501e-010	-1.295292e-010
2.137500000000000e-011	-1.590087e-010	-1.575529e-010
2.162500000000000e-011	-1.815440e-010	-1.798106e-010
2.187500000000000e-011	-1.971457e-010	-1.952037e-010
2.212500000000000e-011	-2.049792e-010	-2.029056e-010
2.237499999999999e-011	-2.045184e-010	-2.023959e-010
2.262499999999999e-011	-1.955676e-010	-1.934805e-010
2.287499999999999e-011	-1.782686e-010	-1.763001e-010
2.312499999999999e-011	-1.530956e-010	-1.513241e-010
2.337499999999999e-011	-1.208366e-010	-1.193331e-010
2.362499999999999e-011	-8.256348e-011	-8.138896e-011
2.387499999999999e-011	-3.959230e-011	-3.879558e-011
2.412499999999999e-011	6.565759e-012	6.949690e-012
2.437499999999999e-011	5.425954e-011	5.421062e-011
2.462499999999999e-011	1.017576e-010	1.012713e-010
2.487499999999999e-011	1.473103e-010	1.463975e-010
2.512499999999998e-011	1.892117e-010	1.878983e-010
2.537499999999998e-011	2.258595e-010	2.241855e-010
2.562499999999998e-011	2.558112e-010	2.538290e-010
2.587499999999998e-011	2.778339e-010	2.756065e-010
2.612499999999998e-011	2.909470e-010	2.885461e-010
2.637499999999998e-011	2.944565e-010	2.919598e-010
2.662499999999998e-011	2.879791e-010	2.854679e-010
2.687499999999998e-011	2.714568e-010	2.690133e-010
2.712499999999998e-011	2.451606e-010	2.428654e-010
2.737499999999998e-011	2.096837e-010	2.076133e-010
2.762499999999998e-011	1.659252e-010	1.641494e-010
2.787499999999998e-011	1.150636e-010	1.136437e-010
2.812499999999997e-011	5.852248e-011	5.750925e-011
2.837499999999997e-011	-2.071558e-012	-2.639350e-012
2.862499999999997e-011	-6.493676e-011	-6.503348e-011
2.887499999999997e-011	-1.281888e-010	-1.278027e-010
2.912499999999997e-011	-1.898963e-010	-1.890297e-010
2.937499999999997e-011	-2.481375e-010	-2.468071e-010
2.962499999999997e-011	-3.010571e-010	-2.992931e-010
2.987499999999997e-011	-3.469206e-010	-3.447661e-010
3.012499999999997e-011	-3.841661e-010	-3.816758e-010
3.037499999999997e-011	-4.114504e-010	-4.086891e-010
3.062499999999997e-011	-4.276897e-010	-4.247308e-010
3.087499999999996e-011	-4.320933e-010	-4.290162e-010
3.112499999999996e-011	-4.241884e-010	-4.210770e-010
3.137499999999996e-011	-4.038378e-010	-4.007778e-010
3.162499999999996e-011	-3.712471e-010	-3.683239e-010
