time	V(n_3p)
Step Information: Rs=10  (Run: 1/10)
0.000000000000000e+000	0.000000e+000
3.749999934193763e-015	1.522674e-012
7.499999868387525e-015	2.950744e-012
1.499999973677505e-014	5.535525e-012
2.999999947355010e-014	9.702652e-012
5.999999894710020e-014	1.463151e-011
1.199999978942004e-013	1.486563e-011
2.399999957884008e-013	-1.468229e-012
4.799999915768016e-013	-2.573114e-011
9.599999831536032e-013	8.933461e-012
1.593699660130077e-012	2.881870e-011
2.272915382870793e-012	-3.474096e-011
3.109178871428391e-012	-1.490924e-011
4.154597885669131e-012	5.429847e-011
5.185492206825653e-012	-1.701101e-011
6.252316898412507e-012	-6.184280e-011
7.247378360485869e-012	2.776535e-011
8.310184438097566e-012	7.970714e-011
9.416793141628572e-012	-1.750333e-011
1.055322612869784e-011	-1.042692e-010
1.145499115587638e-011	-4.735356e-011
1.229044318962295e-011	6.951587e-011
1.315863855009460e-011	1.385588e-010
1.408824642701485e-011	7.855975e-011
1.510486249784807e-011	-8.371035e-011
1.608069017513399e-011	-1.861668e-010
1.717399314098042e-011	-1.144953e-010
1.849848469491387e-011	1.314325e-010
2.000000000000000e-011	2.508663e-010
2.016815516083932e-011	2.323618e-010
2.050446548251796e-011	2.072074e-010
2.117708612587523e-011	5.023107e-011
2.208180159822713e-011	-1.882223e-010
2.347497563203855e-011	-3.222819e-010
2.473451926238435e-011	-2.321039e-010
2.606834277222056e-011	2.423547e-010
2.778059089455749e-011	5.239155e-010
2.938700696537576e-011	1.125702e-010
3.085057405996814e-011	-3.503219e-010
3.219663751314337e-011	-6.367483e-010
3.350792179732907e-011	-5.933493e-010
3.490654864971179e-011	4.684935e-011
3.648310676103534e-011	1.004117e-009
3.794408206061007e-011	1.169563e-009
3.903235336748936e-011	5.392796e-010
3.996894357288277e-011	-3.263843e-010
4.099624578656505e-011	-1.189484e-009
4.206353742868846e-011	-1.617085e-009
4.345772825658465e-011	-1.265941e-009
4.496820101240148e-011	-8.193243e-011
4.616730064087671e-011	1.000069e-009
4.740896578107077e-011	1.822577e-009
4.853668978098034e-011	2.084904e-009
4.969067794018551e-011	1.746019e-009
5.082022794890367e-011	8.048649e-010
5.198579127682487e-011	-6.521939e-010
5.319780658608132e-011	-2.310692e-009
5.449834535170762e-011	-3.596831e-009
5.591003756834726e-011	-3.622971e-009
5.717598811965613e-011	-2.072708e-009
5.846757383998490e-011	8.036613e-010
5.983615005523015e-011	4.275753e-009
6.130427648691767e-011	6.807703e-009
6.249793215843213e-011	6.861929e-009
6.371011621562141e-011	4.557962e-009
6.504358693090939e-011	-2.862725e-010
6.630209405596844e-011	-5.831546e-009
6.750514135511807e-011	-1.035980e-008
6.871081805960508e-011	-1.253194e-008
6.988171699038064e-011	-1.134350e-008
7.107771479265236e-011	-6.562264e-009
7.231327520598161e-011	1.294951e-009
7.357044851018049e-011	1.039166e-008
7.483458040490439e-011	1.804040e-008
7.601704204295006e-011	2.155243e-008
7.723276691655697e-011	1.985208e-008
7.853637304512407e-011	1.166330e-008
7.971036553877391e-011	-2.841415e-010
8.093029715544130e-011	-1.473699e-008
8.219993908452545e-011	-2.826957e-008
8.329851914199198e-011	-3.569686e-008
8.445610183210300e-011	-3.662238e-008
8.558356897721358e-011	-2.955092e-008
8.678337209410289e-011	-1.387157e-008
8.802959972357244e-011	8.568110e-009
8.921620239528319e-011	3.146344e-008
9.041547475693880e-011	5.079848e-008
9.153312999626054e-011	6.097034e-008
9.268210725605826e-011	6.021288e-008
9.385401625770289e-011	4.647956e-008
9.503505864688156e-011	2.075618e-008
9.617630382635723e-011	-1.168258e-008
9.733234066943834e-011	-4.638388e-008
9.863370627144247e-011	-7.928666e-008
9.980590499693142e-011	-9.658659e-008
1.000000000000000e-010	-9.797144e-008
1.001105173995520e-010	-9.846806e-008
1.003315521986560e-010	-9.910703e-008
1.007736217968639e-010	-9.840251e-008
1.015884957208697e-010	-9.011839e-008
1.025014565902297e-010	-7.028502e-008
1.035974255955369e-010	-3.430607e-008
1.046714468932422e-010	9.631063e-009
1.057843856228296e-010	5.788496e-008
1.068934117681754e-010	1.011573e-007
1.080136525402534e-010	1.327229e-007
1.091856000659085e-010	1.466065e-007
1.103393767813205e-010	1.374825e-007
1.112653959401647e-010	1.132181e-007
1.122207852945166e-010	7.402139e-008
1.131875017520592e-010	2.321101e-008
1.141627915987073e-010	-3.445273e-008
1.152854127231590e-010	-1.010557e-007
1.164819263899960e-010	-1.625559e-007
1.175646616892289e-010	-2.015058e-007
1.186849525774878e-010	-2.179962e-007
1.197833708087174e-010	-2.065137e-007
1.200000000000000e-010	-2.008440e-007
1.200762774845098e-010	-1.984988e-007
1.202288324535293e-010	-1.935531e-007
1.205339423915684e-010	-1.820294e-007
1.210562947372107e-010	-1.572819e-007
1.216992395487804e-010	-1.189010e-007
1.224430482250223e-010	-6.503683e-008
1.231992651449807e-010	-1.836177e-009
1.239885785508487e-010	7.017767e-008
1.247992427739595e-010	1.469607e-007
1.256858267567509e-010	2.299241e-007
1.266961798419094e-010	3.175414e-007
1.276375193985501e-010	3.875065e-007
1.286830620661629e-010	4.469366e-007
1.297945091495554e-010	4.856599e-007
1.308011488655708e-010	4.982748e-007
1.318162428292536e-010	4.909912e-007
1.329549921275468e-010	4.637535e-007
1.341192934176755e-010	4.232617e-007
1.352836483024560e-010	3.809860e-007
1.364690660204125e-010	3.485646e-007
1.377220818042323e-010	3.386681e-007
1.389160616353880e-010	3.614237e-007
1.401034262573848e-010	4.197466e-007
1.413121329065531e-010	5.153151e-007
1.424356309027897e-010	6.326076e-007
1.435105102164525e-010	7.635929e-007
1.445980775781603e-010	9.058264e-007
1.456501818644894e-010	1.043278e-006
1.467207482986684e-010	1.173235e-006
1.477507303592585e-010	1.280753e-006
1.487247029775910e-010	1.360944e-006
1.499487357727262e-010	1.426846e-006
1.510604148181491e-010	1.451241e-006
1.521493820214008e-010	1.442868e-006
1.531607029533751e-010	1.407840e-006
1.541284507044988e-010	1.350280e-006
1.551642606778900e-010	1.260270e-006
1.561255311796619e-010	1.143900e-006
1.572476540588571e-010	9.487574e-007
1.583834710851058e-010	6.494277e-007
1.595324744336322e-010	1.788026e-007
1.606117791203284e-010	-4.997507e-007
1.618893721721281e-010	-1.758443e-006
1.630534979071931e-010	-3.516803e-006
1.642146080091223e-010	-6.082778e-006
1.653942119681654e-010	-9.793549e-006
1.666231376161583e-010	-1.518435e-005
1.677819207492982e-010	-2.203381e-005
1.689519437983977e-010	-3.104943e-005
1.702003996741866e-010	-4.339359e-005
1.714179504945485e-010	-5.850497e-005
1.725827714153955e-010	-7.609020e-005
1.737393467939239e-010	-9.677228e-005
1.749042915622213e-010	-1.209296e-004
1.760861402958756e-010	-1.487787e-004
1.772637592938446e-010	-1.796089e-004
1.784161976573951e-010	-2.122626e-004
1.794992254132674e-010	-2.445033e-004
1.805846697664419e-010	-2.773657e-004
1.817391392894788e-010	-3.114468e-004
1.828987895423524e-010	-3.427134e-004
1.841134736295601e-010	-3.691788e-004
1.852659431194072e-010	-3.846313e-004
1.864332927713880e-010	-3.858262e-004
1.875601262859527e-010	-3.675402e-004
1.887064350287772e-010	-3.221455e-004
1.898663960186615e-010	-2.396673e-004
1.910574540409496e-010	-1.049127e-004
1.921864151840174e-010	8.266755e-005
1.933281259111154e-010	3.472608e-004
1.945039959783082e-010	7.177296e-004
1.956286458508430e-010	1.185870e-003
1.967578904966262e-010	1.791736e-003
1.979239575087414e-010	2.588477e-003
1.990815940343473e-010	3.583135e-003
2.001788616446885e-010	4.744945e-003
2.013150237079195e-010	6.208304e-003
2.024274372260836e-010	7.933958e-003
2.034663426391875e-010	9.840659e-003
2.045429776473486e-010	1.215264e-002
2.056759688863053e-010	1.499401e-002
2.068182601614205e-010	1.832366e-002
2.079583941759136e-010	2.215322e-002
2.090738641129013e-010	2.642604e-002
2.102569818029115e-010	3.156327e-002
2.114141421121384e-010	3.722097e-002
2.125663368863964e-010	4.350064e-002
2.136586683405688e-010	5.006403e-002
2.148024007383559e-010	5.757941e-002
2.158961552093674e-010	6.537967e-002
2.169840956482668e-010	7.372243e-002
2.181322302042487e-010	8.313622e-002
2.192169357905651e-010	9.257533e-002
2.203891467302643e-010	1.033261e-001
2.215314859306850e-010	1.142988e-001
2.226594239827476e-010	1.255498e-001
2.236506649099216e-010	1.357246e-001
2.246528939713325e-010	1.462284e-001
2.256680890550755e-010	1.570309e-001
2.267423114156576e-010	1.685696e-001
2.277702481142856e-010	1.796473e-001
2.288706241518195e-010	1.914653e-001
2.299835287158072e-010	2.032944e-001
2.311091456272387e-010	2.150486e-001
2.322992776086474e-010	2.271576e-001
2.334636095261620e-010	2.386059e-001
2.346237150552695e-010	2.495484e-001
2.357302724809952e-010	2.594983e-001
2.369519538151885e-010	2.698772e-001
2.381324079245754e-010	2.792639e-001
2.393049775308955e-010	2.879381e-001
2.404558397416294e-010	2.958112e-001
2.415422505723398e-010	3.026623e-001
2.427277422005604e-010	3.095072e-001
2.438479841598465e-010	3.153909e-001
2.450193964489568e-010	3.209674e-001
2.461499464645722e-010	3.258263e-001
2.472989606341146e-010	3.302798e-001
2.484216855524957e-010	3.342013e-001
2.495181506894662e-010	3.376616e-001
2.506277918052718e-010	3.408320e-001
2.517141155929572e-010	3.436490e-001
2.528574650709156e-010	3.463442e-001
2.539710501395267e-010	3.487343e-001
2.551034925259378e-010	3.509541e-001
2.562453242894027e-010	3.529985e-001
2.574323155273911e-010	3.549341e-001
2.585574926098776e-010	3.565995e-001
2.597913694379342e-010	3.582399e-001
2.609463979622057e-010	3.595973e-001
2.621588061312369e-010	3.608298e-001
2.633705224546700e-010	3.618543e-001
2.645649518734846e-010	3.626493e-001
2.657003095863294e-010	3.631962e-001
2.668586953803851e-010	3.635351e-001
2.680294220560862e-010	3.636460e-001
2.691444697474665e-010	3.635326e-001
2.703104905183057e-010	3.631876e-001
2.714260070542280e-010	3.626479e-001
2.726432950948378e-010	3.618401e-001
2.737874424257028e-010	3.608920e-001
2.749227978402941e-010	3.597952e-001
2.760593568273818e-010	3.585709e-001
2.771703970987493e-010	3.572834e-001
2.783114234608959e-010	3.559042e-001
2.794651940838049e-010	3.544897e-001
2.805752901001091e-010	3.531470e-001
2.817898236151025e-010	3.517415e-001
2.829173919753353e-010	3.505314e-001
2.840994315491741e-010	3.493958e-001
2.852114242721383e-010	3.484771e-001
2.864164270044583e-010	3.476673e-001
2.875368818760134e-010	3.470995e-001
2.887497833159743e-010	3.466898e-001
2.898828142287983e-010	3.464940e-001
2.910578395340491e-010	3.464655e-001
2.922039588515719e-010	3.465841e-001
2.933246843986563e-010	3.468075e-001
2.944897256892047e-010	3.471096e-001
2.955991625106385e-010	3.474177e-001
