time	V(n_3p)
Step Information: Cd=100f  (Run: 1/10)
0.000000000000000e+000	0.000000e+000
3.749999934193763e-015	9.101001e-013
7.499999868387525e-015	1.765214e-012
1.499999973677505e-014	3.317471e-012
2.999999947355010e-014	5.836816e-012
5.999999894710020e-014	8.876259e-012
1.199999978942004e-013	9.234585e-012
2.399999957884008e-013	-3.866513e-013
4.799999915768016e-013	-1.579586e-011
9.599999831536032e-013	4.378615e-012
1.671345411162445e-012	1.759102e-011
2.506014915469826e-012	-2.539906e-011
3.332366653913751e-012	-3.116749e-012
4.437558311742576e-012	3.448958e-011
5.592699890062502e-012	-2.514498e-011
6.778029673184817e-012	-2.965922e-011
7.895078390676434e-012	4.344450e-011
9.112739529882928e-012	3.214829e-011
1.033194422000545e-011	-5.670363e-011
1.144831619006240e-011	-5.488236e-011
1.241572507955757e-011	3.210063e-011
1.337499746939709e-011	9.561266e-011
1.441866281749002e-011	5.191114e-011
1.548354739583594e-011	-6.847457e-011
1.661043661476085e-011	-1.320874e-010
1.777460474323835e-011	-4.344596e-011
1.928099602424136e-011	1.448062e-010
2.000000000000000e-011	1.816342e-010
2.018691145009939e-011	1.729751e-010
2.056073435029816e-011	1.578985e-010
2.130838015069571e-011	4.134020e-011
2.240959305382618e-011	-1.484813e-010
2.377578432611321e-011	-2.356024e-010
2.507242337782219e-011	-1.306491e-010
2.648503529888006e-011	2.317112e-010
2.829471354439377e-011	3.410450e-010
2.987214316806735e-011	8.161415e-012
3.130750254750150e-011	-3.044548e-010
3.288929493760534e-011	-4.757155e-010
3.443464678523640e-011	-2.404877e-010
3.598589940339832e-011	4.167676e-010
3.738622706678285e-011	8.681139e-010
3.868226736113206e-011	6.730979e-010
3.973753496286586e-011	6.993113e-011
4.092616786328851e-011	-7.057833e-010
4.208144910806613e-011	-1.151472e-009
4.360347773994942e-011	-9.623750e-010
4.513427396519051e-011	-9.493644e-011
4.631314569008267e-011	7.054388e-010
4.769533317334161e-011	1.381470e-009
4.886684624162586e-011	1.536527e-009
5.006016336655921e-011	1.190389e-009
5.125727335915017e-011	3.476048e-010
5.244906464738648e-011	-8.175691e-010
5.368491079589299e-011	-2.012214e-009
5.498708975790282e-011	-2.738965e-009
5.631029557828810e-011	-2.449123e-009
5.771740959511508e-011	-8.550282e-010
5.901094408762004e-011	1.422071e-009
6.048901355200530e-011	3.925762e-009
